DATE,AKSTHPI
1975-01-01,61.66
1975-04-01,63.77
1975-07-01,67.47
1975-10-01,68.93
1976-01-01,70.1
1976-04-01,69.49
1976-07-01,74.95
1976-10-01,72.1
1977-01-01,78.97
1977-04-01,79.92
1977-07-01,82.03
1977-10-01,79.25
1978-01-01,78.97
1978-04-01,86.17
1978-07-01,87.59
1978-10-01,86.91
1979-01-01,88.9
1979-04-01,99.13
1979-07-01,93.74
1979-10-01,95.35
1980-01-01,100.00
1980-04-01,82.43
1980-07-01,73.81
1980-10-01,94.4
1981-01-01,89.33
1981-04-01,108.08
1981-07-01,115.84
1981-10-01,128.55
1982-01-01,135.69
1982-04-01,130.02
1982-07-01,140.1
1982-10-01,136.14
1983-01-01,138.13
1983-04-01,139.57
1983-07-01,145.54
1983-10-01,145.21
1984-01-01,149.33
1984-04-01,147.06
1984-07-01,153.6
1984-10-01,151.52
1985-01-01,143.95
1985-04-01,144.45
1985-07-01,145.11
1985-10-01,140.95
1986-01-01,141.89
1986-04-01,144.34
1986-07-01,139.69
1986-10-01,136.45
1987-01-01,132.92
1987-04-01,123.53
1987-07-01,115.45
1987-10-01,104.55
1988-01-01,120.59
1988-04-01,114.69
1988-07-01,125.67
1988-10-01,131.37
1989-01-01,127.94
1989-04-01,103.8
1989-07-01,103.47
1989-10-01,101.5
1990-01-01,98.25
1990-04-01,111.78
1990-07-01,121.36
1990-10-01,119.41
1991-01-01,123.66
1991-04-01,126.62
1991-07-01,130.56
1991-10-01,130.7
1992-01-01,132.51
1992-04-01,133.69
1992-07-01,134.43
1992-10-01,134.9
1993-01-01,134.75
1993-04-01,135.26
1993-07-01,137.71
1993-10-01,138.5
1994-01-01,139.63
1994-04-01,142.86
1994-07-01,144.6
1994-10-01,143.84
1995-01-01,145.95
1995-04-01,148.5
1995-07-01,150.0
1995-10-01,150.53
1996-01-01,152.96
1996-04-01,155.35
1996-07-01,155.91
1996-10-01,157.91
1997-01-01,157.66
1997-04-01,158.93
1997-07-01,160.25
1997-10-01,162.29
1998-01-01,162.08
1998-04-01,164.8
1998-07-01,166.33
1998-10-01,166.04
1999-01-01,167.95
1999-04-01,171.6
1999-07-01,171.28
1999-10-01,171.36
2000-01-01,171.07
2000-04-01,173.43
2000-07-01,174.59
2000-10-01,174.97
2001-01-01,178.07
2001-04-01,181.71
2001-07-01,184.32
2001-10-01,184.71
2002-01-01,187.45
2002-04-01,192.92
2002-07-01,194.11
2002-10-01,193.65
2003-01-01,194.98
2003-04-01,198.04
2003-07-01,202.57
2003-10-01,210.52
2004-01-01,211.72
2004-04-01,216.88
2004-07-01,228.1
2004-10-01,230.4
2005-01-01,235.99
2005-04-01,244.76
2005-07-01,253.72
2005-10-01,261.33
2006-01-01,265.84
2006-04-01,272.03
2006-07-01,277.43
2006-10-01,279.02
2007-01-01,282.78
2007-04-01,285.6
2007-07-01,284.65
2007-10-01,284.1
2008-01-01,283.85
2008-04-01,284.41
2008-07-01,280.87
2008-10-01,283.21
2009-01-01,284.05
2009-04-01,281.17
2009-07-01,280.11
2009-10-01,281.46
2010-01-01,277.19
2010-04-01,279.56
2010-07-01,281.38
2010-10-01,282.1
2011-01-01,281.7
2011-04-01,281.21
2011-07-01,282.25
2011-10-01,284.11
2012-01-01,282.34
2012-04-01,281.33
2012-07-01,284.39
2012-10-01,286.52
2013-01-01,289.97
2013-04-01,290.55
2013-07-01,293.12
2013-10-01,294.49
2014-01-01,291.91
2014-04-01,298.01
2014-07-01,301.53
2014-10-01,300.94
2015-01-01,303.7
2015-04-01,306.62
2015-07-01,310.49
2015-10-01,310.82
2016-01-01,311.84
2016-04-01,314.02
2016-07-01,315.95
2016-10-01,313.79
2017-01-01,315.52
2017-04-01,316.14
2017-07-01,319.93
2017-10-01,320.33
2018-01-01,319.58
2018-04-01,321.73
2018-07-01,322.35
2018-10-01,321.51
2019-01-01,324.48
2019-04-01,328.47
2019-07-01,330.93
2019-10-01,330.39
2020-01-01,334.33
2020-04-01,337.47
2020-07-01,341.79
2020-10-01,344.68
2021-01-01,348.35
2021-04-01,361.25
2021-07-01,378.15
2021-10-01,383.67
2022-01-01,393.97
2022-04-01,416.59
2022-07-01,420.34
2022-10-01,413.72
2023-01-01,427.41
2023-04-01,439.38
2023-07-01,444.48
2023-10-01,431.4
2024-01-01,448.72
