DATE,ARSTHPI
1975-01-01,66.53
1975-04-01,60.25
1975-07-01,64.97
1975-10-01,62.82
1976-01-01,66.91
1976-04-01,68.57
1976-07-01,71.09
1976-10-01,72.11
1977-01-01,72.76
1977-04-01,74.84
1977-07-01,78.19
1977-10-01,80.89
1978-01-01,80.86
1978-04-01,83.44
1978-07-01,86.07
1978-10-01,86.13
1979-01-01,91.63
1979-04-01,94.63
1979-07-01,99.24
1979-10-01,101.41
1980-01-01,100.00
1980-04-01,100.8
1980-07-01,106.53
1980-10-01,108.66
1981-01-01,109.5
1981-04-01,106.26
1981-07-01,108.9
1981-10-01,103.16
1982-01-01,102.46
1982-04-01,105.9
1982-07-01,110.76
1982-10-01,108.38
1983-01-01,113.01
1983-04-01,116.18
1983-07-01,117.85
1983-10-01,118.05
1984-01-01,120.12
1984-04-01,118.74
1984-07-01,119.3
1984-10-01,120.78
1985-01-01,120.93
1985-04-01,119.65
1985-07-01,123.76
1985-10-01,124.11
1986-01-01,125.34
1986-04-01,128.38
1986-07-01,126.4
1986-10-01,128.05
1987-01-01,128.86
1987-04-01,130.38
1987-07-01,127.38
1987-10-01,123.79
1988-01-01,126.11
1988-04-01,127.2
1988-07-01,126.49
1988-10-01,125.88
1989-01-01,126.89
1989-04-01,126.59
1989-07-01,127.74
1989-10-01,126.83
1990-01-01,127.51
1990-04-01,127.7
1990-07-01,128.45
1990-10-01,127.9
1991-01-01,129.26
1991-04-01,129.88
1991-07-01,131.07
1991-10-01,133.33
1992-01-01,134.4
1992-04-01,133.76
1992-07-01,136.1
1992-10-01,136.74
1993-01-01,137.94
1993-04-01,140.19
1993-07-01,142.76
1993-10-01,144.48
1994-01-01,147.29
1994-04-01,148.51
1994-07-01,150.34
1994-10-01,151.33
1995-01-01,152.19
1995-04-01,156.36
1995-07-01,158.28
1995-10-01,159.03
1996-01-01,161.4
1996-04-01,161.68
1996-07-01,161.47
1996-10-01,163.18
1997-01-01,164.67
1997-04-01,166.2
1997-07-01,167.08
1997-10-01,169.32
1998-01-01,171.13
1998-04-01,171.08
1998-07-01,173.91
1998-10-01,175.83
1999-01-01,176.55
1999-04-01,176.8
1999-07-01,177.47
1999-10-01,178.11
2000-01-01,178.98
2000-04-01,180.7
2000-07-01,181.76
2000-10-01,184.2
2001-01-01,188.85
2001-04-01,189.92
2001-07-01,191.9
2001-10-01,193.83
2002-01-01,194.58
2002-04-01,195.44
2002-07-01,198.63
2002-10-01,201.05
2003-01-01,202.6
2003-04-01,203.92
2003-07-01,206.36
2003-10-01,209.49
2004-01-01,212.11
2004-04-01,215.6
2004-07-01,219.13
2004-10-01,222.95
2005-01-01,226.19
2005-04-01,231.32
2005-07-01,236.52
2005-10-01,239.72
2006-01-01,243.21
2006-04-01,246.66
2006-07-01,249.3
2006-10-01,251.47
2007-01-01,253.78
2007-04-01,255.24
2007-07-01,255.0
2007-10-01,256.11
2008-01-01,255.91
2008-04-01,255.17
2008-07-01,252.11
2008-10-01,253.4
2009-01-01,255.62
2009-04-01,252.46
2009-07-01,248.41
2009-10-01,247.37
2010-01-01,244.07
2010-04-01,244.79
2010-07-01,245.58
2010-10-01,244.56
2011-01-01,240.6
2011-04-01,238.94
2011-07-01,241.14
2011-10-01,242.3
2012-01-01,241.7
2012-04-01,239.28
2012-07-01,242.61
2012-10-01,244.1
2013-01-01,244.85
2013-04-01,245.21
2013-07-01,245.89
2013-10-01,245.49
2014-01-01,246.87
2014-04-01,246.84
2014-07-01,249.02
2014-10-01,251.8
2015-01-01,251.8
2015-04-01,252.78
2015-07-01,256.13
2015-10-01,258.19
2016-01-01,256.97
2016-04-01,260.68
2016-07-01,263.49
2016-10-01,264.84
2017-01-01,267.72
2017-04-01,268.92
2017-07-01,271.91
2017-10-01,274.21
2018-01-01,276.91
2018-04-01,279.67
2018-07-01,282.04
2018-10-01,284.2
2019-01-01,286.65
2019-04-01,290.01
2019-07-01,293.23
2019-10-01,295.64
2020-01-01,297.54
2020-04-01,300.17
2020-07-01,304.56
2020-10-01,312.15
2021-01-01,317.79
2021-04-01,333.71
2021-07-01,352.36
2021-10-01,367.73
2022-01-01,378.23
2022-04-01,401.69
2022-07-01,416.01
2022-10-01,415.95
2023-01-01,423.58
2023-04-01,434.67
2023-07-01,442.13
2023-10-01,442.95
2024-01-01,446.39
