DATE,AZSTHPI
1975-01-01,59.86
1975-04-01,59.61
1975-07-01,59.41
1975-10-01,56.28
1976-01-01,59.01
1976-04-01,62.85
1976-07-01,61.06
1976-10-01,61.77
1977-01-01,63.8
1977-04-01,63.96
1977-07-01,66.23
1977-10-01,70.16
1978-01-01,71.33
1978-04-01,74.08
1978-07-01,78.92
1978-10-01,82.91
1979-01-01,87.1
1979-04-01,92.54
1979-07-01,95.35
1979-10-01,98.87
1980-01-01,100.00
1980-04-01,98.53
1980-07-01,106.91
1980-10-01,107.59
1981-01-01,108.67
1981-04-01,111.8
1981-07-01,116.13
1981-10-01,109.72
1982-01-01,105.39
1982-04-01,109.01
1982-07-01,101.43
1982-10-01,108.62
1983-01-01,118.83
1983-04-01,118.9
1983-07-01,115.14
1983-10-01,112.74
1984-01-01,117.45
1984-04-01,121.62
1984-07-01,122.74
1984-10-01,122.41
1985-01-01,124.98
1985-04-01,125.49
1985-07-01,127.09
1985-10-01,128.7
1986-01-01,131.28
1986-04-01,135.22
1986-07-01,135.26
1986-10-01,132.81
1987-01-01,137.61
1987-04-01,136.53
1987-07-01,135.58
1987-10-01,133.43
1988-01-01,134.71
1988-04-01,136.02
1988-07-01,133.99
1988-10-01,134.21
1989-01-01,133.0
1989-04-01,132.42
1989-07-01,134.53
1989-10-01,133.83
1990-01-01,133.56
1990-04-01,132.8
1990-07-01,133.95
1990-10-01,132.63
1991-01-01,134.62
1991-04-01,135.63
1991-07-01,135.08
1991-10-01,139.02
1992-01-01,139.7
1992-04-01,139.43
1992-07-01,140.36
1992-10-01,141.21
1993-01-01,141.33
1993-04-01,143.05
1993-07-01,144.19
1993-10-01,146.1
1994-01-01,148.09
1994-04-01,150.2
1994-07-01,152.15
1994-10-01,153.8
1995-01-01,155.75
1995-04-01,158.6
1995-07-01,161.66
1995-10-01,163.76
1996-01-01,166.3
1996-04-01,166.65
1996-07-01,168.23
1996-10-01,169.63
1997-01-01,171.5
1997-04-01,172.37
1997-07-01,175.4
1997-10-01,178.06
1998-01-01,180.56
1998-04-01,182.05
1998-07-01,184.54
1998-10-01,186.68
1999-01-01,188.54
1999-04-01,190.98
1999-07-01,193.58
1999-10-01,195.48
2000-01-01,199.91
2000-04-01,202.11
2000-07-01,204.81
2000-10-01,207.93
2001-01-01,212.57
2001-04-01,215.86
2001-07-01,218.98
2001-10-01,221.1
2002-01-01,224.1
2002-04-01,227.08
2002-07-01,230.95
2002-10-01,233.63
2003-01-01,236.41
2003-04-01,238.87
2003-07-01,242.57
2003-10-01,250.7
2004-01-01,255.1
2004-04-01,264.22
2004-07-01,279.63
2004-10-01,291.14
2005-01-01,308.79
2005-04-01,340.57
2005-07-01,369.56
2005-10-01,395.23
2006-01-01,409.98
2006-04-01,418.7
2006-07-01,422.29
2006-10-01,425.99
2007-01-01,424.27
2007-04-01,420.58
2007-07-01,411.25
2007-10-01,404.28
2008-01-01,390.96
2008-04-01,368.38
2008-07-01,341.52
2008-10-01,329.4
2009-01-01,328.36
2009-04-01,304.95
2009-07-01,289.23
2009-10-01,280.55
2010-01-01,272.65
2010-04-01,263.15
2010-07-01,262.87
2010-10-01,256.32
2011-01-01,241.87
2011-04-01,229.95
2011-07-01,231.84
2011-10-01,237.01
2012-01-01,236.03
2012-04-01,238.88
2012-07-01,248.63
2012-10-01,256.11
2013-01-01,262.36
2013-04-01,274.19
2013-07-01,282.32
2013-10-01,290.18
2014-01-01,295.76
2014-04-01,300.96
2014-07-01,304.03
2014-10-01,309.15
2015-01-01,311.74
2015-04-01,318.41
2015-07-01,324.85
2015-10-01,329.39
2016-01-01,333.31
2016-04-01,340.22
2016-07-01,345.93
2016-10-01,351.49
2017-01-01,356.64
2017-04-01,365.85
2017-07-01,373.55
2017-10-01,377.93
2018-01-01,385.76
2018-04-01,393.89
2018-07-01,402.97
2018-10-01,407.63
2019-01-01,412.91
2019-04-01,421.09
2019-07-01,427.42
2019-10-01,434.79
2020-01-01,443.52
2020-04-01,451.28
2020-07-01,462.29
2020-10-01,478.59
2021-01-01,499.95
2021-04-01,539.82
2021-07-01,584.56
2021-10-01,614.32
2022-01-01,643.76
2022-04-01,692.84
2022-07-01,703.18
2022-10-01,679.35
2023-01-01,673.46
2023-04-01,685.73
2023-07-01,701.3
2023-10-01,709.58
2024-01-01,709.41
