DATE,CTSTHPI
1975-01-01,62.21
1975-04-01,62.57
1975-07-01,61.79
1975-10-01,61.83
1976-01-01,64.73
1976-04-01,64.03
1976-07-01,67.28
1976-10-01,67.95
1977-01-01,63.98
1977-04-01,68.65
1977-07-01,71.43
1977-10-01,72.16
1978-01-01,73.75
1978-04-01,79.48
1978-07-01,86.94
1978-10-01,88.02
1979-01-01,95.38
1979-04-01,97.4
1979-07-01,100.46
1979-10-01,101.67
1980-01-01,100.00
1980-04-01,101.93
1980-07-01,103.76
1980-10-01,104.74
1981-01-01,104.32
1981-04-01,109.6
1981-07-01,114.27
1981-10-01,111.32
1982-01-01,111.67
1982-04-01,112.08
1982-07-01,110.96
1982-10-01,112.85
1983-01-01,118.6
1983-04-01,120.95
1983-07-01,122.37
1983-10-01,126.11
1984-01-01,130.91
1984-04-01,134.33
1984-07-01,140.13
1984-10-01,141.68
1985-01-01,148.23
1985-04-01,155.32
1985-07-01,159.9
1985-10-01,168.63
1986-01-01,174.37
1986-04-01,185.19
1986-07-01,199.16
1986-10-01,212.45
1987-01-01,224.68
1987-04-01,237.08
1987-07-01,249.88
1987-10-01,257.29
1988-01-01,263.06
1988-04-01,267.29
1988-07-01,265.59
1988-10-01,266.02
1989-01-01,261.29
1989-04-01,261.23
1989-07-01,262.06
1989-10-01,261.01
1990-01-01,257.13
1990-04-01,249.33
1990-07-01,246.78
1990-10-01,240.01
1991-01-01,239.63
1991-04-01,236.24
1991-07-01,233.52
1991-10-01,235.82
1992-01-01,236.83
1992-04-01,232.16
1992-07-01,232.99
1992-10-01,232.8
1993-01-01,229.18
1993-04-01,229.81
1993-07-01,229.78
1993-10-01,230.38
1994-01-01,228.41
1994-04-01,223.25
1994-07-01,220.3
1994-10-01,217.55
1995-01-01,216.32
1995-04-01,219.13
1995-07-01,224.46
1995-10-01,224.66
1996-01-01,227.64
1996-04-01,224.76
1996-07-01,221.47
1996-10-01,222.84
1997-01-01,224.16
1997-04-01,225.21
1997-07-01,227.77
1997-10-01,230.07
1998-01-01,235.58
1998-04-01,235.68
1998-07-01,239.15
1998-10-01,242.25
1999-01-01,245.56
1999-04-01,248.48
1999-07-01,253.29
1999-10-01,256.35
2000-01-01,261.07
2000-04-01,268.22
2000-07-01,273.98
2000-10-01,277.73
2001-01-01,284.63
2001-04-01,290.72
2001-07-01,297.87
2001-10-01,303.05
2002-01-01,309.53
2002-04-01,318.38
2002-07-01,327.06
2002-10-01,333.94
2003-01-01,338.17
2003-04-01,343.74
2003-07-01,351.95
2003-10-01,364.8
2004-01-01,371.14
2004-04-01,383.18
2004-07-01,402.69
2004-10-01,410.39
2005-01-01,420.83
2005-04-01,434.98
2005-07-01,447.01
2005-10-01,455.99
2006-01-01,461.95
2006-04-01,464.19
2006-07-01,464.71
2006-10-01,467.47
2007-01-01,470.51
2007-04-01,466.86
2007-07-01,463.07
2007-10-01,462.37
2008-01-01,461.82
2008-04-01,450.95
2008-07-01,437.02
2008-10-01,433.34
2009-01-01,436.74
2009-04-01,422.61
2009-07-01,411.9
2009-10-01,410.59
2010-01-01,405.76
2010-04-01,401.35
2010-07-01,405.86
2010-10-01,406.49
2011-01-01,396.08
2011-04-01,388.72
2011-07-01,389.85
2011-10-01,392.93
2012-01-01,386.38
2012-04-01,382.37
2012-07-01,383.43
2012-10-01,384.72
2013-01-01,382.9
2013-04-01,381.15
2013-07-01,380.69
2013-10-01,377.52
2014-01-01,376.21
2014-04-01,379.22
2014-07-01,381.78
2014-10-01,381.46
2015-01-01,386.3
2015-04-01,387.5
2015-07-01,385.23
2015-10-01,384.54
2016-01-01,384.86
2016-04-01,386.61
2016-07-01,390.07
2016-10-01,390.32
2017-01-01,384.93
2017-04-01,390.34
2017-07-01,392.74
2017-10-01,392.58
2018-01-01,391.02
2018-04-01,393.95
2018-07-01,397.65
2018-10-01,395.49
2019-01-01,397.66
2019-04-01,404.02
2019-07-01,408.55
2019-10-01,411.07
2020-01-01,412.62
2020-04-01,416.91
2020-07-01,426.14
2020-10-01,437.68
2021-01-01,449.26
2021-04-01,472.24
2021-07-01,498.0
2021-10-01,508.24
2022-01-01,521.94
2022-04-01,553.97
2022-07-01,564.13
2022-10-01,563.36
2023-01-01,570.39
2023-04-01,600.47
2023-07-01,613.16
2023-10-01,621.48
2024-01-01,622.84
