DATE,DESTHPI
1975-01-01,77.04
1975-04-01,89.59
1975-07-01,115.71
1975-10-01,71.71
1976-01-01,79.56
1976-04-01,84.45
1976-07-01,80.85
1976-10-01,86.86
1977-01-01,89.78
1977-04-01,77.81
1977-07-01,82.45
1977-10-01,82.69
1978-01-01,85.16
1978-04-01,89.18
1978-07-01,85.33
1978-10-01,83.58
1979-01-01,86.5
1979-04-01,86.88
1979-07-01,94.96
1979-10-01,95.9
1980-01-01,100.00
1980-04-01,106.91
1980-07-01,109.75
1980-10-01,106.48
1981-01-01,109.14
1981-04-01,103.73
1981-07-01,116.0
1981-10-01,107.32
1982-01-01,102.25
1982-04-01,113.07
1982-07-01,113.2
1982-10-01,116.0
1983-01-01,116.46
1983-04-01,118.85
1983-07-01,122.06
1983-10-01,127.77
1984-01-01,125.19
1984-04-01,128.42
1984-07-01,131.65
1984-10-01,133.64
1985-01-01,136.68
1985-04-01,140.58
1985-07-01,143.07
1985-10-01,145.55
1986-01-01,150.88
1986-04-01,154.36
1986-07-01,159.08
1986-10-01,164.49
1987-01-01,170.94
1987-04-01,175.1
1987-07-01,182.15
1987-10-01,186.99
1988-01-01,189.73
1988-04-01,195.3
1988-07-01,200.99
1988-10-01,205.98
1989-01-01,209.32
1989-04-01,216.0
1989-07-01,221.16
1989-10-01,222.5
1990-01-01,225.91
1990-04-01,225.12
1990-07-01,223.51
1990-10-01,223.42
1991-01-01,226.75
1991-04-01,227.53
1991-07-01,227.55
1991-10-01,230.67
1992-01-01,230.72
1992-04-01,229.14
1992-07-01,230.31
1992-10-01,232.32
1993-01-01,231.0
1993-04-01,231.98
1993-07-01,231.49
1993-10-01,232.18
1994-01-01,231.18
1994-04-01,228.61
1994-07-01,226.24
1994-10-01,225.42
1995-01-01,226.04
1995-04-01,226.93
1995-07-01,230.67
1995-10-01,230.5
1996-01-01,233.44
1996-04-01,230.78
1996-07-01,231.79
1996-10-01,233.8
1997-01-01,233.65
1997-04-01,234.05
1997-07-01,236.08
1997-10-01,237.86
1998-01-01,241.67
1998-04-01,242.44
1998-07-01,243.68
1998-10-01,245.03
1999-01-01,248.87
1999-04-01,250.66
1999-07-01,254.73
1999-10-01,256.07
2000-01-01,260.31
2000-04-01,264.72
2000-07-01,269.82
2000-10-01,273.29
2001-01-01,279.13
2001-04-01,283.91
2001-07-01,289.57
2001-10-01,293.53
2002-01-01,298.6
2002-04-01,306.26
2002-07-01,314.09
2002-10-01,319.15
2003-01-01,323.92
2003-04-01,330.74
2003-07-01,338.32
2003-10-01,351.06
2004-01-01,362.15
2004-04-01,370.17
2004-07-01,392.44
2004-10-01,404.43
2005-01-01,415.72
2005-04-01,433.26
2005-07-01,452.77
2005-10-01,462.3
2006-01-01,471.76
2006-04-01,480.68
2006-07-01,485.39
2006-10-01,494.25
2007-01-01,494.56
2007-04-01,498.11
2007-07-01,493.14
2007-10-01,493.82
2008-01-01,490.48
2008-04-01,483.75
2008-07-01,472.6
2008-10-01,467.21
2009-01-01,469.58
2009-04-01,455.63
2009-07-01,444.86
2009-10-01,440.89
2010-01-01,437.91
2010-04-01,433.13
2010-07-01,432.82
2010-10-01,429.6
2011-01-01,419.11
2011-04-01,407.02
2011-07-01,403.14
2011-10-01,408.19
2012-01-01,405.1
2012-04-01,396.58
2012-07-01,399.5
2012-10-01,402.17
2013-01-01,402.66
2013-04-01,402.81
2013-07-01,404.32
2013-10-01,407.08
2014-01-01,406.17
2014-04-01,409.87
2014-07-01,414.64
2014-10-01,413.25
2015-01-01,419.97
2015-04-01,419.08
2015-07-01,421.85
2015-10-01,423.69
2016-01-01,424.55
2016-04-01,428.65
2016-07-01,433.47
2016-10-01,436.57
2017-01-01,435.18
2017-04-01,437.82
2017-07-01,438.53
2017-10-01,442.73
2018-01-01,449.27
2018-04-01,451.62
2018-07-01,453.84
2018-10-01,457.47
2019-01-01,460.63
2019-04-01,468.06
2019-07-01,473.58
2019-10-01,476.4
2020-01-01,482.66
2020-04-01,486.06
2020-07-01,496.6
2020-10-01,503.92
2021-01-01,519.51
2021-04-01,541.24
2021-07-01,567.15
2021-10-01,587.34
2022-01-01,605.35
2022-04-01,642.03
2022-07-01,646.58
2022-10-01,649.51
2023-01-01,662.5
2023-04-01,670.37
2023-07-01,692.26
2023-10-01,694.85
2024-01-01,713.88
