DATE,HISTHPI
1975-01-01,65.07
1975-04-01,53.58
1975-07-01,56.73
1975-10-01,55.22
1976-01-01,53.46
1976-04-01,56.46
1976-07-01,54.53
1976-10-01,56.25
1977-01-01,55.84
1977-04-01,58.75
1977-07-01,60.31
1977-10-01,62.5
1978-01-01,66.01
1978-04-01,65.06
1978-07-01,67.41
1978-10-01,74.71
1979-01-01,73.78
1979-04-01,81.63
1979-07-01,89.05
1979-10-01,92.24
1980-01-01,100.00
1980-04-01,101.02
1980-07-01,99.98
1980-10-01,106.89
1981-01-01,101.54
1981-04-01,97.48
1981-07-01,86.27
1981-10-01,48.99
1982-01-01,111.89
1982-04-01,103.39
1982-07-01,99.79
1982-10-01,84.9
1983-01-01,101.68
1983-04-01,105.69
1983-07-01,111.62
1983-10-01,105.58
1984-01-01,107.53
1984-04-01,112.76
1984-07-01,109.68
1984-10-01,108.5
1985-01-01,113.93
1985-04-01,112.29
1985-07-01,116.22
1985-10-01,117.24
1986-01-01,119.05
1986-04-01,119.35
1986-07-01,120.27
1986-10-01,123.12
1987-01-01,127.18
1987-04-01,130.18
1987-07-01,132.23
1987-10-01,135.18
1988-01-01,143.73
1988-04-01,150.62
1988-07-01,154.61
1988-10-01,165.6
1989-01-01,178.18
1989-04-01,182.69
1989-07-01,194.93
1989-10-01,201.78
1990-01-01,216.65
1990-04-01,230.14
1990-07-01,240.87
1990-10-01,250.17
1991-01-01,255.82
1991-04-01,258.41
1991-07-01,258.42
1991-10-01,262.25
1992-01-01,261.6
1992-04-01,261.09
1992-07-01,262.82
1992-10-01,263.66
1993-01-01,263.02
1993-04-01,264.29
1993-07-01,263.37
1993-10-01,264.67
1994-01-01,265.49
1994-04-01,262.53
1994-07-01,263.87
1994-10-01,256.99
1995-01-01,255.77
1995-04-01,259.5
1995-07-01,259.54
1995-10-01,260.71
1996-01-01,255.35
1996-04-01,249.87
1996-07-01,241.22
1996-10-01,238.06
1997-01-01,235.26
1997-04-01,228.78
1997-07-01,228.99
1997-10-01,227.94
1998-01-01,229.61
1998-04-01,229.56
1998-07-01,230.44
1998-10-01,229.49
1999-01-01,228.44
1999-04-01,227.0
1999-07-01,223.0
1999-10-01,223.03
2000-01-01,229.58
2000-04-01,229.15
2000-07-01,232.18
2000-10-01,237.44
2001-01-01,245.39
2001-04-01,248.93
2001-07-01,253.18
2001-10-01,257.13
2002-01-01,261.06
2002-04-01,266.85
2002-07-01,275.11
2002-10-01,278.69
2003-01-01,286.65
2003-04-01,293.69
2003-07-01,302.03
2003-10-01,319.18
2004-01-01,334.11
2004-04-01,353.22
2004-07-01,387.09
2004-10-01,401.11
2005-01-01,420.26
2005-04-01,445.03
2005-07-01,472.76
2005-10-01,499.25
2006-01-01,517.95
2006-04-01,522.19
2006-07-01,531.98
2006-10-01,530.19
2007-01-01,536.72
2007-04-01,538.5
2007-07-01,535.19
2007-10-01,533.23
2008-01-01,528.39
2008-04-01,517.4
2008-07-01,501.96
2008-10-01,493.13
2009-01-01,489.81
2009-04-01,469.3
2009-07-01,455.87
2009-10-01,449.41
2010-01-01,448.79
2010-04-01,445.77
2010-07-01,448.5
2010-10-01,448.71
2011-01-01,439.56
2011-04-01,440.19
2011-07-01,442.92
2011-10-01,442.98
2012-01-01,444.61
2012-04-01,441.39
2012-07-01,449.6
2012-10-01,454.09
2013-01-01,456.66
2013-04-01,466.78
2013-07-01,475.27
2013-10-01,486.63
2014-01-01,490.21
2014-04-01,497.54
2014-07-01,507.7
2014-10-01,514.39
2015-01-01,526.1
2015-04-01,529.74
2015-07-01,537.36
2015-10-01,544.09
2016-01-01,558.39
2016-04-01,561.11
2016-07-01,572.34
2016-10-01,578.02
2017-01-01,578.49
2017-04-01,586.59
2017-07-01,595.6
2017-10-01,598.8
2018-01-01,604.94
2018-04-01,611.12
2018-07-01,615.11
2018-10-01,618.49
2019-01-01,625.69
2019-04-01,627.57
2019-07-01,633.44
2019-10-01,638.94
2020-01-01,638.93
2020-04-01,647.11
2020-07-01,640.43
2020-10-01,651.05
2021-01-01,660.42
2021-04-01,694.53
2021-07-01,722.91
2021-10-01,757.99
2022-01-01,795.93
2022-04-01,840.35
2022-07-01,888.96
2022-10-01,888.51
2023-01-01,875.72
2023-04-01,896.65
2023-07-01,893.47
2023-10-01,883.41
2024-01-01,918.14
