DATE,IDSTHPI
1975-01-01,69.94
1975-04-01,65.03
1975-07-01,57.57
1975-10-01,61.88
1976-01-01,56.96
1976-04-01,74.35
1976-07-01,64.94
1976-10-01,62.01
1977-01-01,72.95
1977-04-01,79.97
1977-07-01,76.58
1977-10-01,81.54
1978-01-01,91.94
1978-04-01,89.15
1978-07-01,92.13
1978-10-01,89.28
1979-01-01,101.71
1979-04-01,96.32
1979-07-01,98.95
1979-10-01,101.28
1980-01-01,100.00
1980-04-01,102.56
1980-07-01,106.05
1980-10-01,102.47
1981-01-01,110.06
1981-04-01,101.6
1981-07-01,103.05
1981-10-01,118.09
1982-01-01,94.03
1982-04-01,109.46
1982-07-01,104.5
1982-10-01,110.79
1983-01-01,110.49
1983-04-01,106.62
1983-07-01,106.5
1983-10-01,108.51
1984-01-01,110.24
1984-04-01,108.85
1984-07-01,110.47
1984-10-01,113.26
1985-01-01,108.14
1985-04-01,113.53
1985-07-01,114.94
1985-10-01,112.57
1986-01-01,115.09
1986-04-01,112.82
1986-07-01,114.51
1986-10-01,114.93
1987-01-01,116.35
1987-04-01,113.95
1987-07-01,110.5
1987-10-01,110.56
1988-01-01,113.12
1988-04-01,114.37
1988-07-01,111.95
1988-10-01,111.83
1989-01-01,115.19
1989-04-01,116.08
1989-07-01,117.54
1989-10-01,118.46
1990-01-01,120.44
1990-04-01,124.97
1990-07-01,127.91
1990-10-01,126.84
1991-01-01,130.33
1991-04-01,130.77
1991-07-01,133.63
1991-10-01,136.66
1992-01-01,138.17
1992-04-01,139.6
1992-07-01,142.86
1992-10-01,146.72
1993-01-01,147.91
1993-04-01,152.72
1993-07-01,156.92
1993-10-01,159.82
1994-01-01,160.82
1994-04-01,166.59
1994-07-01,168.53
1994-10-01,169.5
1995-01-01,170.54
1995-04-01,174.63
1995-07-01,177.67
1995-10-01,179.78
1996-01-01,182.03
1996-04-01,180.44
1996-07-01,181.1
1996-10-01,182.5
1997-01-01,184.34
1997-04-01,184.6
1997-07-01,187.44
1997-10-01,189.82
1998-01-01,191.92
1998-04-01,192.77
1998-07-01,193.73
1998-10-01,195.12
1999-01-01,196.91
1999-04-01,197.92
1999-07-01,196.22
1999-10-01,195.61
2000-01-01,198.71
2000-04-01,198.62
2000-07-01,200.26
2000-10-01,202.38
2001-01-01,207.69
2001-04-01,209.96
2001-07-01,211.02
2001-10-01,213.46
2002-01-01,213.88
2002-04-01,214.91
2002-07-01,218.22
2002-10-01,220.47
2003-01-01,222.52
2003-04-01,224.37
2003-07-01,226.22
2003-10-01,229.24
2004-01-01,232.03
2004-04-01,238.1
2004-07-01,246.24
2004-10-01,252.49
2005-01-01,258.75
2005-04-01,270.58
2005-07-01,286.58
2005-10-01,299.73
2006-01-01,310.25
2006-04-01,322.04
2006-07-01,331.05
2006-10-01,339.09
2007-01-01,344.02
2007-04-01,344.88
2007-07-01,345.36
2007-10-01,345.42
2008-01-01,346.87
2008-04-01,338.89
2008-07-01,329.44
2008-10-01,329.47
2009-01-01,330.41
2009-04-01,319.24
2009-07-01,305.33
2009-10-01,300.24
2010-01-01,290.58
2010-04-01,285.6
2010-07-01,284.67
2010-10-01,277.81
2011-01-01,262.62
2011-04-01,253.04
2011-07-01,258.21
2011-10-01,262.71
2012-01-01,260.5
2012-04-01,257.44
2012-07-01,263.3
2012-10-01,266.99
2013-01-01,269.58
2013-04-01,272.32
2013-07-01,280.8
2013-10-01,281.0
2014-01-01,285.28
2014-04-01,290.93
2014-07-01,295.06
2014-10-01,296.23
2015-01-01,301.83
2015-04-01,307.28
2015-07-01,313.61
2015-10-01,318.28
2016-01-01,322.72
2016-04-01,328.73
2016-07-01,339.63
2016-10-01,341.13
2017-01-01,347.76
2017-04-01,361.28
2017-07-01,369.26
2017-10-01,374.93
2018-01-01,386.97
2018-04-01,404.33
2018-07-01,416.19
2018-10-01,423.59
2019-01-01,432.4
2019-04-01,447.29
2019-07-01,457.51
2019-10-01,468.21
2020-01-01,478.64
2020-04-01,487.7
2020-07-01,506.6
2020-10-01,530.31
2021-01-01,558.79
2021-04-01,618.34
2021-07-01,669.14
2021-10-01,692.47
2022-01-01,716.58
2022-04-01,769.3
2022-07-01,769.17
2022-10-01,742.07
2023-01-01,742.84
2023-04-01,748.39
2023-07-01,765.21
2023-10-01,751.1
2024-01-01,762.54
