DATE,ILSTHPI
1975-01-01,66.13
1975-04-01,62.3
1975-07-01,64.04
1975-10-01,66.73
1976-01-01,67.85
1976-04-01,70.28
1976-07-01,73.47
1976-10-01,73.2
1977-01-01,80.41
1977-04-01,83.86
1977-07-01,83.26
1977-10-01,88.78
1978-01-01,90.98
1978-04-01,98.21
1978-07-01,99.54
1978-10-01,102.11
1979-01-01,97.62
1979-04-01,102.57
1979-07-01,101.25
1979-10-01,99.57
1980-01-01,100.00
1980-04-01,100.97
1980-07-01,102.53
1980-10-01,95.59
1981-01-01,101.85
1981-04-01,106.69
1981-07-01,102.9
1981-10-01,104.47
1982-01-01,94.84
1982-04-01,94.59
1982-07-01,86.85
1982-10-01,102.41
1983-01-01,100.84
1983-04-01,104.27
1983-07-01,105.55
1983-10-01,106.75
1984-01-01,107.49
1984-04-01,110.25
1984-07-01,110.88
1984-10-01,112.42
1985-01-01,113.28
1985-04-01,114.63
1985-07-01,116.03
1985-10-01,117.98
1986-01-01,119.77
1986-04-01,122.42
1986-07-01,125.13
1986-10-01,128.06
1987-01-01,130.5
1987-04-01,135.2
1987-07-01,138.38
1987-10-01,140.27
1988-01-01,143.28
1988-04-01,147.85
1988-07-01,151.2
1988-10-01,152.5
1989-01-01,155.54
1989-04-01,158.5
1989-07-01,162.05
1989-10-01,163.95
1990-01-01,165.84
1990-04-01,167.69
1990-07-01,169.65
1990-10-01,170.13
1991-01-01,172.17
1991-04-01,174.0
1991-07-01,175.21
1991-10-01,177.61
1992-01-01,178.8
1992-04-01,180.39
1992-07-01,182.12
1992-10-01,183.75
1993-01-01,184.87
1993-04-01,186.57
1993-07-01,188.5
1993-10-01,190.17
1994-01-01,192.78
1994-04-01,195.5
1994-07-01,197.22
1994-10-01,197.54
1995-01-01,199.51
1995-04-01,202.39
1995-07-01,204.83
1995-10-01,206.7
1996-01-01,208.89
1996-04-01,209.62
1996-07-01,210.55
1996-10-01,212.62
1997-01-01,213.99
1997-04-01,215.53
1997-07-01,217.73
1997-10-01,219.75
1998-01-01,221.64
1998-04-01,222.52
1998-07-01,224.66
1998-10-01,226.35
1999-01-01,228.37
1999-04-01,231.07
1999-07-01,234.47
1999-10-01,236.8
2000-01-01,241.47
2000-04-01,245.6
2000-07-01,249.67
2000-10-01,252.5
2001-01-01,255.81
2001-04-01,260.25
2001-07-01,265.09
2001-10-01,267.54
2002-01-01,272.16
2002-04-01,276.98
2002-07-01,280.55
2002-10-01,283.74
2003-01-01,286.72
2003-04-01,289.64
2003-07-01,293.74
2003-10-01,302.9
2004-01-01,306.19
2004-04-01,313.18
2004-07-01,323.48
2004-10-01,328.12
2005-01-01,334.87
2005-04-01,342.71
2005-07-01,349.85
2005-10-01,356.23
2006-01-01,360.93
2006-04-01,363.74
2006-07-01,366.52
2006-10-01,370.61
2007-01-01,372.87
2007-04-01,371.63
2007-07-01,368.61
2007-10-01,369.81
2008-01-01,368.21
2008-04-01,360.73
2008-07-01,348.54
2008-10-01,347.39
2009-01-01,345.92
2009-04-01,336.0
2009-07-01,325.43
2009-10-01,322.23
2010-01-01,316.95
2010-04-01,313.24
2010-07-01,316.47
2010-10-01,314.32
2011-01-01,303.57
2011-04-01,297.31
2011-07-01,299.49
2011-10-01,299.39
2012-01-01,295.57
2012-04-01,291.75
2012-07-01,295.14
2012-10-01,295.18
2013-01-01,293.25
2013-04-01,295.07
2013-07-01,295.67
2013-10-01,296.7
2014-01-01,297.49
2014-04-01,303.02
2014-07-01,307.23
2014-10-01,308.42
2015-01-01,311.87
2015-04-01,314.58
2015-07-01,315.66
2015-10-01,317.1
2016-01-01,318.52
2016-04-01,322.77
2016-07-01,327.42
2016-10-01,328.29
2017-01-01,326.89
2017-04-01,331.17
2017-07-01,335.04
2017-10-01,335.65
2018-01-01,337.36
2018-04-01,339.52
2018-07-01,340.69
2018-10-01,340.05
2019-01-01,343.12
2019-04-01,348.12
2019-07-01,351.47
2019-10-01,353.13
2020-01-01,354.72
2020-04-01,356.66
2020-07-01,360.47
2020-10-01,364.95
2021-01-01,369.3
2021-04-01,385.9
2021-07-01,399.4
2021-10-01,408.64
2022-01-01,419.5
2022-04-01,445.24
2022-07-01,450.51
2022-10-01,445.63
2023-01-01,449.84
2023-04-01,467.9
2023-07-01,480.04
2023-10-01,479.18
2024-01-01,486.56
