DATE,INSTHPI
1975-01-01,66.17
1975-04-01,60.84
1975-07-01,62.11
1975-10-01,63.37
1976-01-01,62.49
1976-04-01,65.86
1976-07-01,65.81
1976-10-01,68.77
1977-01-01,71.45
1977-04-01,71.33
1977-07-01,74.23
1977-10-01,78.17
1978-01-01,82.36
1978-04-01,84.82
1978-07-01,87.18
1978-10-01,89.82
1979-01-01,93.39
1979-04-01,96.63
1979-07-01,98.1
1979-10-01,98.05
1980-01-01,100.00
1980-04-01,99.57
1980-07-01,102.31
1980-10-01,101.6
1981-01-01,104.04
1981-04-01,103.07
1981-07-01,105.0
1981-10-01,107.09
1982-01-01,104.78
1982-04-01,103.94
1982-07-01,95.48
1982-10-01,104.18
1983-01-01,106.22
1983-04-01,106.31
1983-07-01,105.99
1983-10-01,105.5
1984-01-01,105.38
1984-04-01,108.04
1984-07-01,107.0
1984-10-01,109.17
1985-01-01,110.06
1985-04-01,111.56
1985-07-01,112.19
1985-10-01,113.87
1986-01-01,115.19
1986-04-01,117.18
1986-07-01,118.95
1986-10-01,120.5
1987-01-01,122.23
1987-04-01,123.72
1987-07-01,125.23
1987-10-01,125.68
1988-01-01,128.42
1988-04-01,130.13
1988-07-01,130.78
1988-10-01,132.07
1989-01-01,133.14
1989-04-01,135.01
1989-07-01,137.39
1989-10-01,137.88
1990-01-01,138.73
1990-04-01,140.12
1990-07-01,141.43
1990-10-01,141.92
1991-01-01,144.08
1991-04-01,145.3
1991-07-01,146.39
1991-10-01,148.52
1992-01-01,149.81
1992-04-01,151.13
1992-07-01,153.46
1992-10-01,154.27
1993-01-01,155.32
1993-04-01,156.89
1993-07-01,158.78
1993-10-01,160.29
1994-01-01,161.99
1994-04-01,164.4
1994-07-01,166.33
1994-10-01,166.53
1995-01-01,168.6
1995-04-01,171.55
1995-07-01,174.57
1995-10-01,176.53
1996-01-01,178.73
1996-04-01,180.45
1996-07-01,181.81
1996-10-01,184.08
1997-01-01,185.45
1997-04-01,187.37
1997-07-01,190.1
1997-10-01,192.51
1998-01-01,194.31
1998-04-01,196.01
1998-07-01,198.24
1998-10-01,199.98
1999-01-01,201.85
1999-04-01,202.91
1999-07-01,204.06
1999-10-01,205.06
2000-01-01,206.63
2000-04-01,208.39
2000-07-01,211.23
2000-10-01,213.15
2001-01-01,217.64
2001-04-01,219.44
2001-07-01,220.95
2001-10-01,222.94
2002-01-01,224.59
2002-04-01,225.25
2002-07-01,227.7
2002-10-01,228.74
2003-01-01,230.57
2003-04-01,231.71
2003-07-01,233.33
2003-10-01,235.4
2004-01-01,236.69
2004-04-01,237.47
2004-07-01,240.11
2004-10-01,242.75
2005-01-01,244.38
2005-04-01,246.52
2005-07-01,250.18
2005-10-01,250.7
2006-01-01,250.69
2006-04-01,250.29
2006-07-01,251.71
2006-10-01,254.27
2007-01-01,255.04
2007-04-01,255.88
2007-07-01,254.86
2007-10-01,255.26
2008-01-01,257.23
2008-04-01,255.29
2008-07-01,251.36
2008-10-01,250.96
2009-01-01,254.87
2009-04-01,250.82
2009-07-01,246.42
2009-10-01,246.4
2010-01-01,242.98
2010-04-01,243.26
2010-07-01,246.43
2010-10-01,245.93
2011-01-01,240.47
2011-04-01,238.41
2011-07-01,241.25
2011-10-01,242.54
2012-01-01,240.35
2012-04-01,239.89
2012-07-01,242.05
2012-10-01,242.66
2013-01-01,242.66
2013-04-01,243.06
2013-07-01,243.84
2013-10-01,243.92
2014-01-01,243.68
2014-04-01,247.63
2014-07-01,250.02
2014-10-01,251.27
2015-01-01,254.14
2015-04-01,257.37
2015-07-01,258.1
2015-10-01,259.96
2016-01-01,260.12
2016-04-01,265.01
2016-07-01,268.95
2016-10-01,270.51
2017-01-01,271.08
2017-04-01,276.15
2017-07-01,280.92
2017-10-01,283.12
2018-01-01,287.8
2018-04-01,294.55
2018-07-01,298.31
2018-10-01,300.58
2019-01-01,304.58
2019-04-01,310.23
2019-07-01,314.99
2019-10-01,318.29
2020-01-01,321.85
2020-04-01,325.62
2020-07-01,332.65
2020-10-01,340.81
2021-01-01,347.59
2021-04-01,367.78
2021-07-01,385.92
2021-10-01,399.09
2022-01-01,411.1
2022-04-01,436.71
2022-07-01,446.43
2022-10-01,444.58
2023-01-01,447.29
2023-04-01,469.34
2023-07-01,475.75
2023-10-01,478.36
2024-01-01,478.36
