DATE,LASTHPI
1975-01-01,51.71
1975-04-01,55.1
1975-07-01,52.46
1975-10-01,55.64
1976-01-01,58.76
1976-04-01,58.83
1976-07-01,58.15
1976-10-01,61.7
1977-01-01,62.9
1977-04-01,65.16
1977-07-01,62.7
1977-10-01,68.46
1978-01-01,73.06
1978-04-01,73.54
1978-07-01,77.71
1978-10-01,81.85
1979-01-01,87.94
1979-04-01,91.98
1979-07-01,95.82
1979-10-01,97.48
1980-01-01,100.00
1980-04-01,99.38
1980-07-01,100.97
1980-10-01,102.63
1981-01-01,106.61
1981-04-01,108.44
1981-07-01,111.21
1981-10-01,113.02
1982-01-01,110.09
1982-04-01,114.54
1982-07-01,115.25
1982-10-01,115.06
1983-01-01,116.1
1983-04-01,116.98
1983-07-01,115.68
1983-10-01,116.44
1984-01-01,116.6
1984-04-01,117.2
1984-07-01,115.9
1984-10-01,114.58
1985-01-01,111.58
1985-04-01,113.18
1985-07-01,113.22
1985-10-01,110.75
1986-01-01,113.71
1986-04-01,114.39
1986-07-01,111.77
1986-10-01,110.68
1987-01-01,110.75
1987-04-01,110.32
1987-07-01,104.91
1987-10-01,104.8
1988-01-01,101.98
1988-04-01,102.44
1988-07-01,101.12
1988-10-01,99.73
1989-01-01,100.54
1989-04-01,100.56
1989-07-01,102.36
1989-10-01,102.24
1990-01-01,101.64
1990-04-01,102.54
1990-07-01,103.07
1990-10-01,103.58
1991-01-01,103.02
1991-04-01,105.34
1991-07-01,106.33
1991-10-01,108.05
1992-01-01,109.34
1992-04-01,110.42
1992-07-01,111.87
1992-10-01,112.98
1993-01-01,113.8
1993-04-01,115.83
1993-07-01,117.88
1993-10-01,119.46
1994-01-01,121.57
1994-04-01,124.31
1994-07-01,125.5
1994-10-01,125.41
1995-01-01,126.89
1995-04-01,129.5
1995-07-01,131.48
1995-10-01,132.83
1996-01-01,134.77
1996-04-01,136.43
1996-07-01,137.26
1996-10-01,139.29
1997-01-01,140.67
1997-04-01,141.62
1997-07-01,143.61
1997-10-01,145.92
1998-01-01,147.93
1998-04-01,149.25
1998-07-01,151.74
1998-10-01,153.18
1999-01-01,154.57
1999-04-01,156.16
1999-07-01,157.29
1999-10-01,157.74
2000-01-01,160.1
2000-04-01,160.72
2000-07-01,162.62
2000-10-01,164.02
2001-01-01,168.26
2001-04-01,169.97
2001-07-01,171.56
2001-10-01,173.17
2002-01-01,174.17
2002-04-01,175.55
2002-07-01,178.61
2002-10-01,181.24
2003-01-01,183.22
2003-04-01,185.1
2003-07-01,186.81
2003-10-01,189.91
2004-01-01,192.05
2004-04-01,194.99
2004-07-01,198.27
2004-10-01,200.98
2005-01-01,203.18
2005-04-01,207.4
2005-07-01,211.37
2005-10-01,218.51
2006-01-01,225.13
2006-04-01,230.96
2006-07-01,235.8
2006-10-01,239.68
2007-01-01,242.25
2007-04-01,244.64
2007-07-01,245.84
2007-10-01,246.79
2008-01-01,247.39
2008-04-01,247.02
2008-07-01,243.97
2008-10-01,244.69
2009-01-01,247.95
2009-04-01,246.13
2009-07-01,242.71
2009-10-01,243.09
2010-01-01,240.96
2010-04-01,239.69
2010-07-01,242.65
2010-10-01,242.18
2011-01-01,238.51
2011-04-01,237.53
2011-07-01,237.75
2011-10-01,240.77
2012-01-01,239.52
2012-04-01,240.1
2012-07-01,243.68
2012-10-01,243.63
2013-01-01,243.26
2013-04-01,244.69
2013-07-01,246.29
2013-10-01,245.96
2014-01-01,246.77
2014-04-01,249.37
2014-07-01,253.0
2014-10-01,253.5
2015-01-01,257.03
2015-04-01,259.25
2015-07-01,262.12
2015-10-01,262.12
2016-01-01,264.95
2016-04-01,268.4
2016-07-01,270.94
2016-10-01,272.41
2017-01-01,270.94
2017-04-01,274.41
2017-07-01,278.01
2017-10-01,278.99
2018-01-01,278.99
2018-04-01,279.81
2018-07-01,281.22
2018-10-01,281.58
2019-01-01,284.62
2019-04-01,287.35
2019-07-01,289.34
2019-10-01,291.77
2020-01-01,294.66
2020-04-01,297.37
2020-07-01,299.65
2020-10-01,303.43
2021-01-01,307.06
2021-04-01,315.55
2021-07-01,326.21
2021-10-01,333.55
2022-01-01,342.01
2022-04-01,358.52
2022-07-01,360.4
2022-10-01,358.77
2023-01-01,358.34
2023-04-01,361.93
2023-07-01,360.35
2023-10-01,361.56
2024-01-01,362.34
