DATE,MASTHPI
1975-01-01,67.63
1975-04-01,66.34
1975-07-01,67.13
1975-10-01,70.57
1976-01-01,67.4
1976-04-01,69.01
1976-07-01,68.68
1976-10-01,69.86
1977-01-01,72.61
1977-04-01,70.14
1977-07-01,73.78
1977-10-01,73.34
1978-01-01,78.42
1978-04-01,79.82
1978-07-01,84.7
1978-10-01,87.17
1979-01-01,90.77
1979-04-01,94.0
1979-07-01,97.21
1979-10-01,98.01
1980-01-01,100.00
1980-04-01,103.97
1980-07-01,108.44
1980-10-01,108.7
1981-01-01,112.64
1981-04-01,118.71
1981-07-01,121.52
1981-10-01,121.42
1982-01-01,123.56
1982-04-01,124.54
1982-07-01,126.46
1982-10-01,127.95
1983-01-01,130.12
1983-04-01,135.94
1983-07-01,142.84
1983-10-01,148.19
1984-01-01,156.3
1984-04-01,164.56
1984-07-01,174.45
1984-10-01,180.57
1985-01-01,190.24
1985-04-01,204.65
1985-07-01,217.62
1985-10-01,231.96
1986-01-01,241.33
1986-04-01,253.34
1986-07-01,265.67
1986-10-01,278.34
1987-01-01,287.88
1987-04-01,295.12
1987-07-01,303.83
1987-10-01,306.24
1988-01-01,309.78
1988-04-01,314.98
1988-07-01,313.83
1988-10-01,316.13
1989-01-01,313.44
1989-04-01,311.36
1989-07-01,316.09
1989-10-01,316.8
1990-01-01,312.78
1990-04-01,303.71
1990-07-01,298.67
1990-10-01,291.49
1991-01-01,288.49
1991-04-01,285.58
1991-07-01,282.29
1991-10-01,284.98
1992-01-01,284.08
1992-04-01,280.59
1992-07-01,282.15
1992-10-01,282.82
1993-01-01,280.9
1993-04-01,282.64
1993-07-01,283.63
1993-10-01,285.36
1994-01-01,285.53
1994-04-01,282.66
1994-07-01,282.4
1994-10-01,279.96
1995-01-01,281.73
1995-04-01,286.98
1995-07-01,291.69
1995-10-01,293.29
1996-01-01,296.89
1996-04-01,297.32
1996-07-01,298.65
1996-10-01,302.52
1997-01-01,305.18
1997-04-01,309.72
1997-07-01,314.2
1997-10-01,318.95
1998-01-01,323.31
1998-04-01,330.06
1998-07-01,338.34
1998-10-01,343.32
1999-01-01,350.24
1999-04-01,361.7
1999-07-01,376.67
1999-10-01,385.53
2000-01-01,401.85
2000-04-01,414.81
2000-07-01,430.0
2000-10-01,440.39
2001-01-01,452.21
2001-04-01,465.96
2001-07-01,481.51
2001-10-01,491.35
2002-01-01,505.62
2002-04-01,524.22
2002-07-01,539.59
2002-10-01,551.8
2003-01-01,562.71
2003-04-01,571.83
2003-07-01,582.58
2003-10-01,607.51
2004-01-01,617.75
2004-04-01,632.28
2004-07-01,662.75
2004-10-01,673.8
2005-01-01,688.33
2005-04-01,704.64
2005-07-01,715.77
2005-10-01,720.73
2006-01-01,721.41
2006-04-01,712.59
2006-07-01,707.22
2006-10-01,709.22
2007-01-01,703.81
2007-04-01,693.8
2007-07-01,680.13
2007-10-01,680.22
2008-01-01,676.72
2008-04-01,655.25
2008-07-01,638.9
2008-10-01,639.69
2009-01-01,640.0
2009-04-01,624.2
2009-07-01,613.55
2009-10-01,614.56
2010-01-01,610.89
2010-04-01,609.1
2010-07-01,612.65
2010-10-01,612.41
2011-01-01,603.53
2011-04-01,596.59
2011-07-01,599.77
2011-10-01,600.51
2012-01-01,596.69
2012-04-01,594.98
2012-07-01,598.99
2012-10-01,601.88
2013-01-01,603.67
2013-04-01,608.81
2013-07-01,615.71
2013-10-01,618.77
2014-01-01,622.74
2014-04-01,636.56
2014-07-01,643.74
2014-10-01,648.09
2015-01-01,653.79
2015-04-01,661.61
2015-07-01,672.41
2015-10-01,676.32
2016-01-01,683.57
2016-04-01,693.18
2016-07-01,705.52
2016-10-01,711.99
2017-01-01,715.55
2017-04-01,734.27
2017-07-01,744.63
2017-10-01,750.62
2018-01-01,759.11
2018-04-01,773.46
2018-07-01,783.09
2018-10-01,784.0
2019-01-01,793.33
2019-04-01,805.18
2019-07-01,814.5
2019-10-01,822.02
2020-01-01,830.61
2020-04-01,839.13
2020-07-01,853.98
2020-10-01,871.13
2021-01-01,890.16
2021-04-01,937.84
2021-07-01,986.99
2021-10-01,1009.4
2022-01-01,1035.23
2022-04-01,1102.42
2022-07-01,1111.59
2022-10-01,1100.92
2023-01-01,1113.29
2023-04-01,1152.92
2023-07-01,1181.78
2023-10-01,1183.2
2024-01-01,1200.86
