DATE,MESTHPI
1975-01-01,60.58
1975-04-01,88.33
1975-07-01,68.4
1975-10-01,71.63
1976-01-01,55.79
1976-04-01,70.02
1976-07-01,83.58
1976-10-01,70.59
1977-01-01,74.61
1977-04-01,79.73
1977-07-01,82.7
1977-10-01,86.58
1978-01-01,82.62
1978-04-01,91.63
1978-07-01,90.46
1978-10-01,94.38
1979-01-01,104.9
1979-04-01,103.03
1979-07-01,98.04
1979-10-01,105.46
1980-01-01,100.00
1980-04-01,104.44
1980-07-01,110.18
1980-10-01,105.77
1981-01-01,119.29
1981-04-01,113.78
1981-07-01,108.8
1981-10-01,117.52
1982-01-01,105.25
1982-04-01,114.32
1982-07-01,109.85
1982-10-01,113.17
1983-01-01,114.25
1983-04-01,119.76
1983-07-01,125.43
1983-10-01,131.17
1984-01-01,132.5
1984-04-01,138.81
1984-07-01,142.55
1984-10-01,140.27
1985-01-01,145.86
1985-04-01,150.49
1985-07-01,156.4
1985-10-01,164.51
1986-01-01,167.36
1986-04-01,173.37
1986-07-01,180.78
1986-10-01,188.77
1987-01-01,196.22
1987-04-01,204.08
1987-07-01,214.28
1987-10-01,222.03
1988-01-01,227.84
1988-04-01,229.56
1988-07-01,236.62
1988-10-01,237.71
1989-01-01,238.97
1989-04-01,241.93
1989-07-01,244.42
1989-10-01,246.58
1990-01-01,243.53
1990-04-01,239.0
1990-07-01,234.79
1990-10-01,237.02
1991-01-01,230.62
1991-04-01,233.85
1991-07-01,229.97
1991-10-01,232.46
1992-01-01,233.86
1992-04-01,229.06
1992-07-01,230.07
1992-10-01,231.57
1993-01-01,228.34
1993-04-01,231.31
1993-07-01,229.55
1993-10-01,231.74
1994-01-01,231.57
1994-04-01,225.69
1994-07-01,224.19
1994-10-01,220.58
1995-01-01,222.64
1995-04-01,225.95
1995-07-01,230.25
1995-10-01,230.48
1996-01-01,235.78
1996-04-01,232.86
1996-07-01,232.27
1996-10-01,235.99
1997-01-01,234.71
1997-04-01,236.83
1997-07-01,240.24
1997-10-01,243.78
1998-01-01,247.13
1998-04-01,249.01
1998-07-01,252.04
1998-10-01,255.78
1999-01-01,258.34
1999-04-01,263.89
1999-07-01,269.55
1999-10-01,271.96
2000-01-01,277.78
2000-04-01,285.49
2000-07-01,291.96
2000-10-01,297.73
2001-01-01,306.29
2001-04-01,312.06
2001-07-01,321.44
2001-10-01,326.44
2002-01-01,333.67
2002-04-01,344.05
2002-07-01,353.85
2002-10-01,360.36
2003-01-01,367.1
2003-04-01,372.34
2003-07-01,383.09
2003-10-01,397.43
2004-01-01,406.49
2004-04-01,418.18
2004-07-01,438.2
2004-10-01,447.45
2005-01-01,460.48
2005-04-01,470.75
2005-07-01,483.01
2005-10-01,490.66
2006-01-01,494.97
2006-04-01,492.38
2006-07-01,495.51
2006-10-01,503.09
2007-01-01,506.37
2007-04-01,502.94
2007-07-01,499.85
2007-10-01,506.01
2008-01-01,508.24
2008-04-01,499.96
2008-07-01,488.18
2008-10-01,485.08
2009-01-01,489.52
2009-04-01,478.54
2009-07-01,467.89
2009-10-01,462.47
2010-01-01,459.61
2010-04-01,453.92
2010-07-01,459.1
2010-10-01,460.26
2011-01-01,452.83
2011-04-01,445.05
2011-07-01,448.79
2011-10-01,451.71
2012-01-01,446.7
2012-04-01,441.93
2012-07-01,443.23
2012-10-01,443.91
2013-01-01,446.92
2013-04-01,448.68
2013-07-01,445.84
2013-10-01,443.95
2014-01-01,445.71
2014-04-01,449.74
2014-07-01,457.27
2014-10-01,455.37
2015-01-01,461.39
2015-04-01,464.51
2015-07-01,466.68
2015-10-01,469.68
2016-01-01,473.64
2016-04-01,477.96
2016-07-01,488.22
2016-10-01,492.47
2017-01-01,496.48
2017-04-01,500.35
2017-07-01,510.18
2017-10-01,515.98
2018-01-01,521.88
2018-04-01,530.58
2018-07-01,537.98
2018-10-01,540.14
2019-01-01,545.24
2019-04-01,557.82
2019-07-01,565.3
2019-10-01,572.87
2020-01-01,578.14
2020-04-01,586.95
2020-07-01,600.08
2020-10-01,622.27
2021-01-01,640.71
2021-04-01,681.08
2021-07-01,729.17
2021-10-01,751.6
2022-01-01,778.08
2022-04-01,835.1
2022-07-01,855.55
2022-10-01,857.35
2023-01-01,872.61
2023-04-01,920.18
2023-07-01,951.34
2023-10-01,928.02
2024-01-01,945.72
