DATE,MISTHPI
1975-01-01,60.17
1975-04-01,62.51
1975-07-01,63.39
1975-10-01,62.34
1976-01-01,62.91
1976-04-01,64.1
1976-07-01,64.33
1976-10-01,65.68
1977-01-01,67.45
1977-04-01,68.18
1977-07-01,71.29
1977-10-01,72.65
1978-01-01,75.6
1978-04-01,79.53
1978-07-01,82.99
1978-10-01,86.73
1979-01-01,91.35
1979-04-01,96.1
1979-07-01,99.05
1979-10-01,99.48
1980-01-01,100.00
1980-04-01,101.9
1980-07-01,102.8
1980-10-01,101.76
1981-01-01,103.2
1981-04-01,103.38
1981-07-01,106.34
1981-10-01,105.49
1982-01-01,104.59
1982-04-01,99.59
1982-07-01,94.54
1982-10-01,87.67
1983-01-01,96.63
1983-04-01,97.07
1983-07-01,97.26
1983-10-01,95.13
1984-01-01,97.52
1984-04-01,97.13
1984-07-01,97.22
1984-10-01,97.42
1985-01-01,99.65
1985-04-01,100.74
1985-07-01,102.64
1985-10-01,103.75
1986-01-01,105.38
1986-04-01,108.74
1986-07-01,112.01
1986-10-01,114.5
1987-01-01,117.46
1987-04-01,121.4
1987-07-01,124.01
1987-10-01,126.03
1988-01-01,127.83
1988-04-01,131.07
1988-07-01,133.22
1988-10-01,134.38
1989-01-01,136.43
1989-04-01,139.27
1989-07-01,142.57
1989-10-01,143.14
1990-01-01,145.28
1990-04-01,147.57
1990-07-01,148.48
1990-10-01,148.86
1991-01-01,150.62
1991-04-01,152.67
1991-07-01,153.87
1991-10-01,155.76
1992-01-01,157.02
1992-04-01,158.04
1992-07-01,159.22
1992-10-01,160.43
1993-01-01,161.06
1993-04-01,162.3
1993-07-01,163.73
1993-10-01,165.12
1994-01-01,166.97
1994-04-01,169.77
1994-07-01,173.08
1994-10-01,175.24
1995-01-01,178.39
1995-04-01,181.87
1995-07-01,185.16
1995-10-01,188.27
1996-01-01,190.96
1996-04-01,196.26
1996-07-01,200.75
1996-10-01,203.45
1997-01-01,206.91
1997-04-01,211.39
1997-07-01,215.06
1997-10-01,218.1
1998-01-01,220.57
1998-04-01,224.77
1998-07-01,228.49
1998-10-01,230.62
1999-01-01,234.3
1999-04-01,239.39
1999-07-01,244.19
1999-10-01,247.2
2000-01-01,252.84
2000-04-01,256.4
2000-07-01,260.94
2000-10-01,264.68
2001-01-01,268.84
2001-04-01,272.33
2001-07-01,275.94
2001-10-01,278.21
2002-01-01,281.65
2002-04-01,284.78
2002-07-01,287.4
2002-10-01,289.22
2003-01-01,291.41
2003-04-01,293.67
2003-07-01,296.28
2003-10-01,300.59
2004-01-01,302.6
2004-04-01,304.69
2004-07-01,308.86
2004-10-01,312.25
2005-01-01,314.9
2005-04-01,316.63
2005-07-01,319.23
2005-10-01,318.44
2006-01-01,317.16
2006-04-01,311.93
2006-07-01,309.54
2006-10-01,311.11
2007-01-01,308.6
2007-04-01,302.91
2007-07-01,293.3
2007-10-01,292.08
2008-01-01,291.28
2008-04-01,279.33
2008-07-01,267.96
2008-10-01,265.17
2009-01-01,270.74
2009-04-01,260.19
2009-07-01,248.41
2009-10-01,244.09
2010-01-01,239.34
2010-04-01,235.5
2010-07-01,239.57
2010-10-01,238.99
2011-01-01,229.25
2011-04-01,225.42
2011-07-01,230.02
2011-10-01,231.8
2012-01-01,227.27
2012-04-01,226.17
2012-07-01,230.69
2012-10-01,233.89
2013-01-01,236.43
2013-04-01,241.4
2013-07-01,246.91
2013-10-01,248.87
2014-01-01,251.2
2014-04-01,258.73
2014-07-01,264.56
2014-10-01,266.72
2015-01-01,267.96
2015-04-01,273.69
2015-07-01,278.4
2015-10-01,279.63
2016-01-01,281.91
2016-04-01,287.98
2016-07-01,293.56
2016-10-01,295.63
2017-01-01,299.29
2017-04-01,307.5
2017-07-01,313.46
2017-10-01,315.28
2018-01-01,319.32
2018-04-01,327.15
2018-07-01,332.33
2018-10-01,333.08
2019-01-01,337.46
2019-04-01,344.32
2019-07-01,348.54
2019-10-01,350.99
2020-01-01,354.32
2020-04-01,358.08
2020-07-01,365.95
2020-10-01,373.55
2021-01-01,381.46
2021-04-01,402.77
2021-07-01,423.59
2021-10-01,432.85
2022-01-01,444.6
2022-04-01,472.89
2022-07-01,478.68
2022-10-01,473.16
2023-01-01,476.25
2023-04-01,500.2
2023-07-01,510.68
2023-10-01,510.42
2024-01-01,514.11
