DATE,MNSTHPI
1975-01-01,56.04
1975-04-01,56.11
1975-07-01,58.18
1975-10-01,60.1
1976-01-01,63.04
1976-04-01,62.65
1976-07-01,63.15
1976-10-01,64.64
1977-01-01,66.84
1977-04-01,69.03
1977-07-01,73.2
1977-10-01,75.07
1978-01-01,76.55
1978-04-01,82.25
1978-07-01,85.74
1978-10-01,87.79
1979-01-01,91.5
1979-04-01,94.67
1979-07-01,97.54
1979-10-01,99.34
1980-01-01,100.00
1980-04-01,102.72
1980-07-01,106.87
1980-10-01,104.93
1981-01-01,100.81
1981-04-01,100.16
1981-07-01,103.69
1981-10-01,106.8
1982-01-01,89.46
1982-04-01,91.81
1982-07-01,98.74
1982-10-01,106.05
1983-01-01,109.8
1983-04-01,111.66
1983-07-01,111.54
1983-10-01,109.32
1984-01-01,113.54
1984-04-01,113.63
1984-07-01,115.55
1984-10-01,115.72
1985-01-01,116.79
1985-04-01,118.25
1985-07-01,115.42
1985-10-01,119.89
1986-01-01,121.29
1986-04-01,120.42
1986-07-01,124.04
1986-10-01,123.89
1987-01-01,126.81
1987-04-01,129.05
1987-07-01,130.42
1987-10-01,129.53
1988-01-01,131.78
1988-04-01,133.61
1988-07-01,133.58
1988-10-01,134.4
1989-01-01,134.82
1989-04-01,136.65
1989-07-01,138.65
1989-10-01,139.42
1990-01-01,139.47
1990-04-01,139.47
1990-07-01,140.27
1990-10-01,140.2
1991-01-01,142.22
1991-04-01,143.32
1991-07-01,143.69
1991-10-01,146.2
1992-01-01,146.92
1992-04-01,147.75
1992-07-01,149.45
1992-10-01,150.42
1993-01-01,151.73
1993-04-01,153.19
1993-07-01,155.14
1993-10-01,156.77
1994-01-01,157.71
1994-04-01,160.52
1994-07-01,161.83
1994-10-01,162.32
1995-01-01,163.93
1995-04-01,167.02
1995-07-01,170.04
1995-10-01,172.15
1996-01-01,174.51
1996-04-01,175.72
1996-07-01,177.41
1996-10-01,179.41
1997-01-01,181.61
1997-04-01,183.52
1997-07-01,186.91
1997-10-01,189.54
1998-01-01,192.7
1998-04-01,194.09
1998-07-01,198.1
1998-10-01,200.39
1999-01-01,203.69
1999-04-01,209.78
1999-07-01,216.42
1999-10-01,219.24
2000-01-01,225.51
2000-04-01,232.2
2000-07-01,237.98
2000-10-01,242.58
2001-01-01,249.0
2001-04-01,255.71
2001-07-01,263.44
2001-10-01,266.94
2002-01-01,272.49
2002-04-01,279.78
2002-07-01,285.83
2002-10-01,290.23
2003-01-01,294.24
2003-04-01,297.65
2003-07-01,304.6
2003-10-01,315.6
2004-01-01,319.38
2004-04-01,325.66
2004-07-01,336.61
2004-10-01,341.54
2005-01-01,348.2
2005-04-01,355.28
2005-07-01,361.8
2005-10-01,365.8
2006-01-01,367.67
2006-04-01,365.69
2006-07-01,365.98
2006-10-01,369.9
2007-01-01,371.91
2007-04-01,367.88
2007-07-01,360.22
2007-10-01,358.81
2008-01-01,360.38
2008-04-01,349.3
2008-07-01,338.8
2008-10-01,337.78
2009-01-01,343.73
2009-04-01,333.77
2009-07-01,320.33
2009-10-01,316.03
2010-01-01,311.27
2010-04-01,308.42
2010-07-01,315.39
2010-10-01,311.26
2011-01-01,298.33
2011-04-01,291.53
2011-07-01,295.25
2011-10-01,298.21
2012-01-01,292.74
2012-04-01,290.77
2012-07-01,295.43
2012-10-01,298.71
2013-01-01,299.85
2013-04-01,305.42
2013-07-01,311.84
2013-10-01,312.14
2014-01-01,314.02
2014-04-01,321.95
2014-07-01,325.12
2014-10-01,326.17
2015-01-01,327.08
2015-04-01,334.01
2015-07-01,338.98
2015-10-01,339.8
2016-01-01,341.79
2016-04-01,349.49
2016-07-01,354.89
2016-10-01,356.77
2017-01-01,360.34
2017-04-01,370.74
2017-07-01,375.93
2017-10-01,377.22
2018-01-01,382.65
2018-04-01,391.4
2018-07-01,396.07
2018-10-01,395.4
2019-01-01,400.09
2019-04-01,407.67
2019-07-01,412.27
2019-10-01,414.63
2020-01-01,418.61
2020-04-01,421.97
2020-07-01,430.77
2020-10-01,438.62
2021-01-01,445.42
2021-04-01,469.18
2021-07-01,491.68
2021-10-01,500.17
2022-01-01,511.54
2022-04-01,544.57
2022-07-01,543.26
2022-10-01,534.32
2023-01-01,537.96
2023-04-01,561.62
2023-07-01,563.97
2023-10-01,554.86
2024-01-01,565.8
