DATE,MOSTHPI
1975-01-01,65.46
1975-04-01,73.77
1975-07-01,65.75
1975-10-01,65.15
1976-01-01,67.2
1976-04-01,77.44
1976-07-01,69.49
1976-10-01,69.4
1977-01-01,71.5
1977-04-01,81.39
1977-07-01,77.51
1977-10-01,80.3
1978-01-01,82.62
1978-04-01,92.77
1978-07-01,90.13
1978-10-01,91.02
1979-01-01,96.08
1979-04-01,102.61
1979-07-01,98.55
1979-10-01,100.52
1980-01-01,100.00
1980-04-01,111.08
1980-07-01,104.92
1980-10-01,105.53
1981-01-01,103.29
1981-04-01,104.02
1981-07-01,103.05
1981-10-01,102.28
1982-01-01,103.18
1982-04-01,101.75
1982-07-01,103.67
1982-10-01,104.03
1983-01-01,105.5
1983-04-01,108.19
1983-07-01,111.57
1983-10-01,112.56
1984-01-01,113.11
1984-04-01,115.28
1984-07-01,118.89
1984-10-01,119.02
1985-01-01,120.23
1985-04-01,123.45
1985-07-01,125.47
1985-10-01,126.34
1986-01-01,127.41
1986-04-01,129.37
1986-07-01,131.91
1986-10-01,134.06
1987-01-01,135.83
1987-04-01,138.84
1987-07-01,140.35
1987-10-01,140.85
1988-01-01,140.78
1988-04-01,142.9
1988-07-01,143.74
1988-10-01,143.6
1989-01-01,143.6
1989-04-01,145.25
1989-07-01,146.1
1989-10-01,146.75
1990-01-01,146.85
1990-04-01,146.68
1990-07-01,146.89
1990-10-01,145.67
1991-01-01,147.32
1991-04-01,148.12
1991-07-01,148.52
1991-10-01,150.14
1992-01-01,150.96
1992-04-01,151.32
1992-07-01,152.41
1992-10-01,153.35
1993-01-01,153.49
1993-04-01,154.43
1993-07-01,155.54
1993-10-01,156.87
1994-01-01,158.54
1994-04-01,161.47
1994-07-01,163.99
1994-10-01,164.29
1995-01-01,166.43
1995-04-01,168.3
1995-07-01,170.63
1995-10-01,172.12
1996-01-01,173.65
1996-04-01,176.05
1996-07-01,177.27
1996-10-01,179.35
1997-01-01,180.97
1997-04-01,182.65
1997-07-01,184.9
1997-10-01,186.73
1998-01-01,188.44
1998-04-01,190.28
1998-07-01,192.49
1998-10-01,194.17
1999-01-01,196.63
1999-04-01,199.72
1999-07-01,202.0
1999-10-01,203.97
2000-01-01,207.88
2000-04-01,210.41
2000-07-01,213.83
2000-10-01,216.45
2001-01-01,220.08
2001-04-01,223.39
2001-07-01,226.66
2001-10-01,228.91
2002-01-01,232.63
2002-04-01,235.7
2002-07-01,238.64
2002-10-01,241.54
2003-01-01,243.63
2003-04-01,245.36
2003-07-01,248.4
2003-10-01,254.07
2004-01-01,257.09
2004-04-01,260.4
2004-07-01,266.41
2004-10-01,270.03
2005-01-01,274.62
2005-04-01,278.65
2005-07-01,283.62
2005-10-01,286.8
2006-01-01,289.51
2006-04-01,289.91
2006-07-01,292.67
2006-10-01,296.13
2007-01-01,297.51
2007-04-01,297.91
2007-07-01,296.26
2007-10-01,297.51
2008-01-01,297.86
2008-04-01,293.83
2008-07-01,289.0
2008-10-01,289.64
2009-01-01,292.0
2009-04-01,287.3
2009-07-01,280.58
2009-10-01,279.33
2010-01-01,277.15
2010-04-01,275.33
2010-07-01,278.26
2010-10-01,276.45
2011-01-01,269.47
2011-04-01,265.32
2011-07-01,268.97
2011-10-01,270.29
2012-01-01,267.92
2012-04-01,265.38
2012-07-01,268.29
2012-10-01,268.61
2013-01-01,267.44
2013-04-01,268.39
2013-07-01,268.61
2013-10-01,268.06
2014-01-01,268.59
2014-04-01,273.34
2014-07-01,275.58
2014-10-01,277.98
2015-01-01,280.25
2015-04-01,282.54
2015-07-01,285.2
2015-10-01,288.33
2016-01-01,290.67
2016-04-01,294.4
2016-07-01,299.21
2016-10-01,300.43
2017-01-01,301.88
2017-04-01,308.04
2017-07-01,311.75
2017-10-01,314.17
2018-01-01,318.73
2018-04-01,323.75
2018-07-01,327.0
2018-10-01,329.81
2019-01-01,332.66
2019-04-01,338.89
2019-07-01,342.8
2019-10-01,347.34
2020-01-01,351.28
2020-04-01,353.85
2020-07-01,360.56
2020-10-01,367.68
2021-01-01,375.04
2021-04-01,398.07
2021-07-01,415.58
2021-10-01,427.76
2022-01-01,442.54
2022-04-01,471.76
2022-07-01,477.25
2022-10-01,476.93
2023-01-01,484.0
2023-04-01,504.47
2023-07-01,511.76
2023-10-01,513.19
2024-01-01,516.23
