DATE,MSSTHPI
1975-01-01,75.05
1975-04-01,72.06
1975-07-01,72.33
1975-10-01,73.05
1976-01-01,73.6
1976-04-01,74.64
1976-07-01,71.85
1976-10-01,83.11
1977-01-01,75.34
1977-04-01,77.12
1977-07-01,77.99
1977-10-01,85.95
1978-01-01,86.29
1978-04-01,87.97
1978-07-01,92.63
1978-10-01,90.31
1979-01-01,98.3
1979-04-01,101.69
1979-07-01,106.38
1979-10-01,93.33
1980-01-01,100.00
1980-04-01,96.73
1980-07-01,104.09
1980-10-01,103.9
1981-01-01,94.52
1981-04-01,115.08
1981-07-01,107.36
1981-10-01,93.17
1982-01-01,102.89
1982-04-01,104.44
1982-07-01,108.36
1982-10-01,107.94
1983-01-01,112.27
1983-04-01,112.93
1983-07-01,110.38
1983-10-01,115.36
1984-01-01,118.33
1984-04-01,115.01
1984-07-01,112.8
1984-10-01,114.26
1985-01-01,119.84
1985-04-01,121.94
1985-07-01,122.7
1985-10-01,122.39
1986-01-01,123.78
1986-04-01,125.77
1986-07-01,123.92
1986-10-01,124.58
1987-01-01,126.03
1987-04-01,125.95
1987-07-01,124.24
1987-10-01,123.41
1988-01-01,122.14
1988-04-01,124.01
1988-07-01,121.93
1988-10-01,123.9
1989-01-01,119.46
1989-04-01,123.56
1989-07-01,125.8
1989-10-01,124.63
1990-01-01,126.24
1990-04-01,124.44
1990-07-01,125.73
1990-10-01,124.52
1991-01-01,127.18
1991-04-01,125.98
1991-07-01,126.32
1991-10-01,129.61
1992-01-01,131.35
1992-04-01,131.5
1992-07-01,132.45
1992-10-01,132.91
1993-01-01,133.46
1993-04-01,135.59
1993-07-01,137.35
1993-10-01,138.31
1994-01-01,140.56
1994-04-01,142.62
1994-07-01,144.04
1994-10-01,146.4
1995-01-01,146.47
1995-04-01,149.52
1995-07-01,151.95
1995-10-01,153.65
1996-01-01,154.57
1996-04-01,155.32
1996-07-01,158.28
1996-10-01,159.32
1997-01-01,159.87
1997-04-01,160.95
1997-07-01,163.39
1997-10-01,165.79
1998-01-01,167.8
1998-04-01,170.44
1998-07-01,172.03
1998-10-01,173.73
1999-01-01,176.03
1999-04-01,178.47
1999-07-01,179.14
1999-10-01,179.03
2000-01-01,180.97
2000-04-01,182.22
2000-07-01,185.0
2000-10-01,186.31
2001-01-01,191.04
2001-04-01,192.24
2001-07-01,194.11
2001-10-01,195.79
2002-01-01,196.39
2002-04-01,195.77
2002-07-01,199.39
2002-10-01,201.38
2003-01-01,202.64
2003-04-01,204.27
2003-07-01,205.32
2003-10-01,206.82
2004-01-01,208.84
2004-04-01,211.18
2004-07-01,213.94
2004-10-01,216.93
2005-01-01,218.17
2005-04-01,222.55
2005-07-01,227.09
2005-10-01,232.23
2006-01-01,236.08
2006-04-01,243.01
2006-07-01,247.69
2006-10-01,252.18
2007-01-01,256.05
2007-04-01,256.1
2007-07-01,256.19
2007-10-01,259.49
2008-01-01,259.81
2008-04-01,257.74
2008-07-01,253.08
2008-10-01,255.61
2009-01-01,256.41
2009-04-01,253.94
2009-07-01,249.05
2009-10-01,247.65
2010-01-01,244.85
2010-04-01,241.77
2010-07-01,244.61
2010-10-01,242.79
2011-01-01,237.57
2011-04-01,237.65
2011-07-01,239.93
2011-10-01,241.29
2012-01-01,238.68
2012-04-01,237.36
2012-07-01,239.72
2012-10-01,238.23
2013-01-01,238.53
2013-04-01,237.97
2013-07-01,238.6
2013-10-01,237.06
2014-01-01,239.25
2014-04-01,239.41
2014-07-01,241.99
2014-10-01,244.87
2015-01-01,246.62
2015-04-01,246.92
2015-07-01,249.68
2015-10-01,251.29
2016-01-01,252.21
2016-04-01,253.76
2016-07-01,254.8
2016-10-01,259.23
2017-01-01,259.05
2017-04-01,259.28
2017-07-01,262.05
2017-10-01,263.3
2018-01-01,265.75
2018-04-01,265.62
2018-07-01,266.96
2018-10-01,269.1
2019-01-01,272.49
2019-04-01,275.79
2019-07-01,279.05
2019-10-01,280.21
2020-01-01,284.34
2020-04-01,284.68
2020-07-01,289.18
2020-10-01,294.14
2021-01-01,298.34
2021-04-01,309.14
2021-07-01,326.13
2021-10-01,335.57
2022-01-01,345.23
2022-04-01,360.18
2022-07-01,373.93
2022-10-01,376.73
2023-01-01,375.65
2023-04-01,382.02
2023-07-01,383.94
2023-10-01,395.84
2024-01-01,391.68
