DATE,MTSTHPI
1975-01-01,56.58
1975-04-01,56.59
1975-07-01,58.86
1975-10-01,57.8
1976-01-01,59.08
1976-04-01,64.66
1976-07-01,63.89
1976-10-01,64.85
1977-01-01,65.57
1977-04-01,70.99
1977-07-01,76.2
1977-10-01,79.16
1978-01-01,89.67
1978-04-01,88.84
1978-07-01,89.54
1978-10-01,92.06
1979-01-01,93.92
1979-04-01,99.8
1979-07-01,96.13
1979-10-01,103.1
1980-01-01,100.00
1980-04-01,94.31
1980-07-01,107.67
1980-10-01,101.31
1981-01-01,94.73
1981-04-01,101.13
1981-07-01,113.29
1981-10-01,99.32
1982-01-01,104.26
1982-04-01,112.71
1982-07-01,99.85
1982-10-01,112.26
1983-01-01,98.08
1983-04-01,104.01
1983-07-01,109.41
1983-10-01,113.55
1984-01-01,122.23
1984-04-01,119.66
1984-07-01,114.92
1984-10-01,111.33
1985-01-01,114.91
1985-04-01,109.26
1985-07-01,115.09
1985-10-01,117.48
1986-01-01,116.54
1986-04-01,113.46
1986-07-01,114.38
1986-10-01,114.79
1987-01-01,109.49
1987-04-01,111.92
1987-07-01,109.94
1987-10-01,104.31
1988-01-01,108.84
1988-04-01,109.67
1988-07-01,112.87
1988-10-01,112.36
1989-01-01,110.34
1989-04-01,111.3
1989-07-01,113.95
1989-10-01,115.37
1990-01-01,113.84
1990-04-01,115.73
1990-07-01,120.49
1990-10-01,120.99
1991-01-01,119.03
1991-04-01,123.02
1991-07-01,124.96
1991-10-01,129.57
1992-01-01,131.49
1992-04-01,133.65
1992-07-01,137.38
1992-10-01,141.77
1993-01-01,144.35
1993-04-01,148.38
1993-07-01,150.88
1993-10-01,156.0
1994-01-01,158.35
1994-04-01,165.03
1994-07-01,169.06
1994-10-01,170.25
1995-01-01,171.91
1995-04-01,175.82
1995-07-01,179.55
1995-10-01,180.54
1996-01-01,183.18
1996-04-01,185.21
1996-07-01,187.41
1996-10-01,188.25
1997-01-01,188.88
1997-04-01,189.57
1997-07-01,192.04
1997-10-01,195.47
1998-01-01,196.91
1998-04-01,196.61
1998-07-01,198.4
1998-10-01,200.49
1999-01-01,200.39
1999-04-01,202.54
1999-07-01,204.95
1999-10-01,204.57
2000-01-01,207.25
2000-04-01,208.82
2000-07-01,212.01
2000-10-01,215.03
2001-01-01,219.31
2001-04-01,221.88
2001-07-01,223.95
2001-10-01,225.54
2002-01-01,230.51
2002-04-01,232.54
2002-07-01,236.99
2002-10-01,239.26
2003-01-01,241.79
2003-04-01,246.72
2003-07-01,252.23
2003-10-01,258.82
2004-01-01,263.32
2004-04-01,269.8
2004-07-01,279.2
2004-10-01,285.68
2005-01-01,292.83
2005-04-01,304.5
2005-07-01,313.58
2005-10-01,323.94
2006-01-01,330.47
2006-04-01,340.77
2006-07-01,349.21
2006-10-01,355.93
2007-01-01,362.68
2007-04-01,367.62
2007-07-01,371.24
2007-10-01,373.68
2008-01-01,377.51
2008-04-01,375.27
2008-07-01,369.31
2008-10-01,372.93
2009-01-01,374.59
2009-04-01,369.71
2009-07-01,361.01
2009-10-01,358.54
2010-01-01,351.73
2010-04-01,347.99
2010-07-01,352.69
2010-10-01,351.38
2011-01-01,340.66
2011-04-01,339.55
2011-07-01,340.85
2011-10-01,342.57
2012-01-01,344.31
2012-04-01,343.79
2012-07-01,346.85
2012-10-01,351.61
2013-01-01,354.83
2013-04-01,357.37
2013-07-01,362.28
2013-10-01,363.12
2014-01-01,367.24
2014-04-01,369.51
2014-07-01,377.67
2014-10-01,379.89
2015-01-01,382.33
2015-04-01,388.23
2015-07-01,391.39
2015-10-01,395.41
2016-01-01,398.99
2016-04-01,401.15
2016-07-01,407.34
2016-10-01,409.51
2017-01-01,417.02
2017-04-01,421.01
2017-07-01,429.09
2017-10-01,431.06
2018-01-01,438.21
2018-04-01,447.11
2018-07-01,452.05
2018-10-01,457.3
2019-01-01,459.88
2019-04-01,469.31
2019-07-01,475.81
2019-10-01,482.21
2020-01-01,488.85
2020-04-01,489.83
2020-07-01,503.73
2020-10-01,520.14
2021-01-01,537.1
2021-04-01,580.19
2021-07-01,622.2
2021-10-01,651.16
2022-01-01,677.68
2022-04-01,728.77
2022-07-01,742.29
2022-10-01,748.08
2023-01-01,744.53
2023-04-01,776.54
2023-07-01,777.24
2023-10-01,782.69
2024-01-01,783.07
