DATE,NCSTHPI
1975-01-01,66.03
1975-04-01,67.19
1975-07-01,69.1
1975-10-01,70.61
1976-01-01,68.72
1976-04-01,69.99
1976-07-01,70.75
1976-10-01,70.79
1977-01-01,75.08
1977-04-01,74.15
1977-07-01,76.82
1977-10-01,81.3
1978-01-01,83.01
1978-04-01,83.14
1978-07-01,86.82
1978-10-01,87.31
1979-01-01,90.1
1979-04-01,91.74
1979-07-01,96.22
1979-10-01,96.26
1980-01-01,100.00
1980-04-01,98.91
1980-07-01,101.26
1980-10-01,102.56
1981-01-01,106.21
1981-04-01,106.1
1981-07-01,106.02
1981-10-01,104.55
1982-01-01,106.69
1982-04-01,109.66
1982-07-01,107.5
1982-10-01,112.15
1983-01-01,112.97
1983-04-01,111.42
1983-07-01,114.19
1983-10-01,115.6
1984-01-01,118.25
1984-04-01,122.43
1984-07-01,121.78
1984-10-01,125.09
1985-01-01,127.92
1985-04-01,130.34
1985-07-01,133.18
1985-10-01,134.98
1986-01-01,136.12
1986-04-01,138.81
1986-07-01,141.26
1986-10-01,143.01
1987-01-01,145.75
1987-04-01,147.31
1987-07-01,149.79
1987-10-01,150.76
1988-01-01,151.91
1988-04-01,154.28
1988-07-01,155.84
1988-10-01,156.45
1989-01-01,156.94
1989-04-01,157.77
1989-07-01,160.55
1989-10-01,161.04
1990-01-01,161.31
1990-04-01,161.76
1990-07-01,163.24
1990-10-01,163.13
1991-01-01,164.1
1991-04-01,165.29
1991-07-01,165.67
1991-10-01,167.97
1992-01-01,169.07
1992-04-01,169.4
1992-07-01,171.48
1992-10-01,172.26
1993-01-01,172.69
1993-04-01,174.2
1993-07-01,176.02
1993-10-01,177.45
1994-01-01,179.08
1994-04-01,181.92
1994-07-01,184.35
1994-10-01,186.54
1995-01-01,188.01
1995-04-01,190.74
1995-07-01,193.92
1995-10-01,195.77
1996-01-01,198.12
1996-04-01,199.85
1996-07-01,202.27
1996-10-01,203.86
1997-01-01,206.4
1997-04-01,209.01
1997-07-01,211.84
1997-10-01,214.87
1998-01-01,217.65
1998-04-01,219.14
1998-07-01,222.4
1998-10-01,224.5
1999-01-01,226.44
1999-04-01,228.8
1999-07-01,230.14
1999-10-01,231.22
2000-01-01,233.27
2000-04-01,236.23
2000-07-01,239.24
2000-10-01,241.84
2001-01-01,247.13
2001-04-01,249.29
2001-07-01,251.29
2001-10-01,253.58
2002-01-01,255.13
2002-04-01,256.21
2002-07-01,259.76
2002-10-01,261.51
2003-01-01,263.67
2003-04-01,265.4
2003-07-01,266.74
2003-10-01,269.14
2004-01-01,272.19
2004-04-01,274.7
2004-07-01,277.56
2004-10-01,282.33
2005-01-01,286.85
2005-04-01,290.65
2005-07-01,297.21
2005-10-01,303.5
2006-01-01,308.42
2006-04-01,312.64
2006-07-01,317.94
2006-10-01,323.74
2007-01-01,328.86
2007-04-01,331.97
2007-07-01,333.28
2007-10-01,335.84
2008-01-01,338.71
2008-04-01,338.04
2008-07-01,334.05
2008-10-01,333.86
2009-01-01,337.68
2009-04-01,331.94
2009-07-01,324.21
2009-10-01,320.38
2010-01-01,315.11
2010-04-01,312.53
2010-07-01,314.58
2010-10-01,312.87
2011-01-01,305.82
2011-04-01,299.68
2011-07-01,301.13
2011-10-01,302.29
2012-01-01,298.05
2012-04-01,294.46
2012-07-01,297.48
2012-10-01,298.75
2013-01-01,298.15
2013-04-01,299.66
2013-07-01,300.29
2013-10-01,299.47
2014-01-01,301.09
2014-04-01,305.17
2014-07-01,308.15
2014-10-01,309.29
2015-01-01,314.25
2015-04-01,317.89
2015-07-01,320.44
2015-10-01,323.24
2016-01-01,327.16
2016-04-01,332.17
2016-07-01,338.76
2016-10-01,340.34
2017-01-01,341.74
2017-04-01,351.91
2017-07-01,356.73
2017-10-01,358.45
2018-01-01,364.94
2018-04-01,373.23
2018-07-01,378.06
2018-10-01,380.66
2019-01-01,386.7
2019-04-01,393.57
2019-07-01,398.1
2019-10-01,403.17
2020-01-01,409.21
2020-04-01,412.72
2020-07-01,420.55
2020-10-01,430.85
2021-01-01,441.72
2021-04-01,467.85
2021-07-01,499.24
2021-10-01,521.9
2022-01-01,547.47
2022-04-01,592.9
2022-07-01,611.26
2022-10-01,610.23
2023-01-01,617.47
2023-04-01,636.51
2023-07-01,650.12
2023-10-01,649.3
2024-01-01,659.03
