DATE,NHSTHPI
1975-01-01,68.94
1975-04-01,50.76
1975-07-01,61.86
1975-10-01,55.22
1976-01-01,72.94
1976-04-01,63.32
1976-07-01,65.35
1976-10-01,69.59
1977-01-01,71.61
1977-04-01,67.08
1977-07-01,71.21
1977-10-01,75.67
1978-01-01,75.65
1978-04-01,76.03
1978-07-01,85.61
1978-10-01,85.4
1979-01-01,89.78
1979-04-01,94.47
1979-07-01,96.63
1979-10-01,96.59
1980-01-01,100.00
1980-04-01,98.23
1980-07-01,102.38
1980-10-01,98.81
1981-01-01,98.22
1981-04-01,100.83
1981-07-01,99.99
1981-10-01,106.75
1982-01-01,106.53
1982-04-01,105.73
1982-07-01,107.76
1982-10-01,106.96
1983-01-01,109.39
1983-04-01,112.35
1983-07-01,116.08
1983-10-01,118.04
1984-01-01,122.36
1984-04-01,127.91
1984-07-01,133.76
1984-10-01,137.74
1985-01-01,142.03
1985-04-01,152.44
1985-07-01,160.1
1985-10-01,170.48
1986-01-01,178.54
1986-04-01,186.92
1986-07-01,195.67
1986-10-01,206.73
1987-01-01,212.18
1987-04-01,221.17
1987-07-01,223.36
1987-10-01,227.82
1988-01-01,226.98
1988-04-01,229.76
1988-07-01,229.7
1988-10-01,229.42
1989-01-01,229.92
1989-04-01,226.54
1989-07-01,230.52
1989-10-01,230.74
1990-01-01,226.11
1990-04-01,216.58
1990-07-01,211.65
1990-10-01,204.49
1991-01-01,201.72
1991-04-01,198.66
1991-07-01,194.42
1991-10-01,194.79
1992-01-01,194.89
1992-04-01,190.63
1992-07-01,189.67
1992-10-01,189.87
1993-01-01,188.11
1993-04-01,190.33
1993-07-01,190.6
1993-10-01,191.21
1994-01-01,191.69
1994-04-01,188.33
1994-07-01,185.59
1994-10-01,185.03
1995-01-01,185.78
1995-04-01,188.31
1995-07-01,192.24
1995-10-01,194.81
1996-01-01,195.7
1996-04-01,194.91
1996-07-01,197.46
1996-10-01,198.53
1997-01-01,199.97
1997-04-01,202.62
1997-07-01,205.14
1997-10-01,208.17
1998-01-01,211.2
1998-04-01,215.3
1998-07-01,219.16
1998-10-01,223.05
1999-01-01,226.3
1999-04-01,232.88
1999-07-01,240.21
1999-10-01,244.73
2000-01-01,254.14
2000-04-01,262.99
2000-07-01,272.71
2000-10-01,280.21
2001-01-01,286.51
2001-04-01,296.32
2001-07-01,306.72
2001-10-01,312.16
2002-01-01,320.62
2002-04-01,332.01
2002-07-01,342.35
2002-10-01,350.07
2003-01-01,355.53
2003-04-01,361.07
2003-07-01,370.43
2003-10-01,385.05
2004-01-01,390.72
2004-04-01,401.22
2004-07-01,418.92
2004-10-01,427.16
2005-01-01,438.44
2005-04-01,448.9
2005-07-01,459.69
2005-10-01,465.05
2006-01-01,468.65
2006-04-01,465.94
2006-07-01,464.06
2006-10-01,467.14
2007-01-01,465.85
2007-04-01,462.67
2007-07-01,455.2
2007-10-01,454.71
2008-01-01,454.98
2008-04-01,443.24
2008-07-01,427.94
2008-10-01,426.19
2009-01-01,427.69
2009-04-01,415.4
2009-07-01,402.2
2009-10-01,399.8
2010-01-01,395.99
2010-04-01,393.32
2010-07-01,397.72
2010-10-01,395.46
2011-01-01,386.52
2011-04-01,379.7
2011-07-01,381.87
2011-10-01,383.62
2012-01-01,378.16
2012-04-01,375.0
2012-07-01,377.04
2012-10-01,378.33
2013-01-01,377.2
2013-04-01,377.92
2013-07-01,382.33
2013-10-01,382.5
2014-01-01,386.37
2014-04-01,389.05
2014-07-01,395.12
2014-10-01,396.77
2015-01-01,400.18
2015-04-01,406.63
2015-07-01,411.45
2015-10-01,411.94
2016-01-01,415.4
2016-04-01,420.91
2016-07-01,428.34
2016-10-01,430.7
2017-01-01,433.36
2017-04-01,443.47
2017-07-01,451.22
2017-10-01,454.68
2018-01-01,461.38
2018-04-01,470.5
2018-07-01,477.34
2018-10-01,479.54
2019-01-01,484.46
2019-04-01,493.6
2019-07-01,500.78
2019-10-01,506.5
2020-01-01,513.23
2020-04-01,521.0
2020-07-01,533.12
2020-10-01,548.52
2021-01-01,564.85
2021-04-01,599.07
2021-07-01,635.07
2021-10-01,654.36
2022-01-01,673.98
2022-04-01,720.86
2022-07-01,737.39
2022-10-01,734.64
2023-01-01,749.36
2023-04-01,782.06
2023-07-01,804.08
2023-10-01,799.47
2024-01-01,813.98
