DATE,NJSTHPI
1975-01-01,64.45
1975-04-01,59.26
1975-07-01,60.25
1975-10-01,62.95
1976-01-01,62.86
1976-04-01,63.85
1976-07-01,65.98
1976-10-01,62.27
1977-01-01,65.24
1977-04-01,65.4
1977-07-01,67.46
1977-10-01,69.5
1978-01-01,71.22
1978-04-01,73.32
1978-07-01,76.47
1978-10-01,79.68
1979-01-01,85.14
1979-04-01,87.12
1979-07-01,91.66
1979-10-01,94.2
1980-01-01,100.00
1980-04-01,101.64
1980-07-01,100.87
1980-10-01,103.84
1981-01-01,104.33
1981-04-01,105.94
1981-07-01,107.63
1981-10-01,105.93
1982-01-01,105.37
1982-04-01,109.0
1982-07-01,109.21
1982-10-01,109.68
1983-01-01,110.18
1983-04-01,113.8
1983-07-01,117.7
1983-10-01,120.91
1984-01-01,123.94
1984-04-01,130.24
1984-07-01,134.99
1984-10-01,138.28
1985-01-01,142.29
1985-04-01,148.56
1985-07-01,155.07
1985-10-01,161.97
1986-01-01,168.08
1986-04-01,178.2
1986-07-01,189.32
1986-10-01,199.21
1987-01-01,210.27
1987-04-01,221.41
1987-07-01,230.12
1987-10-01,235.43
1988-01-01,240.52
1988-04-01,246.57
1988-07-01,247.32
1988-10-01,246.48
1989-01-01,246.01
1989-04-01,245.46
1989-07-01,246.75
1989-10-01,247.49
1990-01-01,244.4
1990-04-01,239.17
1990-07-01,235.9
1990-10-01,231.99
1991-01-01,230.89
1991-04-01,229.24
1991-07-01,227.91
1991-10-01,230.56
1992-01-01,232.42
1992-04-01,230.48
1992-07-01,232.32
1992-10-01,233.71
1993-01-01,233.57
1993-04-01,235.2
1993-07-01,235.77
1993-10-01,237.24
1994-01-01,237.85
1994-04-01,235.74
1994-07-01,233.55
1994-10-01,230.79
1995-01-01,230.63
1995-04-01,233.19
1995-07-01,237.14
1995-10-01,237.72
1996-01-01,240.87
1996-04-01,238.97
1996-07-01,238.46
1996-10-01,238.34
1997-01-01,240.14
1997-04-01,241.01
1997-07-01,243.74
1997-10-01,246.17
1998-01-01,250.67
1998-04-01,251.56
1998-07-01,254.2
1998-10-01,256.08
1999-01-01,259.18
1999-04-01,262.81
1999-07-01,269.33
1999-10-01,272.17
2000-01-01,279.33
2000-04-01,285.98
2000-07-01,294.42
2000-10-01,298.89
2001-01-01,305.67
2001-04-01,314.36
2001-07-01,323.45
2001-10-01,329.86
2002-01-01,339.39
2002-04-01,352.06
2002-07-01,363.78
2002-10-01,372.21
2003-01-01,379.09
2003-04-01,385.75
2003-07-01,397.47
2003-10-01,417.64
2004-01-01,426.3
2004-04-01,439.71
2004-07-01,469.23
2004-10-01,481.19
2005-01-01,495.59
2005-04-01,517.09
2005-07-01,536.94
2005-10-01,553.27
2006-01-01,564.01
2006-04-01,570.52
2006-07-01,573.9
2006-10-01,576.83
2007-01-01,577.72
2007-04-01,574.09
2007-07-01,567.01
2007-10-01,564.55
2008-01-01,560.79
2008-04-01,544.73
2008-07-01,529.2
2008-10-01,523.61
2009-01-01,522.16
2009-04-01,505.28
2009-07-01,492.6
2009-10-01,488.85
2010-01-01,486.12
2010-04-01,482.42
2010-07-01,485.68
2010-10-01,484.65
2011-01-01,473.2
2011-04-01,463.72
2011-07-01,462.24
2011-10-01,462.37
2012-01-01,456.02
2012-04-01,449.92
2012-07-01,452.46
2012-10-01,453.46
2013-01-01,453.34
2013-04-01,454.13
2013-07-01,454.57
2013-10-01,455.54
2014-01-01,458.02
2014-04-01,462.94
2014-07-01,467.32
2014-10-01,469.31
2015-01-01,473.34
2015-04-01,476.92
2015-07-01,477.81
2015-10-01,478.52
2016-01-01,481.38
2016-04-01,487.23
2016-07-01,492.02
2016-10-01,493.74
2017-01-01,488.62
2017-04-01,496.64
2017-07-01,503.25
2017-10-01,504.42
2018-01-01,507.51
2018-04-01,512.04
2018-07-01,515.73
2018-10-01,516.32
2019-01-01,520.38
2019-04-01,528.3
2019-07-01,536.27
2019-10-01,539.97
2020-01-01,544.73
2020-04-01,549.99
2020-07-01,559.61
2020-10-01,571.5
2021-01-01,585.5
2021-04-01,613.45
2021-07-01,643.37
2021-10-01,664.2
2022-01-01,684.97
2022-04-01,730.94
2022-07-01,745.0
2022-10-01,746.96
2023-01-01,752.82
2023-04-01,785.34
2023-07-01,809.51
2023-10-01,822.74
2024-01-01,834.41
