DATE,NMSTHPI
1975-01-01,57.21
1975-04-01,58.14
1975-07-01,59.22
1975-10-01,55.67
1976-01-01,59.43
1976-04-01,61.38
1976-07-01,63.86
1976-10-01,65.54
1977-01-01,70.16
1977-04-01,69.94
1977-07-01,72.89
1977-10-01,76.24
1978-01-01,76.67
1978-04-01,78.1
1978-07-01,81.29
1978-10-01,83.76
1979-01-01,89.09
1979-04-01,91.96
1979-07-01,93.77
1979-10-01,95.23
1980-01-01,100.00
1980-04-01,98.06
1980-07-01,99.18
1980-10-01,104.99
1981-01-01,101.05
1981-04-01,110.97
1981-07-01,113.62
1981-10-01,117.73
1982-01-01,105.84
1982-04-01,116.5
1982-07-01,129.76
1982-10-01,123.46
1983-01-01,128.57
1983-04-01,121.5
1983-07-01,123.18
1983-10-01,125.31
1984-01-01,123.75
1984-04-01,120.83
1984-07-01,125.34
1984-10-01,126.73
1985-01-01,126.49
1985-04-01,126.1
1985-07-01,128.17
1985-10-01,128.01
1986-01-01,129.99
1986-04-01,132.64
1986-07-01,132.2
1986-10-01,132.79
1987-01-01,134.77
1987-04-01,133.42
1987-07-01,131.97
1987-10-01,130.63
1988-01-01,130.56
1988-04-01,130.02
1988-07-01,131.16
1988-10-01,129.7
1989-01-01,130.22
1989-04-01,130.95
1989-07-01,132.99
1989-10-01,135.02
1990-01-01,131.94
1990-04-01,133.18
1990-07-01,134.43
1990-10-01,134.96
1991-01-01,135.99
1991-04-01,137.4
1991-07-01,138.17
1991-10-01,140.29
1992-01-01,143.82
1992-04-01,144.64
1992-07-01,145.47
1992-10-01,147.83
1993-01-01,149.78
1993-04-01,153.33
1993-07-01,156.3
1993-10-01,159.12
1994-01-01,163.89
1994-04-01,169.1
1994-07-01,172.82
1994-10-01,175.28
1995-01-01,176.62
1995-04-01,181.07
1995-07-01,184.45
1995-10-01,185.8
1996-01-01,187.07
1996-04-01,186.73
1996-07-01,186.29
1996-10-01,187.23
1997-01-01,188.73
1997-04-01,189.7
1997-07-01,190.65
1997-10-01,192.84
1998-01-01,193.94
1998-04-01,193.72
1998-07-01,195.32
1998-10-01,197.47
1999-01-01,197.57
1999-04-01,197.38
1999-07-01,196.94
1999-10-01,197.74
2000-01-01,198.29
2000-04-01,199.0
2000-07-01,200.39
2000-10-01,201.37
2001-01-01,206.22
2001-04-01,207.86
2001-07-01,209.06
2001-10-01,210.53
2002-01-01,211.78
2002-04-01,214.68
2002-07-01,217.86
2002-10-01,219.89
2003-01-01,222.61
2003-04-01,225.18
2003-07-01,227.82
2003-10-01,232.73
2004-01-01,235.31
2004-04-01,240.53
2004-07-01,246.56
2004-10-01,251.5
2005-01-01,256.83
2005-04-01,268.11
2005-07-01,278.34
2005-10-01,286.56
2006-01-01,295.18
2006-04-01,305.79
2006-07-01,313.33
2006-10-01,320.57
2007-01-01,325.49
2007-04-01,327.97
2007-07-01,328.75
2007-10-01,330.16
2008-01-01,331.21
2008-04-01,327.33
2008-07-01,319.29
2008-10-01,318.62
2009-01-01,321.53
2009-04-01,312.91
2009-07-01,306.65
2009-10-01,303.97
2010-01-01,303.39
2010-04-01,298.15
2010-07-01,299.83
2010-10-01,296.91
2011-01-01,289.37
2011-04-01,283.96
2011-07-01,285.03
2011-10-01,286.18
2012-01-01,281.21
2012-04-01,279.23
2012-07-01,281.52
2012-10-01,281.74
2013-01-01,283.08
2013-04-01,282.84
2013-07-01,282.57
2013-10-01,283.86
2014-01-01,282.55
2014-04-01,284.77
2014-07-01,287.36
2014-10-01,287.99
2015-01-01,289.23
2015-04-01,290.1
2015-07-01,293.44
2015-10-01,292.37
2016-01-01,294.26
2016-04-01,299.12
2016-07-01,300.62
2016-10-01,305.19
2017-01-01,304.01
2017-04-01,306.76
2017-07-01,312.18
2017-10-01,313.15
2018-01-01,314.9
2018-04-01,319.87
2018-07-01,322.62
2018-10-01,325.03
2019-01-01,327.2
2019-04-01,334.95
2019-07-01,340.53
2019-10-01,343.29
2020-01-01,348.6
2020-04-01,352.44
2020-07-01,359.7
2020-10-01,367.37
2021-01-01,377.69
2021-04-01,393.26
2021-07-01,415.7
2021-10-01,430.05
2022-01-01,443.61
2022-04-01,467.08
2022-07-01,479.34
2022-10-01,484.89
2023-01-01,484.85
2023-04-01,498.37
2023-07-01,513.48
2023-10-01,509.11
2024-01-01,519.52
