DATE,NVSTHPI
1975-01-01,53.12
1975-04-01,25.86
1975-07-01,54.37
1975-10-01,51.09
1976-01-01,59.78
1976-04-01,57.08
1976-07-01,61.24
1976-10-01,61.99
1977-01-01,63.95
1977-04-01,58.65
1977-07-01,71.21
1977-10-01,62.68
1978-01-01,73.63
1978-04-01,80.23
1978-07-01,84.36
1978-10-01,90.86
1979-01-01,91.98
1979-04-01,98.18
1979-07-01,100.07
1979-10-01,106.43
1980-01-01,100.00
1980-04-01,102.85
1980-07-01,107.01
1980-10-01,95.99
1981-01-01,109.17
1981-04-01,115.74
1981-07-01,109.53
1981-10-01,117.88
1982-01-01,121.21
1982-04-01,121.62
1982-07-01,121.44
1982-10-01,124.9
1983-01-01,119.12
1983-04-01,120.02
1983-07-01,121.15
1983-10-01,114.76
1984-01-01,121.45
1984-04-01,119.32
1984-07-01,114.15
1984-10-01,118.28
1985-01-01,119.51
1985-04-01,117.41
1985-07-01,119.38
1985-10-01,120.63
1986-01-01,123.05
1986-04-01,125.29
1986-07-01,125.72
1986-10-01,125.11
1987-01-01,128.02
1987-04-01,127.62
1987-07-01,127.4
1987-10-01,126.38
1988-01-01,127.56
1988-04-01,128.45
1988-07-01,130.17
1988-10-01,131.89
1989-01-01,131.9
1989-04-01,134.44
1989-07-01,137.88
1989-10-01,139.83
1990-01-01,142.49
1990-04-01,144.8
1990-07-01,148.57
1990-10-01,150.12
1991-01-01,153.48
1991-04-01,154.41
1991-07-01,155.19
1991-10-01,158.86
1992-01-01,160.05
1992-04-01,159.58
1992-07-01,162.43
1992-10-01,163.42
1993-01-01,163.36
1993-04-01,164.74
1993-07-01,165.97
1993-10-01,166.87
1994-01-01,167.12
1994-04-01,167.91
1994-07-01,168.53
1994-10-01,168.24
1995-01-01,169.53
1995-04-01,173.28
1995-07-01,175.82
1995-10-01,177.08
1996-01-01,179.03
1996-04-01,178.35
1996-07-01,178.16
1996-10-01,180.25
1997-01-01,181.26
1997-04-01,181.5
1997-07-01,184.12
1997-10-01,185.37
1998-01-01,187.81
1998-04-01,187.95
1998-07-01,188.78
1998-10-01,190.1
1999-01-01,190.52
1999-04-01,190.26
1999-07-01,191.59
1999-10-01,191.83
2000-01-01,193.52
2000-04-01,195.99
2000-07-01,197.81
2000-10-01,200.69
2001-01-01,205.14
2001-04-01,207.77
2001-07-01,211.62
2001-10-01,214.31
2002-01-01,217.41
2002-04-01,220.96
2002-07-01,225.78
2002-10-01,228.34
2003-01-01,232.43
2003-04-01,237.05
2003-07-01,243.86
2003-10-01,258.42
2004-01-01,272.08
2004-04-01,296.88
2004-07-01,334.74
2004-10-01,347.58
2005-01-01,361.42
2005-04-01,380.66
2005-07-01,394.14
2005-10-01,408.67
2006-01-01,417.89
2006-04-01,418.71
2006-07-01,420.14
2006-10-01,418.89
2007-01-01,416.18
2007-04-01,407.61
2007-07-01,393.96
2007-10-01,383.67
2008-01-01,362.53
2008-04-01,333.36
2008-07-01,299.92
2008-10-01,284.17
2009-01-01,282.25
2009-04-01,262.09
2009-07-01,243.93
2009-10-01,236.54
2010-01-01,227.51
2010-04-01,219.56
2010-07-01,221.0
2010-10-01,215.19
2011-01-01,203.4
2011-04-01,189.62
2011-07-01,188.4
2011-10-01,188.7
2012-01-01,187.14
2012-04-01,186.08
2012-07-01,190.91
2012-10-01,196.12
2013-01-01,202.49
2013-04-01,215.07
2013-07-01,228.63
2013-10-01,238.59
2014-01-01,244.46
2014-04-01,252.29
2014-07-01,261.75
2014-10-01,266.3
2015-01-01,271.34
2015-04-01,279.83
2015-07-01,287.85
2015-10-01,294.77
2016-01-01,298.24
2016-04-01,305.92
2016-07-01,314.92
2016-10-01,319.5
2017-01-01,323.32
2017-04-01,335.14
2017-07-01,345.25
2017-10-01,353.9
2018-01-01,364.87
2018-04-01,380.32
2018-07-01,391.64
2018-10-01,397.68
2019-01-01,400.07
2019-04-01,406.02
2019-07-01,409.53
2019-10-01,412.55
2020-01-01,417.0
2020-04-01,422.32
2020-07-01,428.29
2020-10-01,438.05
2021-01-01,454.06
2021-04-01,483.23
2021-07-01,520.52
2021-10-01,543.37
2022-01-01,565.52
2022-04-01,605.2
2022-07-01,605.27
2022-10-01,588.76
2023-01-01,578.21
2023-04-01,586.76
2023-07-01,599.38
2023-10-01,597.15
2024-01-01,612.91
