DATE,NYSTHPI
1975-01-01,78.38
1975-04-01,75.98
1975-07-01,77.79
1975-10-01,79.69
1976-01-01,72.99
1976-04-01,74.89
1976-07-01,75.62
1976-10-01,73.94
1977-01-01,77.76
1977-04-01,82.99
1977-07-01,82.55
1977-10-01,84.74
1978-01-01,83.47
1978-04-01,87.56
1978-07-01,84.05
1978-10-01,83.88
1979-01-01,96.86
1979-04-01,95.9
1979-07-01,94.85
1979-10-01,98.26
1980-01-01,100.00
1980-04-01,107.2
1980-07-01,115.02
1980-10-01,111.32
1981-01-01,112.21
1981-04-01,108.37
1981-07-01,115.72
1981-10-01,114.39
1982-01-01,123.4
1982-04-01,125.28
1982-07-01,122.42
1982-10-01,126.47
1983-01-01,128.74
1983-04-01,132.8
1983-07-01,138.25
1983-10-01,147.21
1984-01-01,150.68
1984-04-01,156.66
1984-07-01,162.19
1984-10-01,169.18
1985-01-01,176.22
1985-04-01,184.54
1985-07-01,190.96
1985-10-01,198.48
1986-01-01,206.35
1986-04-01,217.19
1986-07-01,227.05
1986-10-01,237.2
1987-01-01,246.68
1987-04-01,255.3
1987-07-01,266.96
1987-10-01,270.92
1988-01-01,277.18
1988-04-01,280.76
1988-07-01,282.89
1988-10-01,283.69
1989-01-01,283.47
1989-04-01,282.93
1989-07-01,285.94
1989-10-01,286.6
1990-01-01,286.56
1990-04-01,283.36
1990-07-01,281.71
1990-10-01,278.76
1991-01-01,278.34
1991-04-01,280.19
1991-07-01,279.28
1991-10-01,281.57
1992-01-01,286.84
1992-04-01,282.87
1992-07-01,286.0
1992-10-01,288.05
1993-01-01,282.71
1993-04-01,289.4
1993-07-01,288.48
1993-10-01,289.63
1994-01-01,286.26
1994-04-01,282.41
1994-07-01,280.91
1994-10-01,275.7
1995-01-01,274.36
1995-04-01,279.16
1995-07-01,283.78
1995-10-01,282.86
1996-01-01,287.62
1996-04-01,285.96
1996-07-01,283.88
1996-10-01,283.58
1997-01-01,283.68
1997-04-01,287.03
1997-07-01,289.54
1997-10-01,292.42
1998-01-01,298.98
1998-04-01,301.23
1998-07-01,303.57
1998-10-01,307.68
1999-01-01,310.02
1999-04-01,315.72
1999-07-01,324.66
1999-10-01,330.76
2000-01-01,335.48
2000-04-01,345.56
2000-07-01,355.67
2000-10-01,361.09
2001-01-01,369.22
2001-04-01,377.43
2001-07-01,387.8
2001-10-01,394.65
2002-01-01,404.26
2002-04-01,417.06
2002-07-01,429.71
2002-10-01,439.01
2003-01-01,448.82
2003-04-01,459.74
2003-07-01,466.83
2003-10-01,488.72
2004-01-01,498.99
2004-04-01,513.69
2004-07-01,538.64
2004-10-01,552.17
2005-01-01,566.89
2005-04-01,585.73
2005-07-01,604.91
2005-10-01,618.66
2006-01-01,629.78
2006-04-01,631.58
2006-07-01,630.94
2006-10-01,639.15
2007-01-01,642.26
2007-04-01,640.07
2007-07-01,630.84
2007-10-01,632.78
2008-01-01,636.16
2008-04-01,624.11
2008-07-01,607.88
2008-10-01,602.13
2009-01-01,609.26
2009-04-01,596.1
2009-07-01,582.07
2009-10-01,576.84
2010-01-01,573.16
2010-04-01,569.51
2010-07-01,577.55
2010-10-01,577.39
2011-01-01,568.7
2011-04-01,560.61
2011-07-01,558.06
2011-10-01,562.36
2012-01-01,558.13
2012-04-01,552.36
2012-07-01,554.21
2012-10-01,555.99
2013-01-01,556.71
2013-04-01,558.11
2013-07-01,560.88
2013-10-01,559.86
2014-01-01,560.28
2014-04-01,565.9
2014-07-01,574.01
2014-10-01,577.3
2015-01-01,582.82
2015-04-01,587.54
2015-07-01,592.41
2015-10-01,593.28
2016-01-01,596.34
2016-04-01,605.92
2016-07-01,614.24
2016-10-01,619.58
2017-01-01,621.12
2017-04-01,631.08
2017-07-01,643.65
2017-10-01,649.58
2018-01-01,656.63
2018-04-01,664.43
2018-07-01,675.17
2018-10-01,675.59
2019-01-01,681.24
2019-04-01,692.17
2019-07-01,702.3
2019-10-01,709.79
2020-01-01,716.43
2020-04-01,722.33
2020-07-01,734.16
2020-10-01,750.12
2021-01-01,767.82
2021-04-01,795.55
2021-07-01,835.44
2021-10-01,854.85
2022-01-01,876.38
2022-04-01,927.17
2022-07-01,948.22
2022-10-01,944.35
2023-01-01,944.92
2023-04-01,981.9
2023-07-01,1014.28
2023-10-01,1016.01
2024-01-01,1023.41
