DATE,OHSTHPI
1975-01-01,65.11
1975-04-01,64.83
1975-07-01,64.45
1975-10-01,65.99
1976-01-01,66.57
1976-04-01,68.67
1976-07-01,71.11
1976-10-01,72.45
1977-01-01,73.19
1977-04-01,75.31
1977-07-01,78.92
1977-10-01,81.18
1978-01-01,83.3
1978-04-01,86.5
1978-07-01,89.09
1978-10-01,91.46
1979-01-01,95.74
1979-04-01,98.59
1979-07-01,99.23
1979-10-01,100.79
1980-01-01,100.00
1980-04-01,99.76
1980-07-01,102.1
1980-10-01,103.53
1981-01-01,103.33
1981-04-01,103.66
1981-07-01,103.34
1981-10-01,100.28
1982-01-01,89.13
1982-04-01,96.69
1982-07-01,99.1
1982-10-01,102.99
1983-01-01,102.36
1983-04-01,105.4
1983-07-01,106.18
1983-10-01,105.68
1984-01-01,106.12
1984-04-01,107.27
1984-07-01,107.32
1984-10-01,107.52
1985-01-01,108.18
1985-04-01,109.39
1985-07-01,110.69
1985-10-01,111.54
1986-01-01,113.04
1986-04-01,114.58
1986-07-01,116.43
1986-10-01,117.98
1987-01-01,120.22
1987-04-01,122.65
1987-07-01,125.08
1987-10-01,126.33
1988-01-01,128.52
1988-04-01,131.18
1988-07-01,132.38
1988-10-01,133.59
1989-01-01,135.24
1989-04-01,136.57
1989-07-01,139.48
1989-10-01,140.51
1990-01-01,142.05
1990-04-01,143.35
1990-07-01,145.34
1990-10-01,145.68
1991-01-01,147.36
1991-04-01,149.38
1991-07-01,150.41
1991-10-01,152.64
1992-01-01,154.31
1992-04-01,155.35
1992-07-01,157.49
1992-10-01,159.02
1993-01-01,159.77
1993-04-01,161.61
1993-07-01,163.55
1993-10-01,165.52
1994-01-01,167.4
1994-04-01,170.18
1994-07-01,171.17
1994-10-01,172.65
1995-01-01,173.63
1995-04-01,176.91
1995-07-01,180.01
1995-10-01,182.22
1996-01-01,184.84
1996-04-01,186.59
1996-07-01,187.92
1996-10-01,189.78
1997-01-01,192.29
1997-04-01,193.81
1997-07-01,196.5
1997-10-01,198.91
1998-01-01,201.26
1998-04-01,203.16
1998-07-01,205.64
1998-10-01,207.87
1999-01-01,210.04
1999-04-01,211.88
1999-07-01,212.53
1999-10-01,213.92
2000-01-01,216.14
2000-04-01,218.74
2000-07-01,221.42
2000-10-01,224.26
2001-01-01,228.54
2001-04-01,230.89
2001-07-01,233.07
2001-10-01,234.98
2002-01-01,236.94
2002-04-01,238.57
2002-07-01,240.93
2002-10-01,242.5
2003-01-01,244.27
2003-04-01,246.04
2003-07-01,248.04
2003-10-01,251.45
2004-01-01,253.0
2004-04-01,254.51
2004-07-01,257.42
2004-10-01,260.09
2005-01-01,262.4
2005-04-01,264.5
2005-07-01,267.02
2005-10-01,267.34
2006-01-01,267.33
2006-04-01,266.25
2006-07-01,265.66
2006-10-01,266.7
2007-01-01,266.76
2007-04-01,265.19
2007-07-01,262.19
2007-10-01,262.15
2008-01-01,263.35
2008-04-01,259.32
2008-07-01,252.88
2008-10-01,253.39
2009-01-01,258.03
2009-04-01,252.19
2009-07-01,247.14
2009-10-01,246.73
2010-01-01,243.95
2010-04-01,242.08
2010-07-01,245.39
2010-10-01,244.34
2011-01-01,236.85
2011-04-01,233.3
2011-07-01,236.22
2011-10-01,236.9
2012-01-01,234.09
2012-04-01,232.91
2012-07-01,235.15
2012-10-01,234.58
2013-01-01,233.53
2013-04-01,234.21
2013-07-01,235.33
2013-10-01,235.1
2014-01-01,235.43
2014-04-01,240.59
2014-07-01,243.34
2014-10-01,244.3
2015-01-01,245.72
2015-04-01,249.68
2015-07-01,252.26
2015-10-01,252.9
2016-01-01,254.05
2016-04-01,258.58
2016-07-01,263.75
2016-10-01,263.42
2017-01-01,264.69
2017-04-01,272.22
2017-07-01,275.66
2017-10-01,276.49
2018-01-01,280.41
2018-04-01,286.12
2018-07-01,290.57
2018-10-01,291.05
2019-01-01,294.39
2019-04-01,300.69
2019-07-01,305.17
2019-10-01,307.99
2020-01-01,312.5
2020-04-01,315.48
2020-07-01,322.82
2020-10-01,330.58
2021-01-01,336.78
2021-04-01,353.79
2021-07-01,371.88
2021-10-01,380.76
2022-01-01,392.43
2022-04-01,418.24
2022-07-01,424.77
2022-10-01,421.35
2023-01-01,427.19
2023-04-01,447.13
2023-07-01,455.68
2023-10-01,456.05
2024-01-01,460.47
