DATE,ORSTHPI
1975-01-01,51.2
1975-04-01,51.12
1975-07-01,54.27
1975-10-01,53.22
1976-01-01,57.28
1976-04-01,56.85
1976-07-01,60.1
1976-10-01,63.68
1977-01-01,67.18
1977-04-01,68.97
1977-07-01,74.14
1977-10-01,78.09
1978-01-01,79.88
1978-04-01,84.65
1978-07-01,88.17
1978-10-01,92.02
1979-01-01,95.79
1979-04-01,96.11
1979-07-01,98.2
1979-10-01,100.15
1980-01-01,100.00
1980-04-01,98.75
1980-07-01,105.46
1980-10-01,101.89
1981-01-01,97.61
1981-04-01,99.02
1981-07-01,96.33
1981-10-01,88.77
1982-01-01,96.45
1982-04-01,92.6
1982-07-01,95.9
1982-10-01,102.44
1983-01-01,98.54
1983-04-01,100.35
1983-07-01,99.19
1983-10-01,98.57
1984-01-01,98.74
1984-04-01,97.6
1984-07-01,95.99
1984-10-01,99.38
1985-01-01,97.92
1985-04-01,97.94
1985-07-01,96.96
1985-10-01,97.23
1986-01-01,97.97
1986-04-01,98.69
1986-07-01,99.5
1986-10-01,97.8
1987-01-01,100.01
1987-04-01,100.38
1987-07-01,99.45
1987-10-01,98.76
1988-01-01,100.77
1988-04-01,101.46
1988-07-01,105.08
1988-10-01,105.64
1989-01-01,107.95
1989-04-01,110.47
1989-07-01,113.79
1989-10-01,116.62
1990-01-01,120.75
1990-04-01,126.99
1990-07-01,131.7
1990-10-01,134.05
1991-01-01,136.34
1991-04-01,139.5
1991-07-01,141.93
1991-10-01,144.87
1992-01-01,147.93
1992-04-01,149.75
1992-07-01,153.4
1992-10-01,156.31
1993-01-01,158.43
1993-04-01,161.61
1993-07-01,165.38
1993-10-01,168.84
1994-01-01,173.13
1994-04-01,179.2
1994-07-01,183.61
1994-10-01,186.72
1995-01-01,190.88
1995-04-01,195.54
1995-07-01,200.44
1995-10-01,203.74
1996-01-01,207.71
1996-04-01,210.79
1996-07-01,214.19
1996-10-01,217.74
1997-01-01,221.26
1997-04-01,223.86
1997-07-01,228.46
1997-10-01,231.28
1998-01-01,234.78
1998-04-01,236.07
1998-07-01,238.49
1998-10-01,240.71
1999-01-01,241.81
1999-04-01,243.24
1999-07-01,244.0
1999-10-01,244.89
2000-01-01,247.4
2000-04-01,249.05
2000-07-01,251.41
2000-10-01,254.1
2001-01-01,261.01
2001-04-01,263.49
2001-07-01,265.85
2001-10-01,268.14
2002-01-01,271.56
2002-04-01,273.47
2002-07-01,278.15
2002-10-01,280.39
2003-01-01,283.28
2003-04-01,285.91
2003-07-01,289.96
2003-10-01,297.29
2004-01-01,301.06
2004-04-01,310.09
2004-07-01,323.83
2004-10-01,331.34
2005-01-01,341.41
2005-04-01,359.57
2005-07-01,379.6
2005-10-01,396.13
2006-01-01,410.41
2006-04-01,427.09
2006-07-01,438.25
2006-10-01,446.5
2007-01-01,451.61
2007-04-01,456.73
2007-07-01,454.47
2007-10-01,456.08
2008-01-01,453.4
2008-04-01,445.3
2008-07-01,430.84
2008-10-01,424.52
2009-01-01,422.02
2009-04-01,405.75
2009-07-01,391.75
2009-10-01,384.65
2010-01-01,377.77
2010-04-01,372.25
2010-07-01,372.39
2010-10-01,366.84
2011-01-01,351.52
2011-04-01,341.23
2011-07-01,344.29
2011-10-01,347.75
2012-01-01,341.62
2012-04-01,338.07
2012-07-01,345.44
2012-10-01,351.07
2013-01-01,353.73
2013-04-01,363.5
2013-07-01,373.63
2013-10-01,378.19
2014-01-01,383.63
2014-04-01,396.29
2014-07-01,403.09
2014-10-01,407.32
2015-01-01,413.79
2015-04-01,427.96
2015-07-01,441.29
2015-10-01,448.4
2016-01-01,458.17
2016-04-01,474.87
2016-07-01,489.24
2016-10-01,496.81
2017-01-01,502.23
2017-04-01,517.91
2017-07-01,527.11
2017-10-01,530.26
2018-01-01,537.73
2018-04-01,551.15
2018-07-01,557.15
2018-10-01,558.32
2019-01-01,564.7
2019-04-01,574.01
2019-07-01,580.94
2019-10-01,586.43
2020-01-01,592.13
2020-04-01,599.65
2020-07-01,610.06
2020-10-01,626.72
2021-01-01,647.62
2021-04-01,690.59
2021-07-01,732.97
2021-10-01,752.77
2022-01-01,776.76
2022-04-01,820.72
2022-07-01,816.18
2022-10-01,794.37
2023-01-01,792.28
2023-04-01,813.96
2023-07-01,821.93
2023-10-01,805.84
2024-01-01,818.29
