DATE,PASTHPI
1975-01-01,70.77
1975-04-01,69.75
1975-07-01,74.21
1975-10-01,71.92
1976-01-01,72.66
1976-04-01,76.74
1976-07-01,77.43
1976-10-01,75.13
1977-01-01,74.8
1977-04-01,80.37
1977-07-01,80.94
1977-10-01,83.61
1978-01-01,84.1
1978-04-01,87.64
1978-07-01,86.58
1978-10-01,87.83
1979-01-01,92.61
1979-04-01,97.2
1979-07-01,96.45
1979-10-01,98.91
1980-01-01,100.00
1980-04-01,96.31
1980-07-01,101.68
1980-10-01,101.8
1981-01-01,101.97
1981-04-01,104.09
1981-07-01,104.69
1981-10-01,101.62
1982-01-01,104.11
1982-04-01,104.14
1982-07-01,104.65
1982-10-01,105.37
1983-01-01,108.87
1983-04-01,110.58
1983-07-01,113.06
1983-10-01,113.88
1984-01-01,113.86
1984-04-01,117.01
1984-07-01,118.82
1984-10-01,119.72
1985-01-01,121.25
1985-04-01,124.39
1985-07-01,126.85
1985-10-01,128.55
1986-01-01,131.59
1986-04-01,135.28
1986-07-01,139.9
1986-10-01,144.52
1987-01-01,149.34
1987-04-01,155.34
1987-07-01,162.97
1987-10-01,168.55
1988-01-01,171.91
1988-04-01,179.14
1988-07-01,183.94
1988-10-01,185.63
1989-01-01,187.87
1989-04-01,189.21
1989-07-01,193.41
1989-10-01,195.77
1990-01-01,196.07
1990-04-01,196.35
1990-07-01,196.91
1990-10-01,196.19
1991-01-01,197.77
1991-04-01,199.33
1991-07-01,199.47
1991-10-01,203.06
1992-01-01,204.13
1992-04-01,203.75
1992-07-01,205.71
1992-10-01,207.02
1993-01-01,206.68
1993-04-01,208.14
1993-07-01,208.88
1993-10-01,210.75
1994-01-01,210.67
1994-04-01,209.46
1994-07-01,207.82
1994-10-01,206.18
1995-01-01,205.6
1995-04-01,209.0
1995-07-01,212.65
1995-10-01,213.83
1996-01-01,216.55
1996-04-01,214.06
1996-07-01,213.23
1996-10-01,214.64
1997-01-01,216.01
1997-04-01,215.87
1997-07-01,218.02
1997-10-01,220.24
1998-01-01,223.8
1998-04-01,224.25
1998-07-01,225.09
1998-10-01,228.11
1999-01-01,229.67
1999-04-01,230.3
1999-07-01,231.3
1999-10-01,232.37
2000-01-01,234.68
2000-04-01,238.14
2000-07-01,240.63
2000-10-01,243.49
2001-01-01,249.79
2001-04-01,253.77
2001-07-01,257.15
2001-10-01,260.43
2002-01-01,264.42
2002-04-01,269.06
2002-07-01,274.6
2002-10-01,279.37
2003-01-01,282.56
2003-04-01,286.24
2003-07-01,292.17
2003-10-01,300.79
2004-01-01,306.07
2004-04-01,314.09
2004-07-01,327.04
2004-10-01,334.34
2005-01-01,341.28
2005-04-01,352.98
2005-07-01,364.58
2005-10-01,372.15
2006-01-01,378.79
2006-04-01,383.0
2006-07-01,387.36
2006-10-01,391.94
2007-01-01,395.35
2007-04-01,397.05
2007-07-01,395.23
2007-10-01,396.93
2008-01-01,399.79
2008-04-01,394.76
2008-07-01,387.96
2008-10-01,387.45
2009-01-01,391.37
2009-04-01,385.56
2009-07-01,378.33
2009-10-01,376.98
2010-01-01,374.5
2010-04-01,372.52
2010-07-01,377.0
2010-10-01,376.06
2011-01-01,370.23
2011-04-01,365.1
2011-07-01,365.62
2011-10-01,367.04
2012-01-01,364.0
2012-04-01,362.27
2012-07-01,364.24
2012-10-01,365.23
2013-01-01,365.45
2013-04-01,366.59
2013-07-01,368.13
2013-10-01,367.32
2014-01-01,367.32
2014-04-01,372.01
2014-07-01,374.7
2014-10-01,375.42
2015-01-01,379.51
2015-04-01,381.95
2015-07-01,383.65
2015-10-01,384.13
2016-01-01,385.75
2016-04-01,391.74
2016-07-01,395.9
2016-10-01,396.87
2017-01-01,397.65
2017-04-01,404.91
2017-07-01,409.89
2017-10-01,411.01
2018-01-01,415.6
2018-04-01,421.18
2018-07-01,425.38
2018-10-01,425.37
2019-01-01,430.16
2019-04-01,438.39
2019-07-01,444.21
2019-10-01,447.14
2020-01-01,452.93
2020-04-01,456.87
2020-07-01,466.33
2020-10-01,474.51
2021-01-01,485.99
2021-04-01,507.65
2021-07-01,532.04
2021-10-01,543.59
2022-01-01,559.06
2022-04-01,588.57
2022-07-01,598.68
2022-10-01,600.58
2023-01-01,605.4
2023-04-01,623.99
2023-07-01,639.39
2023-10-01,640.52
2024-01-01,647.86
