DATE,RISTHPI
1975-01-01,61.16
1975-04-01,65.98
1975-07-01,64.72
1975-10-01,67.12
1976-01-01,65.88
1976-04-01,68.59
1976-07-01,69.91
1976-10-01,69.58
1977-01-01,69.39
1977-04-01,71.97
1977-07-01,75.07
1977-10-01,77.1
1978-01-01,79.77
1978-04-01,82.15
1978-07-01,84.71
1978-10-01,87.27
1979-01-01,90.2
1979-04-01,92.39
1979-07-01,92.89
1979-10-01,100.41
1980-01-01,100.00
1980-04-01,102.37
1980-07-01,101.84
1980-10-01,97.98
1981-01-01,94.72
1981-04-01,105.78
1981-07-01,103.3
1981-10-01,101.26
1982-01-01,105.26
1982-04-01,102.83
1982-07-01,102.49
1982-10-01,108.12
1983-01-01,109.42
1983-04-01,111.15
1983-07-01,118.65
1983-10-01,119.94
1984-01-01,119.14
1984-04-01,120.37
1984-07-01,126.38
1984-10-01,128.15
1985-01-01,130.88
1985-04-01,137.12
1985-07-01,141.45
1985-10-01,150.19
1986-01-01,154.29
1986-04-01,161.81
1986-07-01,172.85
1986-10-01,189.1
1987-01-01,202.61
1987-04-01,214.33
1987-07-01,230.13
1987-10-01,239.97
1988-01-01,248.02
1988-04-01,251.41
1988-07-01,254.03
1988-10-01,255.92
1989-01-01,258.03
1989-04-01,259.23
1989-07-01,265.07
1989-10-01,266.23
1990-01-01,263.28
1990-04-01,258.86
1990-07-01,259.28
1990-10-01,253.77
1991-01-01,254.47
1991-04-01,249.14
1991-07-01,246.24
1991-10-01,249.15
1992-01-01,247.9
1992-04-01,244.5
1992-07-01,244.63
1992-10-01,245.59
1993-01-01,244.25
1993-04-01,244.49
1993-07-01,243.77
1993-10-01,246.08
1994-01-01,244.7
1994-04-01,238.49
1994-07-01,234.04
1994-10-01,231.33
1995-01-01,233.26
1995-04-01,235.78
1995-07-01,239.96
1995-10-01,242.02
1996-01-01,244.65
1996-04-01,239.66
1996-07-01,236.09
1996-10-01,237.83
1997-01-01,239.31
1997-04-01,237.53
1997-07-01,242.76
1997-10-01,245.48
1998-01-01,249.58
1998-04-01,248.42
1998-07-01,250.75
1998-10-01,253.66
1999-01-01,255.67
1999-04-01,258.04
1999-07-01,263.54
1999-10-01,268.15
2000-01-01,276.71
2000-04-01,285.11
2000-07-01,294.08
2000-10-01,299.58
2001-01-01,305.5
2001-04-01,315.98
2001-07-01,328.17
2001-10-01,335.11
2002-01-01,348.05
2002-04-01,365.13
2002-07-01,379.07
2002-10-01,390.94
2003-01-01,402.53
2003-04-01,412.09
2003-07-01,429.31
2003-10-01,457.41
2004-01-01,468.26
2004-04-01,489.46
2004-07-01,523.97
2004-10-01,537.43
2005-01-01,548.5
2005-04-01,570.93
2005-07-01,583.62
2005-10-01,592.47
2006-01-01,597.94
2006-04-01,597.86
2006-07-01,596.44
2006-10-01,596.07
2007-01-01,595.88
2007-04-01,584.77
2007-07-01,573.66
2007-10-01,571.18
2008-01-01,565.03
2008-04-01,542.49
2008-07-01,517.56
2008-10-01,511.48
2009-01-01,514.54
2009-04-01,491.53
2009-07-01,479.07
2009-10-01,479.38
2010-01-01,471.63
2010-04-01,464.83
2010-07-01,472.07
2010-10-01,471.04
2011-01-01,459.61
2011-04-01,443.91
2011-07-01,444.9
2011-10-01,447.92
2012-01-01,440.93
2012-04-01,433.05
2012-07-01,434.76
2012-10-01,437.04
2013-01-01,434.8
2013-04-01,435.39
2013-07-01,435.92
2013-10-01,433.44
2014-01-01,435.6
2014-04-01,442.9
2014-07-01,450.59
2014-10-01,453.55
2015-01-01,457.98
2015-04-01,466.97
2015-07-01,469.21
2015-10-01,472.39
2016-01-01,473.53
2016-04-01,483.6
2016-07-01,492.18
2016-10-01,500.2
2017-01-01,502.64
2017-04-01,511.74
2017-07-01,521.99
2017-10-01,528.56
2018-01-01,538.59
2018-04-01,546.21
2018-07-01,552.96
2018-10-01,554.56
2019-01-01,559.9
2019-04-01,570.25
2019-07-01,577.01
2019-10-01,584.24
2020-01-01,589.34
2020-04-01,596.83
2020-07-01,608.67
2020-10-01,626.67
2021-01-01,644.01
2021-04-01,683.39
2021-07-01,726.53
2021-10-01,747.25
2022-01-01,768.3
2022-04-01,826.42
2022-07-01,836.28
2022-10-01,822.74
2023-01-01,839.63
2023-04-01,876.25
2023-07-01,906.82
2023-10-01,911.43
2024-01-01,929.08
