DATE,SDSTHPI
1975-01-01,74.99
1975-04-01,70.41
1975-07-01,65.02
1975-10-01,63.84
1976-01-01,62.85
1976-04-01,65.34
1976-07-01,68.79
1976-10-01,66.59
1977-01-01,62.71
1977-04-01,70.53
1977-07-01,79.51
1977-10-01,81.48
1978-01-01,77.08
1978-04-01,83.93
1978-07-01,85.77
1978-10-01,85.51
1979-01-01,89.37
1979-04-01,90.69
1979-07-01,99.22
1979-10-01,91.03
1980-01-01,100.00
1980-04-01,107.06
1980-07-01,98.17
1980-10-01,94.29
1981-01-01,92.36
1981-04-01,98.52
1981-07-01,103.98
1981-10-01,86.81
1982-01-01,68.75
1982-04-01,110.52
1982-07-01,106.5
1982-10-01,118.54
1983-01-01,101.1
1983-04-01,121.57
1983-07-01,100.75
1983-10-01,99.63
1984-01-01,113.54
1984-04-01,109.78
1984-07-01,118.08
1984-10-01,106.67
1985-01-01,109.53
1985-04-01,108.94
1985-07-01,112.89
1985-10-01,112.73
1986-01-01,116.96
1986-04-01,118.06
1986-07-01,113.72
1986-10-01,117.25
1987-01-01,120.67
1987-04-01,118.39
1987-07-01,117.82
1987-10-01,119.14
1988-01-01,115.08
1988-04-01,115.61
1988-07-01,118.51
1988-10-01,116.56
1989-01-01,120.68
1989-04-01,117.04
1989-07-01,121.8
1989-10-01,119.23
1990-01-01,119.7
1990-04-01,125.43
1990-07-01,126.01
1990-10-01,125.38
1991-01-01,128.01
1991-04-01,131.47
1991-07-01,130.19
1991-10-01,132.84
1992-01-01,136.44
1992-04-01,136.55
1992-07-01,140.42
1992-10-01,142.07
1993-01-01,143.66
1993-04-01,147.32
1993-07-01,150.02
1993-10-01,152.22
1994-01-01,155.94
1994-04-01,158.24
1994-07-01,159.58
1994-10-01,162.63
1995-01-01,160.57
1995-04-01,166.1
1995-07-01,167.24
1995-10-01,170.29
1996-01-01,172.95
1996-04-01,172.53
1996-07-01,174.87
1996-10-01,173.89
1997-01-01,176.83
1997-04-01,179.7
1997-07-01,181.36
1997-10-01,184.03
1998-01-01,186.74
1998-04-01,187.63
1998-07-01,188.97
1998-10-01,188.9
1999-01-01,191.87
1999-04-01,194.23
1999-07-01,195.12
1999-10-01,196.34
2000-01-01,197.57
2000-04-01,201.19
2000-07-01,204.7
2000-10-01,204.89
2001-01-01,209.3
2001-04-01,212.37
2001-07-01,214.14
2001-10-01,215.13
2002-01-01,218.07
2002-04-01,221.02
2002-07-01,223.68
2002-10-01,224.98
2003-01-01,227.02
2003-04-01,228.19
2003-07-01,232.33
2003-10-01,237.26
2004-01-01,237.84
2004-04-01,242.18
2004-07-01,247.09
2004-10-01,250.5
2005-01-01,253.94
2005-04-01,259.89
2005-07-01,263.98
2005-10-01,268.15
2006-01-01,267.98
2006-04-01,272.44
2006-07-01,277.11
2006-10-01,277.9
2007-01-01,280.96
2007-04-01,283.67
2007-07-01,285.78
2007-10-01,288.05
2008-01-01,291.17
2008-04-01,291.69
2008-07-01,291.24
2008-10-01,293.24
2009-01-01,296.0
2009-04-01,294.77
2009-07-01,291.45
2009-10-01,290.27
2010-01-01,288.34
2010-04-01,288.01
2010-07-01,292.71
2010-10-01,292.85
2011-01-01,291.11
2011-04-01,288.49
2011-07-01,291.55
2011-10-01,293.25
2012-01-01,293.16
2012-04-01,294.88
2012-07-01,296.32
2012-10-01,300.08
2013-01-01,303.0
2013-04-01,304.25
2013-07-01,308.36
2013-10-01,309.8
2014-01-01,309.31
2014-04-01,314.46
2014-07-01,317.21
2014-10-01,320.05
2015-01-01,323.02
2015-04-01,327.1
2015-07-01,330.5
2015-10-01,334.24
2016-01-01,337.19
2016-04-01,339.84
2016-07-01,346.6
2016-10-01,348.69
2017-01-01,351.71
2017-04-01,359.32
2017-07-01,364.11
2017-10-01,365.38
2018-01-01,370.21
2018-04-01,374.31
2018-07-01,379.17
2018-10-01,383.17
2019-01-01,385.36
2019-04-01,391.18
2019-07-01,395.94
2019-10-01,400.97
2020-01-01,406.23
2020-04-01,407.94
2020-07-01,413.52
2020-10-01,423.96
2021-01-01,429.52
2021-04-01,458.46
2021-07-01,484.0
2021-10-01,502.9
2022-01-01,518.84
2022-04-01,554.64
2022-07-01,565.82
2022-10-01,567.48
2023-01-01,571.57
2023-04-01,589.03
2023-07-01,598.57
2023-10-01,601.38
2024-01-01,602.75
