DATE,TXSTHPI
1975-01-01,55.84
1975-04-01,58.56
1975-07-01,56.16
1975-10-01,59.28
1976-01-01,58.47
1976-04-01,63.49
1976-07-01,63.33
1976-10-01,63.07
1977-01-01,65.93
1977-04-01,71.59
1977-07-01,69.37
1977-10-01,73.46
1978-01-01,76.61
1978-04-01,78.9
1978-07-01,81.22
1978-10-01,85.47
1979-01-01,89.47
1979-04-01,92.8
1979-07-01,95.18
1979-10-01,96.97
1980-01-01,100.00
1980-04-01,104.47
1980-07-01,103.93
1980-10-01,105.7
1981-01-01,104.47
1981-04-01,111.11
1981-07-01,114.43
1981-10-01,112.21
1982-01-01,122.43
1982-04-01,118.98
1982-07-01,117.99
1982-10-01,120.84
1983-01-01,125.64
1983-04-01,125.87
1983-07-01,125.72
1983-10-01,126.3
1984-01-01,125.06
1984-04-01,126.24
1984-07-01,128.67
1984-10-01,128.08
1985-01-01,126.72
1985-04-01,127.8
1985-07-01,127.71
1985-10-01,126.47
1986-01-01,129.47
1986-04-01,131.56
1986-07-01,128.87
1986-10-01,126.54
1987-01-01,126.85
1987-04-01,123.03
1987-07-01,118.29
1987-10-01,114.72
1988-01-01,114.71
1988-04-01,116.64
1988-07-01,114.01
1988-10-01,113.14
1989-01-01,113.38
1989-04-01,114.36
1989-07-01,116.61
1989-10-01,116.34
1990-01-01,116.08
1990-04-01,116.95
1990-07-01,117.8
1990-10-01,116.91
1991-01-01,118.34
1991-04-01,119.55
1991-07-01,119.69
1991-10-01,121.08
1992-01-01,123.06
1992-04-01,122.63
1992-07-01,124.69
1992-10-01,125.21
1993-01-01,125.6
1993-04-01,126.72
1993-07-01,128.18
1993-10-01,129.42
1994-01-01,130.03
1994-04-01,130.22
1994-07-01,130.34
1994-10-01,129.68
1995-01-01,129.62
1995-04-01,131.83
1995-07-01,133.45
1995-10-01,134.3
1996-01-01,135.65
1996-04-01,135.41
1996-07-01,135.72
1996-10-01,136.21
1997-01-01,136.85
1997-04-01,137.86
1997-07-01,139.14
1997-10-01,140.81
1998-01-01,143.07
1998-04-01,144.1
1998-07-01,146.42
1998-10-01,148.01
1999-01-01,149.37
1999-04-01,152.27
1999-07-01,154.79
1999-10-01,156.57
2000-01-01,158.94
2000-04-01,161.6
2000-07-01,164.0
2000-10-01,165.9
2001-01-01,170.6
2001-04-01,172.87
2001-07-01,174.14
2001-10-01,176.09
2002-01-01,176.6
2002-04-01,178.11
2002-07-01,180.88
2002-10-01,182.77
2003-01-01,183.64
2003-04-01,184.83
2003-07-01,185.43
2003-10-01,186.55
2004-01-01,187.45
2004-04-01,189.36
2004-07-01,190.88
2004-10-01,193.09
2005-01-01,194.1
2005-04-01,197.24
2005-07-01,200.41
2005-10-01,202.75
2006-01-01,205.15
2006-04-01,208.38
2006-07-01,211.46
2006-10-01,214.38
2007-01-01,217.15
2007-04-01,220.79
2007-07-01,221.55
2007-10-01,223.19
2008-01-01,224.43
2008-04-01,225.15
2008-07-01,224.37
2008-10-01,224.75
2009-01-01,227.4
2009-04-01,225.9
2009-07-01,223.69
2009-10-01,223.13
2010-01-01,221.68
2010-04-01,221.89
2010-07-01,223.26
2010-10-01,222.26
2011-01-01,218.99
2011-04-01,217.95
2011-07-01,219.79
2011-10-01,219.99
2012-01-01,219.87
2012-04-01,221.36
2012-07-01,223.34
2012-10-01,224.95
2013-01-01,226.59
2013-04-01,230.69
2013-07-01,234.55
2013-10-01,237.3
2014-01-01,241.24
2014-04-01,247.39
2014-07-01,251.87
2014-10-01,254.9
2015-01-01,258.62
2015-04-01,265.11
2015-07-01,270.79
2015-10-01,273.05
2016-01-01,276.98
2016-04-01,284.08
2016-07-01,289.84
2016-10-01,292.77
2017-01-01,296.68
2017-04-01,305.55
2017-07-01,309.99
2017-10-01,312.74
2018-01-01,316.99
2018-04-01,323.97
2018-07-01,328.15
2018-10-01,329.16
2019-01-01,333.09
2019-04-01,339.0
2019-07-01,342.97
2019-10-01,345.55
2020-01-01,349.29
2020-04-01,351.86
2020-07-01,357.25
2020-10-01,365.47
2021-01-01,374.1
2021-04-01,395.93
2021-07-01,421.18
2021-10-01,438.61
2022-01-01,459.12
2022-04-01,491.71
2022-07-01,502.84
2022-10-01,497.78
2023-01-01,498.92
2023-04-01,506.26
2023-07-01,513.56
2023-10-01,512.12
2024-01-01,515.65
