DATE,UTSTHPI
1975-01-01,55.17
1975-04-01,58.87
1975-07-01,55.33
1975-10-01,59.9
1976-01-01,61.78
1976-04-01,61.7
1976-07-01,64.75
1976-10-01,64.29
1977-01-01,69.83
1977-04-01,71.03
1977-07-01,74.81
1977-10-01,75.12
1978-01-01,81.55
1978-04-01,83.97
1978-07-01,86.88
1978-10-01,90.19
1979-01-01,94.76
1979-04-01,97.62
1979-07-01,97.85
1979-10-01,99.63
1980-01-01,100.00
1980-04-01,98.59
1980-07-01,103.67
1980-10-01,104.5
1981-01-01,106.22
1981-04-01,109.79
1981-07-01,108.28
1981-10-01,110.47
1982-01-01,106.54
1982-04-01,108.55
1982-07-01,111.85
1982-10-01,113.65
1983-01-01,114.09
1983-04-01,115.5
1983-07-01,111.66
1983-10-01,112.67
1984-01-01,112.28
1984-04-01,114.11
1984-07-01,114.97
1984-10-01,112.22
1985-01-01,116.65
1985-04-01,116.03
1985-07-01,116.37
1985-10-01,115.25
1986-01-01,119.22
1986-04-01,118.89
1986-07-01,118.25
1986-10-01,117.98
1987-01-01,119.32
1987-04-01,117.93
1987-07-01,113.63
1987-10-01,112.67
1988-01-01,112.81
1988-04-01,114.4
1988-07-01,112.09
1988-10-01,112.41
1989-01-01,113.27
1989-04-01,113.22
1989-07-01,115.59
1989-10-01,115.58
1990-01-01,116.56
1990-04-01,118.11
1990-07-01,119.01
1990-10-01,118.92
1991-01-01,122.6
1991-04-01,124.86
1991-07-01,125.0
1991-10-01,127.77
1992-01-01,129.69
1992-04-01,131.72
1992-07-01,133.93
1992-10-01,137.45
1993-01-01,140.41
1993-04-01,144.84
1993-07-01,150.06
1993-10-01,155.64
1994-01-01,161.91
1994-04-01,170.9
1994-07-01,176.6
1994-10-01,179.78
1995-01-01,184.41
1995-04-01,189.55
1995-07-01,196.04
1995-10-01,200.12
1996-01-01,204.73
1996-04-01,207.14
1996-07-01,210.66
1996-10-01,214.46
1997-01-01,218.03
1997-04-01,219.22
1997-07-01,223.54
1997-10-01,227.47
1998-01-01,230.12
1998-04-01,232.32
1998-07-01,234.57
1998-10-01,236.81
1999-01-01,238.08
1999-04-01,237.13
1999-07-01,234.4
1999-10-01,235.43
2000-01-01,236.58
2000-04-01,236.57
2000-07-01,239.04
2000-10-01,242.4
2001-01-01,247.84
2001-04-01,248.38
2001-07-01,248.61
2001-10-01,251.2
2002-01-01,250.78
2002-04-01,250.28
2002-07-01,253.41
2002-10-01,254.75
2003-01-01,255.42
2003-04-01,256.36
2003-07-01,257.08
2003-10-01,257.3
2004-01-01,259.79
2004-04-01,262.24
2004-07-01,265.53
2004-10-01,270.76
2005-01-01,275.71
2005-04-01,284.51
2005-07-01,295.02
2005-10-01,304.78
2006-01-01,315.09
2006-04-01,328.42
2006-07-01,342.94
2006-10-01,355.96
2007-01-01,366.84
2007-04-01,375.78
2007-07-01,380.43
2007-10-01,383.46
2008-01-01,382.46
2008-04-01,376.35
2008-07-01,364.95
2008-10-01,364.15
2009-01-01,361.28
2009-04-01,347.54
2009-07-01,332.82
2009-10-01,328.88
2010-01-01,323.96
2010-04-01,319.3
2010-07-01,322.02
2010-10-01,320.32
2011-01-01,306.07
2011-04-01,299.4
2011-07-01,304.91
2011-10-01,306.29
2012-01-01,305.62
2012-04-01,304.0
2012-07-01,310.42
2012-10-01,315.75
2013-01-01,318.56
2013-04-01,327.5
2013-07-01,335.13
2013-10-01,339.46
2014-01-01,341.52
2014-04-01,348.01
2014-07-01,351.84
2014-10-01,356.0
2015-01-01,359.53
2015-04-01,365.43
2015-07-01,372.68
2015-10-01,377.7
2016-01-01,383.21
2016-04-01,391.86
2016-07-01,400.97
2016-10-01,405.64
2017-01-01,412.81
2017-04-01,426.52
2017-07-01,436.48
2017-10-01,442.32
2018-01-01,451.5
2018-04-01,466.61
2018-07-01,476.31
2018-10-01,482.49
2019-01-01,490.83
2019-04-01,500.75
2019-07-01,508.9
2019-10-01,516.37
2020-01-01,523.23
2020-04-01,532.71
2020-07-01,545.52
2020-10-01,564.54
2021-01-01,587.6
2021-04-01,644.71
2021-07-01,694.14
2021-10-01,720.27
2022-01-01,754.63
2022-04-01,812.81
2022-07-01,807.25
2022-10-01,783.46
2023-01-01,777.01
2023-04-01,794.55
2023-07-01,801.06
2023-10-01,799.1
2024-01-01,804.8
