DATE,VASTHPI
1975-01-01,69.76
1975-04-01,66.72
1975-07-01,67.52
1975-10-01,67.78
1976-01-01,69.35
1976-04-01,68.53
1976-07-01,70.57
1976-10-01,72.06
1977-01-01,73.03
1977-04-01,75.07
1977-07-01,77.27
1977-10-01,78.97
1978-01-01,80.4
1978-04-01,83.35
1978-07-01,86.09
1978-10-01,89.27
1979-01-01,89.46
1979-04-01,91.62
1979-07-01,94.68
1979-10-01,95.46
1980-01-01,100.00
1980-04-01,101.15
1980-07-01,104.41
1980-10-01,104.32
1981-01-01,106.1
1981-04-01,105.55
1981-07-01,106.16
1981-10-01,109.77
1982-01-01,97.75
1982-04-01,109.45
1982-07-01,103.76
1982-10-01,112.78
1983-01-01,115.24
1983-04-01,118.03
1983-07-01,118.9
1983-10-01,118.64
1984-01-01,121.41
1984-04-01,123.25
1984-07-01,124.87
1984-10-01,124.41
1985-01-01,127.48
1985-04-01,129.57
1985-07-01,131.47
1985-10-01,132.22
1986-01-01,134.5
1986-04-01,136.95
1986-07-01,139.94
1986-10-01,142.38
1987-01-01,145.41
1987-04-01,149.45
1987-07-01,156.72
1987-10-01,160.22
1988-01-01,164.88
1988-04-01,170.42
1988-07-01,174.53
1988-10-01,178.06
1989-01-01,181.33
1989-04-01,185.24
1989-07-01,187.83
1989-10-01,189.19
1990-01-01,189.15
1990-04-01,189.44
1990-07-01,188.85
1990-10-01,186.72
1991-01-01,187.84
1991-04-01,188.43
1991-07-01,186.96
1991-10-01,190.28
1992-01-01,191.39
1992-04-01,189.66
1992-07-01,192.06
1992-10-01,192.72
1993-01-01,192.16
1993-04-01,193.27
1993-07-01,193.65
1993-10-01,194.71
1994-01-01,194.95
1994-04-01,194.77
1994-07-01,194.41
1994-10-01,194.14
1995-01-01,193.58
1995-04-01,196.04
1995-07-01,198.33
1995-10-01,199.12
1996-01-01,201.24
1996-04-01,200.65
1996-07-01,199.83
1996-10-01,201.48
1997-01-01,202.84
1997-04-01,203.14
1997-07-01,205.36
1997-10-01,207.4
1998-01-01,209.06
1998-04-01,210.0
1998-07-01,211.6
1998-10-01,213.66
1999-01-01,216.08
1999-04-01,218.84
1999-07-01,222.56
1999-10-01,225.55
2000-01-01,229.38
2000-04-01,234.11
2000-07-01,238.27
2000-10-01,242.29
2001-01-01,248.4
2001-04-01,254.17
2001-07-01,259.85
2001-10-01,263.44
2002-01-01,268.6
2002-04-01,276.15
2002-07-01,283.22
2002-10-01,287.11
2003-01-01,291.45
2003-04-01,296.2
2003-07-01,303.3
2003-10-01,315.58
2004-01-01,323.64
2004-04-01,336.11
2004-07-01,357.5
2004-10-01,369.94
2005-01-01,384.63
2005-04-01,406.53
2005-07-01,426.01
2005-10-01,437.91
2006-01-01,447.77
2006-04-01,456.15
2006-07-01,459.07
2006-10-01,465.5
2007-01-01,467.5
2007-04-01,468.74
2007-07-01,462.76
2007-10-01,461.61
2008-01-01,459.23
2008-04-01,446.16
2008-07-01,433.87
2008-10-01,430.33
2009-01-01,432.01
2009-04-01,421.22
2009-07-01,411.83
2009-10-01,408.73
2010-01-01,403.24
2010-04-01,400.56
2010-07-01,404.63
2010-10-01,402.42
2011-01-01,392.99
2011-04-01,388.14
2011-07-01,391.42
2011-10-01,394.17
2012-01-01,389.81
2012-04-01,387.27
2012-07-01,392.09
2012-10-01,393.7
2013-01-01,393.21
2013-04-01,396.93
2013-07-01,397.65
2013-10-01,397.56
2014-01-01,399.03
2014-04-01,405.27
2014-07-01,408.24
2014-10-01,411.51
2015-01-01,413.68
2015-04-01,417.26
2015-07-01,418.82
2015-10-01,420.7
2016-01-01,419.84
2016-04-01,426.87
2016-07-01,430.95
2016-10-01,432.73
2017-01-01,431.97
2017-04-01,440.7
2017-07-01,443.25
2017-10-01,444.94
2018-01-01,449.49
2018-04-01,454.87
2018-07-01,457.46
2018-10-01,457.76
2019-01-01,463.04
2019-04-01,472.12
2019-07-01,477.13
2019-10-01,480.66
2020-01-01,485.89
2020-04-01,491.3
2020-07-01,499.59
2020-10-01,508.87
2021-01-01,519.55
2021-04-01,543.53
2021-07-01,568.66
2021-10-01,582.27
2022-01-01,600.85
2022-04-01,640.57
2022-07-01,648.49
2022-10-01,647.85
2023-01-01,657.0
2023-04-01,680.77
2023-07-01,691.49
2023-10-01,691.84
2024-01-01,701.94
