DATE,VTSTHPI
1975-01-01,77.35
1975-04-01,76.73
1975-07-01,67.1
1975-10-01,72.86
1976-01-01,117.02
1976-04-01,57.5
1976-07-01,81.26
1976-10-01,79.63
1977-01-01,115.86
1977-04-01,82.15
1977-07-01,76.29
1977-10-01,77.1
1978-01-01,90.75
1978-04-01,91.99
1978-07-01,99.6
1978-10-01,88.59
1979-01-01,94.52
1979-04-01,88.27
1979-07-01,95.51
1979-10-01,108.98
1980-01-01,100.00
1980-04-01,100.99
1980-07-01,104.62
1980-10-01,110.53
1981-01-01,110.44
1981-04-01,108.3
1981-07-01,101.18
1981-10-01,62.94
1982-01-01,122.28
1982-04-01,116.96
1982-07-01,108.19
1982-10-01,113.98
1983-01-01,117.77
1983-04-01,112.54
1983-07-01,118.69
1983-10-01,123.42
1984-01-01,121.91
1984-04-01,123.84
1984-07-01,126.15
1984-10-01,126.83
1985-01-01,129.52
1985-04-01,134.38
1985-07-01,136.12
1985-10-01,139.03
1986-01-01,144.31
1986-04-01,146.56
1986-07-01,152.26
1986-10-01,158.46
1987-01-01,163.33
1987-04-01,168.79
1987-07-01,173.6
1987-10-01,181.54
1988-01-01,186.67
1988-04-01,195.05
1988-07-01,201.13
1988-10-01,203.18
1989-01-01,206.85
1989-04-01,211.95
1989-07-01,216.27
1989-10-01,217.69
1990-01-01,215.39
1990-04-01,216.8
1990-07-01,214.72
1990-10-01,216.23
1991-01-01,213.27
1991-04-01,213.62
1991-07-01,212.98
1991-10-01,213.71
1992-01-01,213.83
1992-04-01,214.53
1992-07-01,216.41
1992-10-01,216.72
1993-01-01,215.86
1993-04-01,217.16
1993-07-01,217.58
1993-10-01,218.7
1994-01-01,219.33
1994-04-01,217.06
1994-07-01,217.56
1994-10-01,217.48
1995-01-01,214.75
1995-04-01,220.26
1995-07-01,220.42
1995-10-01,221.87
1996-01-01,225.55
1996-04-01,222.16
1996-07-01,220.77
1996-10-01,220.86
1997-01-01,225.05
1997-04-01,222.4
1997-07-01,225.16
1997-10-01,225.37
1998-01-01,228.76
1998-04-01,228.75
1998-07-01,229.32
1998-10-01,232.54
1999-01-01,235.19
1999-04-01,236.78
1999-07-01,241.89
1999-10-01,245.0
2000-01-01,250.32
2000-04-01,254.09
2000-07-01,259.51
2000-10-01,264.3
2001-01-01,268.79
2001-04-01,274.07
2001-07-01,280.64
2001-10-01,284.07
2002-01-01,289.86
2002-04-01,296.49
2002-07-01,301.65
2002-10-01,304.32
2003-01-01,307.71
2003-04-01,312.89
2003-07-01,321.0
2003-10-01,337.67
2004-01-01,342.16
2004-04-01,352.04
2004-07-01,374.65
2004-10-01,382.2
2005-01-01,393.9
2005-04-01,407.25
2005-07-01,422.09
2005-10-01,430.62
2006-01-01,436.38
2006-04-01,446.5
2006-07-01,448.31
2006-10-01,455.06
2007-01-01,458.66
2007-04-01,458.12
2007-07-01,458.99
2007-10-01,457.23
2008-01-01,463.59
2008-04-01,457.45
2008-07-01,454.44
2008-10-01,453.65
2009-01-01,454.15
2009-04-01,447.63
2009-07-01,444.98
2009-10-01,440.98
2010-01-01,440.63
2010-04-01,439.5
2010-07-01,440.38
2010-10-01,441.76
2011-01-01,439.02
2011-04-01,433.38
2011-07-01,434.34
2011-10-01,439.85
2012-01-01,438.29
2012-04-01,436.25
2012-07-01,437.51
2012-10-01,437.64
2013-01-01,439.51
2013-04-01,435.74
2013-07-01,437.32
2013-10-01,435.75
2014-01-01,432.79
2014-04-01,437.84
2014-07-01,438.75
2014-10-01,438.37
2015-01-01,441.93
2015-04-01,446.47
2015-07-01,446.45
2015-10-01,444.51
2016-01-01,444.06
2016-04-01,450.57
2016-07-01,455.06
2016-10-01,453.93
2017-01-01,455.26
2017-04-01,460.4
2017-07-01,461.23
2017-10-01,467.41
2018-01-01,469.96
2018-04-01,475.91
2018-07-01,477.88
2018-10-01,476.36
2019-01-01,481.01
2019-04-01,491.78
2019-07-01,499.05
2019-10-01,499.98
2020-01-01,506.68
2020-04-01,509.45
2020-07-01,521.16
2020-10-01,535.43
2021-01-01,548.81
2021-04-01,574.18
2021-07-01,610.86
2021-10-01,629.18
2022-01-01,648.37
2022-04-01,696.37
2022-07-01,730.46
2022-10-01,714.71
2023-01-01,729.38
2023-04-01,771.59
2023-07-01,797.29
2023-10-01,785.92
2024-01-01,803.13
