DATE,WASTHPI
1975-01-01,46.27
1975-04-01,47.27
1975-07-01,49.73
1975-10-01,48.05
1976-01-01,50.39
1976-04-01,53.63
1976-07-01,56.63
1976-10-01,57.8
1977-01-01,59.78
1977-04-01,62.96
1977-07-01,67.3
1977-10-01,70.78
1978-01-01,74.36
1978-04-01,79.74
1978-07-01,84.04
1978-10-01,86.89
1979-01-01,89.03
1979-04-01,93.9
1979-07-01,95.92
1979-10-01,97.98
1980-01-01,100.00
1980-04-01,100.27
1980-07-01,103.54
1980-10-01,101.83
1981-01-01,99.98
1981-04-01,104.12
1981-07-01,105.27
1981-10-01,103.66
1982-01-01,86.5
1982-04-01,93.37
1982-07-01,93.72
1982-10-01,103.52
1983-01-01,104.74
1983-04-01,104.67
1983-07-01,103.94
1983-10-01,104.9
1984-01-01,106.79
1984-04-01,107.49
1984-07-01,109.32
1984-10-01,110.02
1985-01-01,110.51
1985-04-01,110.91
1985-07-01,111.57
1985-10-01,112.1
1986-01-01,113.47
1986-04-01,114.18
1986-07-01,114.71
1986-10-01,115.94
1987-01-01,117.07
1987-04-01,118.06
1987-07-01,118.92
1987-10-01,119.67
1988-01-01,121.94
1988-04-01,123.79
1988-07-01,126.32
1988-10-01,127.86
1989-01-01,132.29
1989-04-01,137.88
1989-07-01,144.43
1989-10-01,153.16
1990-01-01,164.26
1990-04-01,173.57
1990-07-01,176.41
1990-10-01,177.66
1991-01-01,181.94
1991-04-01,183.56
1991-07-01,184.31
1991-10-01,188.17
1992-01-01,189.05
1992-04-01,190.81
1992-07-01,193.39
1992-10-01,195.38
1993-01-01,196.24
1993-04-01,198.37
1993-07-01,201.07
1993-10-01,203.34
1994-01-01,205.87
1994-04-01,209.72
1994-07-01,211.06
1994-10-01,210.49
1995-01-01,212.58
1995-04-01,214.94
1995-07-01,218.13
1995-10-01,219.9
1996-01-01,221.88
1996-04-01,222.12
1996-07-01,223.31
1996-10-01,225.21
1997-01-01,226.73
1997-04-01,229.69
1997-07-01,234.43
1997-10-01,237.55
1998-01-01,242.15
1998-04-01,245.67
1998-07-01,250.27
1998-10-01,253.1
1999-01-01,255.5
1999-04-01,259.89
1999-07-01,262.88
1999-10-01,264.94
2000-01-01,269.6
2000-04-01,272.37
2000-07-01,276.04
2000-10-01,279.57
2001-01-01,286.36
2001-04-01,290.25
2001-07-01,293.2
2001-10-01,295.13
2002-01-01,298.76
2002-04-01,302.37
2002-07-01,306.05
2002-10-01,308.65
2003-01-01,311.18
2003-04-01,313.85
2003-07-01,317.75
2003-10-01,325.8
2004-01-01,330.74
2004-04-01,340.61
2004-07-01,354.87
2004-10-01,363.05
2005-01-01,374.65
2005-04-01,394.63
2005-07-01,412.13
2005-10-01,429.33
2006-01-01,444.74
2006-04-01,460.13
2006-07-01,473.69
2006-10-01,483.91
2007-01-01,492.61
2007-04-01,498.17
2007-07-01,499.48
2007-10-01,502.25
2008-01-01,500.88
2008-04-01,491.02
2008-07-01,476.37
2008-10-01,471.41
2009-01-01,467.71
2009-04-01,447.78
2009-07-01,432.94
2009-10-01,427.13
2010-01-01,419.75
2010-04-01,414.9
2010-07-01,414.77
2010-10-01,407.43
2011-01-01,393.75
2011-04-01,383.79
2011-07-01,384.92
2011-10-01,385.27
2012-01-01,379.04
2012-04-01,375.8
2012-07-01,382.65
2012-10-01,387.26
2013-01-01,390.03
2013-04-01,397.17
2013-07-01,405.59
2013-10-01,409.54
2014-01-01,413.93
2014-04-01,424.87
2014-07-01,434.2
2014-10-01,438.48
2015-01-01,444.44
2015-04-01,457.54
2015-07-01,470.3
2015-10-01,478.21
2016-01-01,487.74
2016-04-01,505.18
2016-07-01,520.51
2016-10-01,527.81
2017-01-01,537.25
2017-04-01,558.33
2017-07-01,574.71
2017-10-01,583.23
2018-01-01,596.91
2018-04-01,618.07
2018-07-01,625.22
2018-10-01,626.56
2019-01-01,635.29
2019-04-01,648.2
2019-07-01,656.56
2019-10-01,664.02
2020-01-01,675.44
2020-04-01,685.76
2020-07-01,701.39
2020-10-01,719.99
2021-01-01,741.56
2021-04-01,797.79
2021-07-01,844.59
2021-10-01,872.65
2022-01-01,910.69
2022-04-01,973.61
2022-07-01,965.03
2022-10-01,937.91
2023-01-01,935.03
2023-04-01,964.79
2023-07-01,970.7
2023-10-01,962.32
2024-01-01,976.25
