DATE,WISTHPI
1975-01-01,61.74
1975-04-01,62.82
1975-07-01,64.75
1975-10-01,68.97
1976-01-01,65.45
1976-04-01,65.3
1976-07-01,67.51
1976-10-01,68.49
1977-01-01,72.84
1977-04-01,76.06
1977-07-01,78.02
1977-10-01,80.91
1978-01-01,84.67
1978-04-01,87.49
1978-07-01,90.83
1978-10-01,92.75
1979-01-01,96.68
1979-04-01,99.73
1979-07-01,99.47
1979-10-01,100.35
1980-01-01,100.00
1980-04-01,100.94
1980-07-01,104.93
1980-10-01,101.65
1981-01-01,102.8
1981-04-01,102.97
1981-07-01,103.22
1981-10-01,91.13
1982-01-01,85.9
1982-04-01,96.41
1982-07-01,98.56
1982-10-01,99.42
1983-01-01,103.91
1983-04-01,106.29
1983-07-01,105.88
1983-10-01,106.02
1984-01-01,106.09
1984-04-01,107.92
1984-07-01,108.06
1984-10-01,106.29
1985-01-01,107.94
1985-04-01,109.75
1985-07-01,110.74
1985-10-01,110.8
1986-01-01,112.39
1986-04-01,113.67
1986-07-01,113.98
1986-10-01,114.45
1987-01-01,115.35
1987-04-01,116.65
1987-07-01,118.19
1987-10-01,119.47
1988-01-01,120.24
1988-04-01,122.22
1988-07-01,124.46
1988-10-01,125.11
1989-01-01,127.41
1989-04-01,128.83
1989-07-01,130.99
1989-10-01,131.76
1990-01-01,133.82
1990-04-01,135.94
1990-07-01,137.79
1990-10-01,138.05
1991-01-01,140.02
1991-04-01,142.03
1991-07-01,144.18
1991-10-01,145.56
1992-01-01,147.26
1992-04-01,149.88
1992-07-01,151.72
1992-10-01,153.68
1993-01-01,154.91
1993-04-01,157.1
1993-07-01,159.34
1993-10-01,161.4
1994-01-01,165.64
1994-04-01,171.73
1994-07-01,175.47
1994-10-01,175.74
1995-01-01,177.93
1995-04-01,181.83
1995-07-01,184.33
1995-10-01,186.58
1996-01-01,188.08
1996-04-01,189.87
1996-07-01,192.08
1996-10-01,194.29
1997-01-01,196.44
1997-04-01,198.12
1997-07-01,200.81
1997-10-01,202.83
1998-01-01,204.13
1998-04-01,206.52
1998-07-01,208.91
1998-10-01,209.67
1999-01-01,213.37
1999-04-01,216.81
1999-07-01,219.74
1999-10-01,221.02
2000-01-01,227.77
2000-04-01,228.96
2000-07-01,232.33
2000-10-01,235.16
2001-01-01,238.7
2001-04-01,241.95
2001-07-01,245.16
2001-10-01,247.01
2002-01-01,251.06
2002-04-01,254.53
2002-07-01,257.2
2002-10-01,259.06
2003-01-01,261.74
2003-04-01,264.08
2003-07-01,268.06
2003-10-01,276.88
2004-01-01,278.99
2004-04-01,284.67
2004-07-01,295.2
2004-10-01,298.62
2005-01-01,304.12
2005-04-01,309.54
2005-07-01,315.5
2005-10-01,318.62
2006-01-01,321.03
2006-04-01,320.6
2006-07-01,322.14
2006-10-01,326.11
2007-01-01,327.43
2007-04-01,326.89
2007-07-01,325.12
2007-10-01,326.85
2008-01-01,327.6
2008-04-01,322.68
2008-07-01,316.93
2008-10-01,317.62
2009-01-01,319.1
2009-04-01,314.3
2009-07-01,307.32
2009-10-01,306.43
2010-01-01,302.51
2010-04-01,300.75
2010-07-01,303.9
2010-10-01,301.96
2011-01-01,295.3
2011-04-01,290.37
2011-07-01,293.04
2011-10-01,294.1
2012-01-01,291.34
2012-04-01,288.94
2012-07-01,291.69
2012-10-01,291.67
2013-01-01,290.68
2013-04-01,290.51
2013-07-01,290.7
2013-10-01,289.44
2014-01-01,288.83
2014-04-01,293.42
2014-07-01,296.66
2014-10-01,298.12
2015-01-01,300.15
2015-04-01,303.13
2015-07-01,305.67
2015-10-01,307.52
2016-01-01,310.2
2016-04-01,314.57
2016-07-01,318.92
2016-10-01,321.04
2017-01-01,323.95
2017-04-01,331.68
2017-07-01,335.8
2017-10-01,336.29
2018-01-01,341.06
2018-04-01,349.55
2018-07-01,353.94
2018-10-01,355.15
2019-01-01,358.8
2019-04-01,365.37
2019-07-01,370.04
2019-10-01,372.43
2020-01-01,375.46
2020-04-01,378.22
2020-07-01,385.43
2020-10-01,393.28
2021-01-01,398.83
2021-04-01,420.35
2021-07-01,441.32
2021-10-01,451.12
2022-01-01,463.2
2022-04-01,498.05
2022-07-01,508.21
2022-10-01,506.85
2023-01-01,511.61
2023-04-01,538.0
2023-07-01,553.83
2023-10-01,550.06
2024-01-01,558.09
