DATE,WVSTHPI
1975-01-01,50.22
1975-04-01,64.74
1975-07-01,65.69
1975-10-01,65.85
1976-01-01,61.26
1976-04-01,67.6
1976-07-01,69.41
1976-10-01,63.17
1977-01-01,70.2
1977-04-01,84.87
1977-07-01,73.11
1977-10-01,85.3
1978-01-01,82.12
1978-04-01,79.99
1978-07-01,82.24
1978-10-01,84.96
1979-01-01,79.91
1979-04-01,88.26
1979-07-01,88.73
1979-10-01,94.52
1980-01-01,100.00
1980-04-01,103.84
1980-07-01,102.77
1980-10-01,116.58
1981-01-01,98.52
1981-04-01,94.71
1981-07-01,109.23
1981-10-01,107.85
1982-01-01,68.28
1982-04-01,113.46
1982-07-01,83.51
1982-10-01,86.33
1983-01-01,97.84
1983-04-01,91.56
1983-07-01,92.91
1983-10-01,91.66
1984-01-01,97.54
1984-04-01,92.94
1984-07-01,93.9
1984-10-01,86.77
1985-01-01,91.77
1985-04-01,95.22
1985-07-01,92.29
1985-10-01,88.17
1986-01-01,95.12
1986-04-01,96.17
1986-07-01,95.46
1986-10-01,98.07
1987-01-01,96.71
1987-04-01,98.63
1987-07-01,95.18
1987-10-01,96.67
1988-01-01,96.18
1988-04-01,99.62
1988-07-01,98.65
1988-10-01,97.68
1989-01-01,98.5
1989-04-01,100.97
1989-07-01,100.89
1989-10-01,100.86
1990-01-01,101.84
1990-04-01,101.42
1990-07-01,104.52
1990-10-01,103.17
1991-01-01,103.63
1991-04-01,106.93
1991-07-01,105.83
1991-10-01,108.73
1992-01-01,108.99
1992-04-01,110.81
1992-07-01,112.23
1992-10-01,113.42
1993-01-01,114.39
1993-04-01,115.77
1993-07-01,118.38
1993-10-01,118.64
1994-01-01,121.16
1994-04-01,122.59
1994-07-01,124.21
1994-10-01,124.07
1995-01-01,125.5
1995-04-01,127.91
1995-07-01,130.44
1995-10-01,130.65
1996-01-01,132.69
1996-04-01,133.31
1996-07-01,133.74
1996-10-01,133.87
1997-01-01,134.65
1997-04-01,137.28
1997-07-01,137.53
1997-10-01,139.52
1998-01-01,142.53
1998-04-01,142.64
1998-07-01,144.51
1998-10-01,146.19
1999-01-01,146.76
1999-04-01,146.43
1999-07-01,147.05
1999-10-01,145.93
2000-01-01,147.04
2000-04-01,148.18
2000-07-01,149.45
2000-10-01,150.7
2001-01-01,155.02
2001-04-01,156.59
2001-07-01,157.35
2001-10-01,158.78
2002-01-01,159.76
2002-04-01,161.57
2002-07-01,162.91
2002-10-01,165.29
2003-01-01,165.68
2003-04-01,167.43
2003-07-01,169.79
2003-10-01,171.41
2004-01-01,174.06
2004-04-01,177.34
2004-07-01,181.01
2004-10-01,184.13
2005-01-01,188.17
2005-04-01,194.17
2005-07-01,200.88
2005-10-01,203.86
2006-01-01,208.01
2006-04-01,205.99
2006-07-01,208.34
2006-10-01,210.86
2007-01-01,212.28
2007-04-01,211.77
2007-07-01,212.0
2007-10-01,213.82
2008-01-01,213.99
2008-04-01,213.59
2008-07-01,210.35
2008-10-01,208.11
2009-01-01,211.55
2009-04-01,208.82
2009-07-01,204.82
2009-10-01,203.74
2010-01-01,203.85
2010-04-01,203.53
2010-07-01,204.68
2010-10-01,206.21
2011-01-01,201.84
2011-04-01,198.66
2011-07-01,201.94
2011-10-01,202.97
2012-01-01,201.43
2012-04-01,201.84
2012-07-01,203.04
2012-10-01,203.6
2013-01-01,203.17
2013-04-01,204.26
2013-07-01,206.13
2013-10-01,208.01
2014-01-01,207.38
2014-04-01,208.85
2014-07-01,210.93
2014-10-01,211.28
2015-01-01,210.81
2015-04-01,216.05
2015-07-01,214.59
2015-10-01,216.12
2016-01-01,217.02
2016-04-01,218.04
2016-07-01,218.95
2016-10-01,220.04
2017-01-01,217.5
2017-04-01,219.6
2017-07-01,220.75
2017-10-01,224.26
2018-01-01,223.51
2018-04-01,227.02
2018-07-01,226.43
2018-10-01,226.1
2019-01-01,226.7
2019-04-01,230.02
2019-07-01,232.51
2019-10-01,235.01
2020-01-01,235.88
2020-04-01,238.46
2020-07-01,242.92
2020-10-01,245.84
2021-01-01,250.44
2021-04-01,256.89
2021-07-01,270.33
2021-10-01,277.6
2022-01-01,281.43
2022-04-01,294.54
2022-07-01,300.56
2022-10-01,300.35
2023-01-01,303.0
2023-04-01,303.11
2023-07-01,319.23
2023-10-01,327.89
2024-01-01,322.53
