DATE,WYSTHPI
1975-01-01,49.59
1975-04-01,47.89
1975-07-01,50.14
1975-10-01,53.56
1976-01-01,54.37
1976-04-01,55.32
1976-07-01,58.42
1976-10-01,63.1
1977-01-01,63.26
1977-04-01,64.66
1977-07-01,67.27
1977-10-01,71.36
1978-01-01,73.02
1978-04-01,76.55
1978-07-01,78.74
1978-10-01,82.17
1979-01-01,87.36
1979-04-01,92.31
1979-07-01,97.24
1979-10-01,96.51
1980-01-01,100.00
1980-04-01,97.62
1980-07-01,101.28
1980-10-01,94.88
1981-01-01,106.78
1981-04-01,109.46
1981-07-01,109.48
1981-10-01,109.37
1982-01-01,110.43
1982-04-01,107.88
1982-07-01,108.95
1982-10-01,112.52
1983-01-01,110.63
1983-04-01,105.83
1983-07-01,103.04
1983-10-01,98.75
1984-01-01,99.98
1984-04-01,95.6
1984-07-01,98.29
1984-10-01,95.59
1985-01-01,97.07
1985-04-01,95.16
1985-07-01,93.85
1985-10-01,94.1
1986-01-01,97.24
1986-04-01,97.61
1986-07-01,94.61
1986-10-01,90.51
1987-01-01,92.89
1987-04-01,87.6
1987-07-01,82.82
1987-10-01,78.8
1988-01-01,81.06
1988-04-01,76.27
1988-07-01,80.96
1988-10-01,81.1
1989-01-01,76.82
1989-04-01,83.57
1989-07-01,83.23
1989-10-01,83.27
1990-01-01,87.74
1990-04-01,85.37
1990-07-01,90.98
1990-10-01,89.27
1991-01-01,89.86
1991-04-01,93.25
1991-07-01,94.64
1991-10-01,95.43
1992-01-01,96.59
1992-04-01,98.04
1992-07-01,99.8
1992-10-01,102.11
1993-01-01,102.58
1993-04-01,105.62
1993-07-01,108.41
1993-10-01,110.99
1994-01-01,113.54
1994-04-01,116.43
1994-07-01,120.01
1994-10-01,121.63
1995-01-01,123.44
1995-04-01,126.1
1995-07-01,127.59
1995-10-01,130.44
1996-01-01,131.94
1996-04-01,132.92
1996-07-01,134.14
1996-10-01,134.24
1997-01-01,135.11
1997-04-01,136.65
1997-07-01,137.89
1997-10-01,139.88
1998-01-01,141.86
1998-04-01,141.74
1998-07-01,142.59
1998-10-01,142.88
1999-01-01,143.77
1999-04-01,145.81
1999-07-01,147.29
1999-10-01,147.79
2000-01-01,149.82
2000-04-01,151.32
2000-07-01,152.88
2000-10-01,156.21
2001-01-01,157.31
2001-04-01,160.29
2001-07-01,162.74
2001-10-01,164.79
2002-01-01,167.93
2002-04-01,170.26
2002-07-01,173.34
2002-10-01,175.06
2003-01-01,177.13
2003-04-01,181.07
2003-07-01,183.57
2003-10-01,187.12
2004-01-01,190.76
2004-04-01,195.8
2004-07-01,203.13
2004-10-01,206.91
2005-01-01,211.38
2005-04-01,218.02
2005-07-01,225.93
2005-10-01,232.03
2006-01-01,238.66
2006-04-01,246.43
2006-07-01,254.11
2006-10-01,260.86
2007-01-01,267.05
2007-04-01,274.26
2007-07-01,277.92
2007-10-01,279.35
2008-01-01,280.88
2008-04-01,281.64
2008-07-01,279.73
2008-10-01,279.47
2009-01-01,279.53
2009-04-01,279.22
2009-07-01,272.52
2009-10-01,270.37
2010-01-01,265.79
2010-04-01,267.15
2010-07-01,266.88
2010-10-01,267.08
2011-01-01,263.42
2011-04-01,260.33
2011-07-01,263.85
2011-10-01,263.91
2012-01-01,264.36
2012-04-01,265.0
2012-07-01,267.09
2012-10-01,269.19
2013-01-01,270.45
2013-04-01,272.81
2013-07-01,272.91
2013-10-01,273.6
2014-01-01,277.2
2014-04-01,278.54
2014-07-01,282.71
2014-10-01,284.73
2015-01-01,286.79
2015-04-01,287.88
2015-07-01,294.49
2015-10-01,293.96
2016-01-01,293.56
2016-04-01,296.41
2016-07-01,298.56
2016-10-01,298.21
2017-01-01,297.27
2017-04-01,300.18
2017-07-01,301.37
2017-10-01,304.41
2018-01-01,309.26
2018-04-01,308.11
2018-07-01,312.88
2018-10-01,315.35
2019-01-01,314.55
2019-04-01,323.49
2019-07-01,327.72
2019-10-01,332.21
2020-01-01,335.12
2020-04-01,337.14
2020-07-01,341.9
2020-10-01,349.53
2021-01-01,355.03
2021-04-01,369.24
2021-07-01,392.18
2021-10-01,405.44
2022-01-01,416.05
2022-04-01,439.68
2022-07-01,450.47
2022-10-01,449.13
2023-01-01,448.44
2023-04-01,454.88
2023-07-01,472.3
2023-10-01,463.58
2024-01-01,470.42
