DATE,MEHOINUSAKA646N
1984-01-01,32360
1985-01-01,34780
1986-01-01,31360
1987-01-01,33230
1988-01-01,33100
1989-01-01,36010
1990-01-01,39300
1991-01-01,40610
1992-01-01,41800
1993-01-01,42930
1994-01-01,45370
1995-01-01,47950
1996-01-01,52780
1997-01-01,47990
1998-01-01,50690
1999-01-01,51400
2000-01-01,52850
2001-01-01,57360
2002-01-01,52770
2003-01-01,51840
2004-01-01,55060
2005-01-01,55890
2006-01-01,56420
2007-01-01,62990
2008-01-01,63990
2009-01-01,61600
2010-01-01,57850
2011-01-01,57430
2012-01-01,63650
2013-01-01,72470
2014-01-01,67630
2015-01-01,75110
2016-01-01,75720
2017-01-01,77990
2018-01-01,68730
2019-01-01,78390
2020-01-01,74750
2021-01-01,81130
2022-01-01,89740
