DATE,MEHOINUSALA646N
1984-01-01,17310
1985-01-01,18330
1986-01-01,19130
1987-01-01,19730
1988-01-01,19950
1989-01-01,21280
1990-01-01,23360
1991-01-01,24350
1992-01-01,25810
1993-01-01,25080
1994-01-01,27200
1995-01-01,25990
1996-01-01,30300
1997-01-01,31940
1998-01-01,36270
1999-01-01,36250
2000-01-01,35420
2001-01-01,35160
2002-01-01,37600
2003-01-01,37260
2004-01-01,36630
2005-01-01,37150
2006-01-01,37950
2007-01-01,42210
2008-01-01,44480
2009-01-01,39980
2010-01-01,40930
2011-01-01,42590
2012-01-01,43460
2013-01-01,47320
2014-01-01,42280
2015-01-01,44510
2016-01-01,47220
2017-01-01,50870
2018-01-01,49940
2019-01-01,56200
2020-01-01,54690
2021-01-01,56930
2022-01-01,59910
