DATE,MEHOINUSARA646N
1984-01-01,15670
1985-01-01,17450
1986-01-01,18730
1987-01-01,18830
1988-01-01,20170
1989-01-01,21430
1990-01-01,22790
1991-01-01,23440
1992-01-01,23880
1993-01-01,23040
1994-01-01,25570
1995-01-01,25810
1996-01-01,27120
1997-01-01,26160
1998-01-01,27670
1999-01-01,29680
2000-01-01,29700
2001-01-01,33340
2002-01-01,32390
2003-01-01,32000
2004-01-01,34980
2005-01-01,36660
2006-01-01,37060
2007-01-01,40800
2008-01-01,39590
2009-01-01,36540
2010-01-01,38590
2011-01-01,41300
2012-01-01,39020
2013-01-01,39380
2014-01-01,44920
2015-01-01,42800
2016-01-01,45910
2017-01-01,49750
2018-01-01,49780
2019-01-01,54540
2020-01-01,50780
2021-01-01,50780
2022-01-01,53980
