DATE,MEHOINUSAZA646N
1984-01-01,21430
1985-01-01,23880
1986-01-01,25500
1987-01-01,26750
1988-01-01,26440
1989-01-01,28550
1990-01-01,29220
1991-01-01,30740
1992-01-01,29360
1993-01-01,30510
1994-01-01,31290
1995-01-01,30860
1996-01-01,31640
1997-01-01,32740
1998-01-01,37090
1999-01-01,37000
2000-01-01,39780
2001-01-01,42700
2002-01-01,39730
2003-01-01,41170
2004-01-01,43850
2005-01-01,45250
2006-01-01,46660
2007-01-01,47220
2008-01-01,46910
2009-01-01,45740
2010-01-01,46900
2011-01-01,48620
2012-01-01,47040
2013-01-01,52610
2014-01-01,49250
2015-01-01,52250
2016-01-01,57100
2017-01-01,59700
2018-01-01,62280
2019-01-01,70670
2020-01-01,67090
2021-01-01,70820
2022-01-01,73450
