DATE,MEHOINUSCOA646N
1984-01-01,25800
1985-01-01,28180
1986-01-01,27190
1987-01-01,26480
1988-01-01,26210
1989-01-01,26810
1990-01-01,30730
1991-01-01,31500
1992-01-01,32480
1993-01-01,34490
1994-01-01,37830
1995-01-01,40710
1996-01-01,40950
1997-01-01,43230
1998-01-01,46600
1999-01-01,48180
2000-01-01,48240
2001-01-01,49400
2002-01-01,48290
2003-01-01,49940
2004-01-01,50890
2005-01-01,50450
2006-01-01,55700
2007-01-01,61140
2008-01-01,60940
2009-01-01,55930
2010-01-01,60230
2011-01-01,58630
2012-01-01,57260
2013-01-01,67910
2014-01-01,60940
2015-01-01,66600
2016-01-01,70570
2017-01-01,74980
2018-01-01,73030
2019-01-01,72500
2020-01-01,83780
2021-01-01,84950
2022-01-01,89930
