DATE,MEHOINUSDCA646N
1984-01-01,20410
1985-01-01,21080
1986-01-01,24320
1987-01-01,27460
1988-01-01,26740
1989-01-01,26750
1990-01-01,27390
1991-01-01,29890
1992-01-01,30250
1993-01-01,27300
1994-01-01,30120
1995-01-01,30750
1996-01-01,31970
1997-01-01,31860
1998-01-01,33430
1999-01-01,38670
2000-01-01,41220
2001-01-01,41170
2002-01-01,39070
2003-01-01,45040
2004-01-01,43450
2005-01-01,44990
2006-01-01,48480
2007-01-01,50780
2008-01-01,55590
2009-01-01,53140
2010-01-01,56930
2011-01-01,55250
2012-01-01,65250
2013-01-01,60060
2014-01-01,68280
2015-01-01,70070
2016-01-01,70980
2017-01-01,81280
2018-01-01,85750
2019-01-01,93110
2020-01-01,88220
2021-01-01,90640
2022-01-01,101700
