DATE,MEHOINUSDEA646N
1984-01-01,25820
1985-01-01,22980
1986-01-01,25630
1987-01-01,29240
1988-01-01,30510
1989-01-01,32070
1990-01-01,30800
1991-01-01,32590
1992-01-01,35680
1993-01-01,36060
1994-01-01,35870
1995-01-01,34930
1996-01-01,39310
1997-01-01,43030
1998-01-01,41460
1999-01-01,46630
2000-01-01,50370
2001-01-01,49600
2002-01-01,49650
2003-01-01,49020
2004-01-01,48050
2005-01-01,51240
2006-01-01,52440
2007-01-01,54590
2008-01-01,50700
2009-01-01,52110
2010-01-01,55210
2011-01-01,54660
2012-01-01,48970
2013-01-01,54090
2014-01-01,57520
2015-01-01,57760
2016-01-01,58050
2017-01-01,64960
2018-01-01,65010
2019-01-01,74190
2020-01-01,70020
2021-01-01,68690
2022-01-01,80750
