DATE,MEHOINUSGAA646N
1984-01-01,19980
1985-01-01,21050
1986-01-01,24370
1987-01-01,26710
1988-01-01,26570
1989-01-01,27540
1990-01-01,27560
1991-01-01,27210
1992-01-01,28800
1993-01-01,31660
1994-01-01,31470
1995-01-01,34100
1996-01-01,32500
1997-01-01,36660
1998-01-01,38670
1999-01-01,39430
2000-01-01,41900
2001-01-01,42580
2002-01-01,42940
2003-01-01,42440
2004-01-01,40980
2005-01-01,45930
2006-01-01,49340
2007-01-01,48640
2008-01-01,46230
2009-01-01,43340
2010-01-01,44120
2011-01-01,45970
2012-01-01,48120
2013-01-01,46990
2014-01-01,49560
2015-01-01,50770
2016-01-01,53530
2017-01-01,57990
2018-01-01,55820
2019-01-01,56630
2020-01-01,59270
2021-01-01,61500
2022-01-01,67730
