DATE,MEHOINUSHIA646N
1984-01-01,28880
1985-01-01,28960
1986-01-01,29000
1987-01-01,35020
1988-01-01,33020
1989-01-01,35040
1990-01-01,38920
1991-01-01,37250
1992-01-01,42110
1993-01-01,42660
1994-01-01,42260
1995-01-01,42850
1996-01-01,41770
1997-01-01,40930
1998-01-01,40830
1999-01-01,44500
2000-01-01,51550
2001-01-01,47440
2002-01-01,47300
2003-01-01,51830
2004-01-01,56240
2005-01-01,59590
2006-01-01,60470
2007-01-01,64020
2008-01-01,61520
2009-01-01,55650
2010-01-01,59540
2011-01-01,59050
2012-01-01,56260
2013-01-01,64240
2014-01-01,71220
2015-01-01,64510
2016-01-01,72130
2017-01-01,73600
2018-01-01,80110
2019-01-01,88010
2020-01-01,80830
2021-01-01,82200
2022-01-01,91010
