DATE,MEHOINUSIAA646N
1984-01-01,19860
1985-01-01,20930
1986-01-01,22460
1987-01-01,22190
1988-01-01,24310
1989-01-01,26270
1990-01-01,27290
1991-01-01,28550
1992-01-01,28740
1993-01-01,28660
1994-01-01,33080
1995-01-01,35520
1996-01-01,33210
1997-01-01,33780
1998-01-01,37020
1999-01-01,41100
2000-01-01,40990
2001-01-01,40980
2002-01-01,41050
2003-01-01,41380
2004-01-01,43390
2005-01-01,46500
2006-01-01,48130
2007-01-01,48910
2008-01-01,50140
2009-01-01,50720
2010-01-01,49020
2011-01-01,50220
2012-01-01,53440
2013-01-01,60160
2014-01-01,57810
2015-01-01,60860
2016-01-01,59090
2017-01-01,63470
2018-01-01,68720
2019-01-01,66050
2020-01-01,68820
2021-01-01,72430
2022-01-01,76320
