DATE,MEHOINUSIDA646N
1984-01-01,21090
1985-01-01,20760
1986-01-01,20750
1987-01-01,20760
1988-01-01,23450
1989-01-01,24650
1990-01-01,25310
1991-01-01,26120
1992-01-01,27700
1993-01-01,31010
1994-01-01,31540
1995-01-01,32680
1996-01-01,34710
1997-01-01,33400
1998-01-01,36680
1999-01-01,35800
2000-01-01,37610
2001-01-01,38240
2002-01-01,37720
2003-01-01,42370
2004-01-01,44360
2005-01-01,44180
2006-01-01,46210
2007-01-01,49180
2008-01-01,47420
2009-01-01,46780
2010-01-01,47050
2011-01-01,47460
2012-01-01,47920
2013-01-01,48470
2014-01-01,53440
2015-01-01,51620
2016-01-01,56560
2017-01-01,59500
2018-01-01,58730
2019-01-01,65990
2020-01-01,66730
2021-01-01,76920
2022-01-01,72580
