DATE,MEHOINUSILA646N
1984-01-01,23750
1985-01-01,24870
1986-01-01,26510
1987-01-01,27080
1988-01-01,29520
1989-01-01,31300
1990-01-01,32540
1991-01-01,31880
1992-01-01,31550
1993-01-01,32860
1994-01-01,35080
1995-01-01,38070
1996-01-01,39550
1997-01-01,41280
1998-01-01,43180
1999-01-01,46330
2000-01-01,46060
2001-01-01,46170
2002-01-01,42710
2003-01-01,45150
2004-01-01,46080
2005-01-01,48400
2006-01-01,48670
2007-01-01,52510
2008-01-01,53250
2009-01-01,52870
2010-01-01,50730
2011-01-01,50640
2012-01-01,51740
2013-01-01,53940
2014-01-01,54920
2015-01-01,60410
2016-01-01,61390
2017-01-01,65970
2018-01-01,70150
2019-01-01,74400
2020-01-01,74330
2021-01-01,79250
2022-01-01,78020
