DATE,MEHOINUSINA646N
1984-01-01,22770
1985-01-01,22680
1986-01-01,22730
1987-01-01,22520
1988-01-01,26290
1989-01-01,25900
1990-01-01,26930
1991-01-01,27090
1992-01-01,28530
1993-01-01,29480
1994-01-01,27860
1995-01-01,33390
1996-01-01,35150
1997-01-01,38890
1998-01-01,39730
1999-01-01,40840
2000-01-01,40870
2001-01-01,40380
2002-01-01,41050
2003-01-01,42430
2004-01-01,42330
2005-01-01,42440
2006-01-01,45410
2007-01-01,47450
2008-01-01,46520
2009-01-01,44310
2010-01-01,46140
2011-01-01,44450
2012-01-01,46160
2013-01-01,49460
2014-01-01,48060
2015-01-01,51980
2016-01-01,56090
2017-01-01,58770
2018-01-01,59890
2019-01-01,66690
2020-01-01,66810
2021-01-01,70190
2022-01-01,70030
