DATE,MEHOINUSKSA646N
1984-01-01,24630
1985-01-01,22790
1986-01-01,23930
1987-01-01,25580
1988-01-01,25570
1989-01-01,26860
1990-01-01,29920
1991-01-01,29300
1992-01-01,30350
1993-01-01,29770
1994-01-01,28320
1995-01-01,30340
1996-01-01,32590
1997-01-01,36470
1998-01-01,36710
1999-01-01,37350
2000-01-01,41060
2001-01-01,41420
2002-01-01,42620
2003-01-01,44230
2004-01-01,41070
2005-01-01,42030
2006-01-01,45550
2007-01-01,48500
2008-01-01,47880
2009-01-01,44720
2010-01-01,46050
2011-01-01,46150
2012-01-01,50000
2013-01-01,47820
2014-01-01,53440
2015-01-01,54870
2016-01-01,56810
2017-01-01,56900
2018-01-01,63940
2019-01-01,73150
2020-01-01,73080
2021-01-01,75980
2022-01-01,73040
