DATE,MEHOINUSKYA646N
1984-01-01,17680
1985-01-01,17360
1986-01-01,19870
1987-01-01,20670
1988-01-01,19910
1989-01-01,23280
1990-01-01,24780
1991-01-01,23760
1992-01-01,23490
1993-01-01,24380
1994-01-01,26600
1995-01-01,29810
1996-01-01,32410
1997-01-01,33450
1998-01-01,36250
1999-01-01,33740
2000-01-01,36270
2001-01-01,38440
2002-01-01,36760
2003-01-01,36940
2004-01-01,35610
2005-01-01,36700
2006-01-01,39490
2007-01-01,39450
2008-01-01,41150
2009-01-01,42660
2010-01-01,41100
2011-01-01,39860
2012-01-01,41090
2013-01-01,44880
2014-01-01,42790
2015-01-01,42390
2016-01-01,45370
2017-01-01,49670
2018-01-01,54560
2019-01-01,55660
2020-01-01,56760
2021-01-01,55630
2022-01-01,55880
