DATE,MEHOINUSLAA646N
1984-01-01,18950
1985-01-01,21180
1986-01-01,20890
1987-01-01,21350
1988-01-01,20500
1989-01-01,22860
1990-01-01,22410
1991-01-01,25300
1992-01-01,25440
1993-01-01,26310
1994-01-01,25680
1995-01-01,27950
1996-01-01,30260
1997-01-01,33260
1998-01-01,31740
1999-01-01,32650
2000-01-01,30720
2001-01-01,33320
2002-01-01,34010
2003-01-01,33510
2004-01-01,36430
2005-01-01,37240
2006-01-01,36490
2007-01-01,41310
2008-01-01,39560
2009-01-01,45430
2010-01-01,39300
2011-01-01,40660
2012-01-01,39090
2013-01-01,46430
2014-01-01,42410
2015-01-01,45920
2016-01-01,42200
2017-01-01,43570
2018-01-01,49970
2019-01-01,51710
2020-01-01,51190
2021-01-01,57210
2022-01-01,58330
