DATE,MEHOINUSMAA646N
1984-01-01,26960
1985-01-01,28210
1986-01-01,30340
1987-01-01,32240
1988-01-01,33210
1989-01-01,36090
1990-01-01,36250
1991-01-01,35710
1992-01-01,36360
1993-01-01,37060
1994-01-01,40500
1995-01-01,38570
1996-01-01,39490
1997-01-01,42020
1998-01-01,42350
1999-01-01,44010
2000-01-01,46750
2001-01-01,52250
2002-01-01,49860
2003-01-01,50960
2004-01-01,52020
2005-01-01,56020
2006-01-01,55330
2007-01-01,58460
2008-01-01,60320
2009-01-01,59370
2010-01-01,60930
2011-01-01,63310
2012-01-01,63660
2013-01-01,62530
2014-01-01,63150
2015-01-01,67860
2016-01-01,72270
2017-01-01,76240
2018-01-01,86350
2019-01-01,87710
2020-01-01,87810
2021-01-01,86570
2022-01-01,93550
