DATE,MEHOINUSMDA646N
1984-01-01,29710
1985-01-01,30140
1986-01-01,30600
1987-01-01,34970
1988-01-01,36550
1989-01-01,36020
1990-01-01,38860
1991-01-01,36950
1992-01-01,37200
1993-01-01,39940
1994-01-01,39200
1995-01-01,41040
1996-01-01,43990
1997-01-01,46690
1998-01-01,50020
1999-01-01,52210
2000-01-01,54540
2001-01-01,53530
2002-01-01,56410
2003-01-01,52310
2004-01-01,57100
2005-01-01,60510
2006-01-01,63670
2007-01-01,65630
2008-01-01,63710
2009-01-01,64190
2010-01-01,64200
2011-01-01,68880
2012-01-01,71840
2013-01-01,69350
2014-01-01,76170
2015-01-01,73590
2016-01-01,73760
2017-01-01,82090
2018-01-01,86220
2019-01-01,95570
2020-01-01,94790
2021-01-01,97330
2022-01-01,108200
