DATE,MEHOINUSMEA646N
1984-01-01,20650
1985-01-01,20520
1986-01-01,23420
1987-01-01,23600
1988-01-01,26400
1989-01-01,28220
1990-01-01,27460
1991-01-01,27870
1992-01-01,29620
1993-01-01,27440
1994-01-01,30320
1995-01-01,33860
1996-01-01,34700
1997-01-01,32770
1998-01-01,35640
1999-01-01,38860
2000-01-01,37270
2001-01-01,36610
2002-01-01,36850
2003-01-01,37110
2004-01-01,41330
2005-01-01,43920
2006-01-01,45640
2007-01-01,47890
2008-01-01,47230
2009-01-01,47500
2010-01-01,47930
2011-01-01,49690
2012-01-01,49160
2013-01-01,54960
2014-01-01,51710
2015-01-01,50760
2016-01-01,50860
2017-01-01,53320
2018-01-01,58660
2019-01-01,66550
2020-01-01,63690
2021-01-01,71140
2022-01-01,75160
