DATE,MEHOINUSMIA646N
1984-01-01,22970
1985-01-01,24240
1986-01-01,26610
1987-01-01,27700
1988-01-01,29470
1989-01-01,30780
1990-01-01,29940
1991-01-01,32120
1992-01-01,32270
1993-01-01,32660
1994-01-01,35280
1995-01-01,36430
1996-01-01,39230
1997-01-01,38740
1998-01-01,41820
1999-01-01,46090
2000-01-01,45510
2001-01-01,45050
2002-01-01,42720
2003-01-01,45020
2004-01-01,42260
2005-01-01,45930
2006-01-01,48650
2007-01-01,49370
2008-01-01,49790
2009-01-01,45990
2010-01-01,46280
2011-01-01,48880
2012-01-01,50020
2013-01-01,56570
2014-01-01,52010
2015-01-01,54200
2016-01-01,57090
2017-01-01,56410
2018-01-01,60450
2019-01-01,64120
2020-01-01,64390
2021-01-01,64490
2022-01-01,68990
