DATE,MEHOINUSMNA646N
1984-01-01,24440
1985-01-01,23860
1986-01-01,26440
1987-01-01,28080
1988-01-01,29090
1989-01-01,30190
1990-01-01,31470
1991-01-01,29480
1992-01-01,30980
1993-01-01,33680
1994-01-01,33640
1995-01-01,37930
1996-01-01,40990
1997-01-01,42560
1998-01-01,47930
1999-01-01,47040
2000-01-01,54250
2001-01-01,52680
2002-01-01,54620
2003-01-01,52820
2004-01-01,56100
2005-01-01,54220
2006-01-01,56210
2007-01-01,58060
2008-01-01,54930
2009-01-01,56090
2010-01-01,52320
2011-01-01,57820
2012-01-01,61800
2013-01-01,64320
2014-01-01,67240
2015-01-01,68730
2016-01-01,70220
2017-01-01,69980
2018-01-01,71820
2019-01-01,81430
2020-01-01,78750
2021-01-01,80440
2022-01-01,90390
