DATE,MEHOINUSMOA646N
1984-01-01,20780
1985-01-01,21940
1986-01-01,21930
1987-01-01,23720
1988-01-01,23440
1989-01-01,26500
1990-01-01,27330
1991-01-01,27930
1992-01-01,27360
1993-01-01,28680
1994-01-01,30190
1995-01-01,34830
1996-01-01,34270
1997-01-01,36550
1998-01-01,40200
1999-01-01,41380
2000-01-01,45100
2001-01-01,41340
2002-01-01,42780
2003-01-01,43760
2004-01-01,42140
2005-01-01,42990
2006-01-01,44580
2007-01-01,46010
2008-01-01,46040
2009-01-01,48770
2010-01-01,45820
2011-01-01,45770
2012-01-01,49760
2013-01-01,46300
2014-01-01,56630
2015-01-01,59200
2016-01-01,55020
2017-01-01,56530
2018-01-01,61730
2019-01-01,60600
2020-01-01,62180
2021-01-01,63590
2022-01-01,71520
