DATE,MEHOINUSMSA646N
1984-01-01,15430
1985-01-01,16410
1986-01-01,16510
1987-01-01,18510
1988-01-01,18170
1989-01-01,19920
1990-01-01,20180
1991-01-01,19480
1992-01-01,20570
1993-01-01,22190
1994-01-01,25400
1995-01-01,26540
1996-01-01,26680
1997-01-01,28500
1998-01-01,29120
1999-01-01,32480
2000-01-01,34300
2001-01-01,30160
2002-01-01,30880
2003-01-01,32730
2004-01-01,34760
2005-01-01,32880
2006-01-01,34730
2007-01-01,37280
2008-01-01,36450
2009-01-01,35080
2010-01-01,38160
2011-01-01,41090
2012-01-01,36640
2013-01-01,32340
2014-01-01,35520
2015-01-01,40040
2016-01-01,41100
2017-01-01,43280
2018-01-01,42780
2019-01-01,44790
2020-01-01,45130
2021-01-01,46640
2022-01-01,48610
