DATE,MEHOINUSMTA646N
1984-01-01,19540
1985-01-01,20240
1986-01-01,20330
1987-01-01,20470
1988-01-01,22230
1989-01-01,23690
1990-01-01,23380
1991-01-01,24830
1992-01-01,26530
1993-01-01,26470
1994-01-01,27630
1995-01-01,27760
1996-01-01,28680
1997-01-01,29210
1998-01-01,31580
1999-01-01,31040
2000-01-01,32780
2001-01-01,32130
2002-01-01,34840
2003-01-01,34110
2004-01-01,33960
2005-01-01,37310
2006-01-01,41110
2007-01-01,43660
2008-01-01,42900
2009-01-01,40440
2010-01-01,41280
2011-01-01,40280
2012-01-01,45090
2013-01-01,43200
2014-01-01,51100
2015-01-01,51400
2016-01-01,57080
2017-01-01,57410
2018-01-01,57680
2019-01-01,60200
2020-01-01,56740
2021-01-01,65000
2022-01-01,72980
