DATE,MEHOINUSNDA646N
1984-01-01,20770
1985-01-01,21210
1986-01-01,21510
1987-01-01,22580
1988-01-01,24090
1989-01-01,25230
1990-01-01,25260
1991-01-01,25890
1992-01-01,26960
1993-01-01,28120
1994-01-01,28280
1995-01-01,29090
1996-01-01,31470
1997-01-01,31660
1998-01-01,30300
1999-01-01,32660
2000-01-01,36000
2001-01-01,35790
2002-01-01,36200
2003-01-01,40410
2004-01-01,39220
2005-01-01,42190
2006-01-01,41050
2007-01-01,47210
2008-01-01,49630
2009-01-01,50080
2010-01-01,51010
2011-01-01,56360
2012-01-01,55770
2013-01-01,59150
2014-01-01,60730
2015-01-01,57420
2016-01-01,60180
2017-01-01,60170
2018-01-01,66510
2019-01-01,70030
2020-01-01,64120
2021-01-01,68880
2022-01-01,78720
