DATE,MEHOINUSNEA646N
1984-01-01,21400
1985-01-01,21800
1986-01-01,21770
1987-01-01,23270
1988-01-01,25160
1989-01-01,26320
1990-01-01,27480
1991-01-01,29550
1992-01-01,30050
1993-01-01,31010
1994-01-01,31790
1995-01-01,32930
1996-01-01,34010
1997-01-01,34690
1998-01-01,36410
1999-01-01,38630
2000-01-01,41750
2001-01-01,43610
2002-01-01,42800
2003-01-01,43970
2004-01-01,43790
2005-01-01,47920
2006-01-01,48150
2007-01-01,49170
2008-01-01,50730
2009-01-01,49600
2010-01-01,52500
2011-01-01,55620
2012-01-01,52200
2013-01-01,57620
2014-01-01,56870
2015-01-01,60470
2016-01-01,59370
2017-01-01,59580
2018-01-01,67580
2019-01-01,73070
2020-01-01,72250
2021-01-01,78110
2022-01-01,78360
