DATE,MEHOINUSNHA646N
1984-01-01,25910
1985-01-01,26400
1986-01-01,30550
1987-01-01,32340
1988-01-01,34630
1989-01-01,37530
1990-01-01,40810
1991-01-01,36030
1992-01-01,39440
1993-01-01,37960
1994-01-01,35250
1995-01-01,39170
1996-01-01,39410
1997-01-01,41000
1998-01-01,44960
1999-01-01,46060
2000-01-01,50930
2001-01-01,51330
2002-01-01,55320
2003-01-01,55570
2004-01-01,56820
2005-01-01,56980
2006-01-01,61970
2007-01-01,67580
2008-01-01,66180
2009-01-01,64130
2010-01-01,66630
2011-01-01,65880
2012-01-01,67820
2013-01-01,69100
2014-01-01,73400
2015-01-01,75680
2016-01-01,76260
2017-01-01,75630
2018-01-01,81350
2019-01-01,86900
2020-01-01,88890
2021-01-01,88840
2022-01-01,84970
