DATE,MEHOINUSNJA646N
1984-01-01,27780
1985-01-01,30980
1986-01-01,31720
1987-01-01,34240
1988-01-01,36290
1989-01-01,39120
1990-01-01,38730
1991-01-01,40050
1992-01-01,39000
1993-01-01,40500
1994-01-01,42280
1995-01-01,43920
1996-01-01,47470
1997-01-01,48020
1998-01-01,49830
1999-01-01,49730
2000-01-01,50410
2001-01-01,51770
2002-01-01,54570
2003-01-01,56050
2004-01-01,55280
2005-01-01,63370
2006-01-01,68060
2007-01-01,60510
2008-01-01,65310
2009-01-01,64780
2010-01-01,62970
2011-01-01,62340
2012-01-01,66690
2013-01-01,63750
2014-01-01,65240
2015-01-01,68360
2016-01-01,68470
2017-01-01,71240
2018-01-01,74180
2019-01-01,87730
2020-01-01,85550
2021-01-01,88560
2022-01-01,92340
